state	year	precinct	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	sd	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_GOV_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_LTG_tv	g2008_LTG_dv	g2008_LTG_rv	g2008_INS_tv	g2008_INS_dv	g2008_INS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv	ld
"DE"	2008	"02-30"	327	152	174					324	163	161	319	87	232	322	167	154	317	155	162	319	149	164	235		235	30
"DE"	2008	"02-31"	1785	1125	645	1692	995	697	17	1736	1112	624	1680	606	1064	1734	1232	499	1680	1035	645	1660	905	728	1719	896	823	31
"DE"	2008	"02-32"	1245	711	511	1161	615	546	17	1185	711	474	1151	422	722	1192	800	388	1160	714	446	1143	607	517	1186	625	561	32
"DE"	2008	"02-33"	1866	985	860	1764	828	936	16	1794	989	805	1733	596	1132	1791	1082	705	1737	945	792	1710	797	890	1738	941	797	33
"DE"	2008	"02-34"	165	60	101	160	56	104	17	161	62	99	159	36	120	161	85	74	161	76	84	159	60	93	159	44	115	34
"DE"	2008	"02-35"	3098	1382	1678					3011	1467	1544	2943	894	2014	2990	1515	1463	2947	1495	1451	2918	1302	1555	2996	1312	1684	35
"DE"	2008	"02-36"	2274	965	1288	2173	867	1306	18	2210	1039	1171	2180	597	1567	2217	1249	962	2184	1123	1060	2147	835	1276	1740		1740	36
"DE"	2008	"02-37"	2292	1155	1121	2131	911	1220	18	2227	1203	1024	2184	617	1552	2237	1253	980	2183	1185	997	2163	898	1204	2175	918	1257	37
"DE"	2008	"02-38"	1631	695	919					1576	780	796	1560	428	1108	1584	809	771	1537	741	796	1516	624	867	1590	484	1106	38
"DE"	2008	"02-39"	1520	696	806	1019	1019		21	1453	768	685	1433	395	1024	1446	783	660	1423	758	665	1397	598	761	1443	408	1025	39
"DE"	2008	"02-40"	1856	603	1227	1306	1306		21	1825	703	1122	1793	394	1379	1817	779	1036	1786	730	1056	1765	628	1110	1812	626	1186	40
"DE"	2008	"02-41"	1210	492	708					1188	577	611	1159	292	854	1167	609	553	1149	566	582	1143	400	728	1187	570	617	41
"DE"	2008	"03-01"	834	819	12					779	760	19	693	549	142	763	739	21	732	634	98	714	639	64	733	715	18	1
"DE"	2008	"03-02"	256	254	1	197	197		3	235	230	5	203	170	31	233	229	4	220	185	35	218	197	17	221	212		2
"DE"	2008	"03-03"	221	185	34					216	182	34	198	116	80	213	178	35	208	159	49	198	146	50	192	192		3
"DE"	2008	"03-04"	1294	843	438					1265	903	362	1255	309	933	1284	930	346	1273	711	562	1239	667	556	1253	945	296	4
"DE"	2008	"03-05"	454	382	67					425	362	63	402	258	139	418	361	52	402	338	64	400	310	77	372	372		5
"DE"	2008	"03-06"	968	786	168					917	752	165	886	499	378	905	733	170	883	657	226	876	629	231	774	774		6
"DE"	2008	"03-07"	1112	664	429					1067	680	387	1056	265	777	1072	722	347	1047	581	466	1032	538	473	1074	602	472	7
"DE"	2008	"03-08"	1439	945	475					1371	928	443	1315	568	735	1357	952	404	1325	856	469	1320	849	448	1341	790	551	8
"DE"	2008	"03-09"	2556	1594	938					2462	1598	864	2398	960	1421	2443	1668	768	2388	1495	893	2343	1410	904	2447	1225	1222	9
"DE"	2008	"03-10"	1079	636	427					1052	649	403	1036	328	700	1041	667	368	1034	570	463	1002	543	442	1038	494	539	10
