state	year	county	ed	precinct	cd	g2004_COM_dv	g2004_COM_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv
"MD"	2004	17	5	1	5		0	2300	386	2732	2247	546	2803	2299	415	2749
"MD"	2004	17	5	2	5		0	1205	134	1347	1194	200	1397	1197	147	1358
"MD"	2004	17	5	3	5		0	1368	149	1547	1361	228	1598	1393	156	1564
"MD"	2004	17	5	4	5		0	1553	133	1710	1542	214	1765	1570	145	1723
"MD"	2004	17	5	5	5		0	1804	256	2080	1750	391	2150	1803	281	2100
"MD"	2004	17	5	6	4		0	1570	186	1823	1659	224	1891	1670	139	1833
"MD"	2004	17	5	7	5		0	1796	277	2102	1784	371	2164	1830	276	2133
"MD"	2004	17	5	8	5		0	901	265	1200	817	402	1235	868	323	1210
"MD"	2004	17	5	9	4		0	259	58	332	288	66	356	272	61	339
"MD"	2004	17	5	10	5		0	543	98	659	537	157	703	557	96	669
"MD"	2004	17	5	11	4		0	946	119	1094	968	158	1128	987	100	1100
"MD"	2004	17	6	1	4		0	1320	204	1582	1471	180	1666	1437	134	1603
"MD"	2004	17	6	2	4		0	592	79	696	634	92	730	632	63	705
"MD"	2004	17	6	3	4		0	1714	114	1877	1862	114	1982	1776	73	1885
"MD"	2004	17	6	4	4		0	1391	90	1519	1488	105	1600	1465	63	1542
"MD"	2004	17	6	5	4		0	827	64	917	890	80	976	860	48	924
"MD"	2004	17	6	6	4		0	1314	49	1401	1366	85	1457	1347	43	1412
"MD"	2004	17	6	7	4		0	1324	166	1531	1405	197	1609	1360	140	1523
"MD"	2004	17	6	8	4		0	1068	55	1153	1128	81	1214	1106	49	1170
"MD"	2004	17	6	9	4		0	1126	72	1221	1184	82	1269	1170	46	1228
"MD"	2004	17	6	10	4		0	1572	107	1719	1653	132	1797	1631	74	1729
"MD"	2004	17	6	11	4		0	1187	105	1323	1239	136	1380	1242	75	1329
"MD"	2004	17	6	12	4		0	2015	126	2201	2143	160	2312	2104	89	2227
"MD"	2004	17	6	13	4		0	1228	211	1493	1280	266	1563	1304	185	1519
"MD"	2004	17	6	14	4		0	985	155	1166	1074	166	1244	1070	117	1204
"MD"	2004	17	6	15	4		0	1567	81	1710	1684	97	1786	1651	55	1727
"MD"	2004	17	6	16	4		0	1301	100	1433	1359	125	1487	1346	79	1439
"MD"	2004	17	6	17	4		0	1697	140	1895	1845	131	1986	1787	92	1915
"MD"	2004	17	6	18	4		0	808	149	1000	871	184	1063	884	115	1021
"MD"	2004	17	6	19	4		0	1144	63	1246	1217	79	1302	1179	52	1253
"MD"	2004	17	6	20	4		0	1745	110	1910	1831	151	1988	1829	88	1932
"MD"	2004	17	6	21	4		0	345	17	381	376	28	407	362	19	391
"MD"	2004	17	6	22	4		0	1516	87	1646	1593	114	1708	1573	61	1648
"MD"	2004	17	6	23	4		0	872	81	986	928	91	1026	894	77	991
"MD"	2004	17	7	1	4		0	1536	498	2144	1640	570	2223	1715	436	2184
"MD"	2004	17	7	2	5		0	534	377	939	433	522	975	518	421	954
"MD"	2004	17	7	3	5		0	812	458	1311	657	680	1358	782	535	1331
"MD"	2004	17	7	4	5		0	785	506	1340	652	727	1400	778	565	1362
"MD"	2004	17	7	5	5		0	1062	573	1675	911	789	1722	1042	630	1692
"MD"	2004	17	7	6	5		0	1026	280	1346	979	401	1393	1055	289	1370
"MD"	2004	17	7	7	5		0	1437	355	1823	1405	492	1908	1440	380	1850
"MD"	2004	17	7	8	5		0	2070	592	2726	1926	851	2810	2051	654	2753
"MD"	2004	17	7	9	5		0	1580	176	1782	1532	269	1810	1591	183	1788
"MD"	2004	17	7	10	5		0	1777	328	2143	1712	480	2206	1797	353	2165
"MD"	2004	17	7	11	4		0	2775	207	3084	2925	247	3181	2930	145	3100
"MD"	2004	17	7	12	4		0	1242	77	1364	1288	111	1402	1303	57	1376
"MD"	2004	17	7	13	4		0	1149	100	1323	1214	126	1345	1226	82	1321
"MD"	2004	17	7	14	5		0	725	276	1027	615	439	1070	703	326	1043
"MD"	2004	17	8	1	5		0	491	223	723	417	336	758	493	227	731
"MD"	2004	17	9	1	5		0	1984	200	2221	2024	303	2338	2005	210	2254
"MD"	2004	17	9	2	5		0	1856	156	2043	1839	271	2118	1880	168	2070
"MD"	2004	17	9	3	4		0	114	104	226	117	118	238	134	86	226
"MD"	2004	17	9	4	5		0	1042	121	1190	1039	196	1240	1040	138	1195
"MD"	2004	17	9	5	4		0	1552	158	1774	1631	195	1836	1623	130	1782
"MD"	2004	17	9	6	5		0	1448	157	1629	1467	243	1716	1479	156	1657
"MD"	2004	17	9	7	5		0	1674	123	1821	1655	219	1881	1689	131	1845
"MD"	2004	17	9	8	5		0	2173	215	2413	2155	322	2488	2170	220	2431
"MD"	2004	17	9	9	5		0	666	122	801	617	210	834	667	134	812
"MD"	2004	17	9	10	5		0	1091	156	1277	1089	228	1325	1111	167	1292
"MD"	2004	17	9	11	5		0	1699	213	1934	1659	337	2007	1714	218	1949
"MD"	2004	17	10	1	5		0	983	129	1137	987	191	1186	995	130	1145
"MD"	2004	17	10	2	5		0	1507	428	1987	1453	590	2071	1554	429	2017
"MD"	2004	17	10	3	5		0	668	253	952	645	330	993	697	257	977
"MD"	2004	17	10	4	5		0	882	188	1095	871	252	1140	919	183	1116
"MD"	2004	17	10	5	5		0	1279	725	2039	1045	1038	2120	1278	764	2068
"MD"	2004	17	10	6	5		0	1413	292	1734	1382	406	1803	1428	302	1755
"MD"	2004	17	10	7	5		0	897	223	1144	849	319	1180	889	248	1157
"MD"	2004	17	10	8	5		0	811	229	1068	778	312	1103	827	240	1083
"MD"	2004	17	10	9	5		0	1159	249	1451	1195	341	1547	1212	246	1485
"MD"	2004	17	10	10	5		0	787	182	988	750	257	1020	791	193	998
"MD"	2004	17	10	11	5		0	1022	182	1226	1001	275	1280	1022	210	1242
"MD"	2004	17	10	12	5		0	1474	314	1828	1469	410	1903	1523	299	1858
"MD"	2004	17	10	13	5		0	996	252	1283	930	394	1341	999	275	1302
"MD"	2004	17	11	1	5		0	1741	450	2238	1626	697	2344	1725	498	2262
"MD"	2004	17	11	2	5		0	1373	232	1631	1328	339	1679	1366	258	1643
"MD"	2004	17	11	3	5		0	1771	216	2014	1706	348	2060	1752	252	2033
"MD"	2004	17	12	1	4		0	803	170	1008	831	223	1057	843	156	1011
"MD"	2004	17	12	2	4		0	857	126	1010	944	132	1082	915	94	1027
"MD"	2004	17	12	3	4		0	1304	91	1427	1377	107	1492	1364	64	1440
"MD"	2004	17	12	4	4		0	1635	130	1839	1761	148	1913	1729	88	1843
"MD"	2004	17	12	5	4		0	1368	206	1649	1471	241	1723	1450	173	1650
"MD"	2004	17	12	6	4		0	1343	74	1448	1418	95	1515	1382	57	1453
"MD"	2004	17	12	7	4		0	2137	243	2448	2278	277	2566	2224	183	2453
"MD"	2004	17	12	8	4		0	1247	110	1395	1301	136	1443	1298	94	1411
"MD"	2004	17	12	9	4		0	1347	74	1450	1426	78	1509	1390	50	1455
"MD"	2004	17	12	10	4		0	1351	325	1753	1500	310	1823	1511	240	1775
"MD"	2004	17	12	11	4		0	1837	178	2106	1947	224	2179	1925	168	2125
"MD"	2004	17	12	12	4		0	1564	173	1782	1663	170	1845	1634	120	1784
"MD"	2004	17	12	13	4		0	1730	115	1886	1810	129	1950	1788	94	1901
"MD"	2004	17	12	14	4		0	1234	201	1504	1312	250	1568	1342	151	1519
"MD"	2004	17	12	15	4		0	1322	91	1451	1382	112	1500	1377	72	1468
"MD"	2004	17	13	1	4		0	910	30	1074	1091	51	1144	1034	24	1081
"MD"	2004	17	13	2	4		0	868	43	1169	1168	69	1241	1127	35	1180
"MD"	2004	17	13	3	4		0	958	32	1078	1046	62	1117	1030	24	1074
"MD"	2004	17	13	4	4		0	1095	100	1248	1160	134	1294	1155	86	1254
"MD"	2004	17	13	5	4		0	1778	209	2092	1945	200	2159	1948	133	2108
"MD"	2004	17	13	6	4		0	1506	93	1664	1587	124	1719	1587	65	1673
"MD"	2004	17	13	7	4		0	1579	115	1774	1722	143	1874	1666	91	1786
