state	year	county	cd	g2010_REG_tv	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_GOV_dv	g2010_GOV_rv	g2010_LTG_rv	g2010_LTG_dv	g2010_SOS_dv	g2010_SOS_rv	g2010_COM_dv	g2010_COM_rv	g2010_TRE_rv	g2010_ATG_rv	g2010_USH_dv	g2010_USH_rv
"ID"	2010	"111"	1	1941	1254	917	261	364	748	856	285	234	980	864	320	994	989	534.0	608.0
"ID"	2010	"112"	1	2094	1208	834	309	428	652	762	332	284	885	780	368	963	974	542.0	561.0
"ID"	2010	"113"	2	257	153	111	32	42	95	102	29	25	115	95	40	112	110	29.0	108.0
"ID"	2010	"114"	2	2136	1196	759	402	523	577	695	414	333	817	685	443	887	889	365.0	763.0
"ID"	2010	"115"	1	1798	987	704	244	310	589	639	258	231	722	660	274	785	786	406.0	491.0
"ID"	2010	"116"	2	1806	943	598	310	388	448	535	317	278	626	549	334	711	718	268.0	609.0
"ID"	2010	"117"	1	1526	989	822	101	169	714	776	118	114	835	775	166	846	850	317.0	612.0
"ID"	2010	"118"	1	1151	683	495	148	180	423	466	142	150	502	469	176	545	543	262.0	348.0
"ID"	2010	"119"	1	2856	1394	970	322	438	778	919	335	318	1031	978	350	1097	1131	510.0	742.0
"ID"	2010	"120"	1	1143	690	474	179	218	405	452	178	162	506	452	199	544	539	312.0	321.0
"ID"	2010	"121"	2	35	19	13	6	8	11	11	6	6	13	13	6	16	16	5.0	14.0
"ID"	2010	"122"	1	1358	703	505	141	200	417	463	158	148	525	500	153	545	547	256.0	361.0
"ID"	2010	"123"	1	1813	1033	814	152	213	689	760	158	170	802	766	182	812	819	345.0	570.0
"ID"	2010	"124"	1	1682	1049	829	159	208	717	802	135	163	840	797	175	850	849	362.0	598.0
"ID"	2010	"125"	1	64	44	39	2	4	32	37	3	3	38	34	7	40	42	10.0	29.0
"ID"	2010	"126"	1	2002	1173	917	205	248	834	894	183	206	927	892	223	972	976	356.0	731.0
"ID"	2010	"127"	1	1532	983	829	127	225	719	792	134	117	817	750	162	807	820	297.0	634.0
"ID"	2010	"128"	1	2100	1309	983	290	438	798	917	309	261	993	877	351	1032	1036	544.0	692.0
"ID"	2010	"129"	1	1385	795	534	217	261	443	497	220	216	536	482	232	575	586	329.0	376.0
"ID"	2010	"130"	1	2730	1535	1190	290	439	986	1134	305	285	1196	1142	318	1279	1289	491.0	954.0
"ID"	2010	"131"	1	2759	1512	1183	261	358	1040	1123	261	260	1192	1136	292	1268	1272	510.0	890.0
