state	year	county_name	town_name	county	town	ward	cd	precinct	g2004_BALL_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	42	1378	1120	236	1367	1145	188	1359
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	43	978	699	266	973	768	173	961
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	44	765	540	215	761	591	148	747
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	45	901	651	238	894	719	159	887
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	46	1021	961	47	1013	950	53	1008
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	47	1328	1262	60	1323	1246	63	1315
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	48	1094	732	343	1088	801	242	1063
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	49	845	520	316	841	550	251	814
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	50	1100	585	505	1094	718	343	1074
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	51	449	290	149	444	329	107	438
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	52	65	48	13	65	49	12	64
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	53	1351	918	423	1348	1004	314	1324
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	54	923	605	310	921	663	223	906
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	55	750	553	180	742	590	128	731
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	56	74	72	1	74	72	0	74
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	57	640	467	160	637	507	115	628
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	58	509	492	14	508	476	27	507
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	59	1065	687	365	1061	791	224	1031
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	60	754	536	210	750	580	139	727
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	61	1033	685	332	1024	764	235	1009
"MI"	2004	"GENESEE"	"FLUSHING CITY"	25	60	0	5	1	859	446	404	853	531	296	838
"MI"	2004	"GENESEE"	"FLUSHING CITY"	25	60	0	5	2	952	416	523	950	519	388	917
"MI"	2004	"GENESEE"	"FLUSHING CITY"	25	60	0	5	3	1075	502	555	1064	637	394	1037
"MI"	2004	"GENESEE"	"FLUSHING CITY"	25	60	0	5	4	1454	685	755	1450	857	534	1416
"MI"	2004	"GENESEE"	"FLUSHING CITY"	25	60	0	5	5	874	408	457	870	483	337	834
"MI"	2004	"GENESEE"	"LINDEN CITY"	25	61	0	5	1	2127	853	1250	2120	1046	948	2026
"MI"	2004	"GENESEE"	"GRAND BLANC CITY"	25	62	0	5	1	1003	423	562	996	562	389	968
"MI"	2004	"GENESEE"	"GRAND BLANC CITY"	25	62	0	5	2	906	443	438	898	525	322	870
"MI"	2004	"GENESEE"	"GRAND BLANC CITY"	25	62	0	5	3	1187	513	659	1183	647	490	1157
"MI"	2004	"GENESEE"	"GRAND BLANC CITY"	25	62	0	5	4	1361	606	735	1356	731	556	1315
"MI"	2004	"GENESEE"	"MONTROSE CITY"	25	63	0	5	1	812	451	349	810	523	255	791
"MI"	2004	"GENESEE"	"MOUNT MORRIS CITY"	25	64	0	5	1	511	319	182	508	368	120	496
"MI"	2004	"GENESEE"	"MOUNT MORRIS CITY"	25	64	0	5	2	893	587	297	889	640	211	864
"MI"	2004	"GENESEE"	"SWARTZ CREEK CITY"	25	66	0	5	1	864	441	407	859	556	275	838
"MI"	2004	"GENESEE"	"SWARTZ CREEK CITY"	25	66	0	5	2	649	359	284	647	408	213	629
"MI"	2004	"GENESEE"	"SWARTZ CREEK CITY"	25	66	0	5	3	766	473	284	762	534	204	750
"MI"	2004	"GENESEE"	"SWARTZ CREEK CITY"	25	66	0	5	4	979	480	484	971	604	332	946
"MI"	2004	"GENESEE"	"{Statistical Adjustments}"	25	9999	0	5	9999	45	32	12	44	29	9	40
"MI"	2004	"GLADWIN"	"BEAVERTON TOWNSHIP"	26	2	0	1	1	875	396	450	856	431	346	796
"MI"	2004	"GLADWIN"	"BENTLEY TOWNSHIP"	26	4	0	1	1	467	255	182	444	246	136	397
"MI"	2004	"GLADWIN"	"BILLINGS TOWNSHIP"	26	6	0	1	1	1347	726	550	1295	742	419	1199
"MI"	2004	"GLADWIN"	"BOURRET TOWNSHIP"	26	8	0	1	1	289	123	162	285	149	112	266
"MI"	2004	"GLADWIN"	"BUCKEYE TOWNSHIP"	26	10	0	1	1	568	255	291	549	293	207	511
"MI"	2004	"GLADWIN"	"BUTMAN TOWNSHIP"	26	12	0	1	1	1434	646	754	1415	734	607	1358
"MI"	2004	"GLADWIN"	"CLEMENT TOWNSHIP"	26	14	0	1	1	557	310	226	539	339	170	517
"MI"	2004	"GLADWIN"	"GLADWIN TOWNSHIP"	26	16	0	1	1	133	45	83	128	54	60	116
"MI"	2004	"GLADWIN"	"GLADWIN TOWNSHIP"	26	16	0	1	2	327	143	180	324	159	135	298
"MI"	2004	"GLADWIN"	"GRIM TOWNSHIP"	26	18	0	1	1	76	43	27	73	42	23	68
"MI"	2004	"GLADWIN"	"GROUT TOWNSHIP"	26	20	0	1	1	905	351	517	873	446	356	818
"MI"	2004	"GLADWIN"	"HAY TOWNSHIP"	26	22	0	1	1	691	383	276	663	419	201	628
"MI"	2004	"GLADWIN"	"SAGE TOWNSHIP"	26	24	0	1	1	1354	535	760	1310	642	575	1232
"MI"	2004	"GLADWIN"	"SECORD TOWNSHIP"	26	26	0	1	1	818	405	386	794	440	316	768
"MI"	2004	"GLADWIN"	"SHERMAN TOWNSHIP"	26	28	0	1	1	532	240	273	516	296	181	489
"MI"	2004	"GLADWIN"	"TOBACCO TOWNSHIP"	26	30	0	1	1	1446	691	714	1416	757	553	1337
"MI"	2004	"GLADWIN"	"BEAVERTON CITY"	26	52	0	1	1	150	85	60	146	98	41	142
"MI"	2004	"GLADWIN"	"BEAVERTON CITY"	26	52	0	1	2	169	91	71	163	102	54	156
"MI"	2004	"GLADWIN"	"BEAVERTON CITY"	26	52	0	1	3	179	80	95	177	78	69	154
"MI"	2004	"GLADWIN"	"GLADWIN CITY"	26	54	0	1	1	550	228	304	536	289	207	505
"MI"	2004	"GLADWIN"	"GLADWIN CITY"	26	54	0	1	2	746	312	409	725	389	286	683
"MI"	2004	"GOGEBIC"	"BESSEMER TOWNSHIP"	27	2	0	1	1	695	356	321	689	480	188	680
"MI"	2004	"GOGEBIC"	"ERWIN TOWNSHIP"	27	4	0	1	1	209	99	108	209	145	60	208
"MI"	2004	"GOGEBIC"	"IRONWOOD TOWNSHIP"	27	6	0	1	1	1366	646	687	1354	922	392	1337
"MI"	2004	"GOGEBIC"	"MARENISCO TOWNSHIP"	27	8	0	1	1	368	140	219	365	226	122	354
"MI"	2004	"GOGEBIC"	"WAKEFIELD TOWNSHIP"	27	10	0	1	1	215	117	94	215	150	54	206
"MI"	2004	"GOGEBIC"	"WATERSMEET TOWNSHIP"	27	12	0	1	1	824	350	467	819	467	298	776
"MI"	2004	"GOGEBIC"	"BESSEMER CITY"	27	52	0	1	1	1082	573	486	1070	832	213	1058
"MI"	2004	"GOGEBIC"	"IRONWOOD CITY"	27	54	0	1	1	597	317	272	592	452	123	580
