state	year	county_name	town_name	county	town	ward	cd	precinct	g2004_BALL_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"MI"	2004	"GENESEE"	"DAVISON TOWNSHIP"	25	10	0	5	7	1055	449	591	1049	579	434	1034
"MI"	2004	"GENESEE"	"DAVISON TOWNSHIP"	25	10	0	5	8	1771	855	907	1765	1089	604	1708
"MI"	2004	"GENESEE"	"FENTON TOWNSHIP"	25	12	0	5	1	1254	565	676	1252	681	487	1189
"MI"	2004	"GENESEE"	"FENTON TOWNSHIP"	25	12	0	5	2	1286	510	757	1283	662	549	1228
"MI"	2004	"GENESEE"	"FENTON TOWNSHIP"	25	12	0	5	3	2255	874	1348	2245	1109	992	2140
"MI"	2004	"GENESEE"	"FENTON TOWNSHIP"	25	12	0	5	4	1732	577	1129	1726	752	874	1648
"MI"	2004	"GENESEE"	"FENTON TOWNSHIP"	25	12	0	5	5	1261	574	672	1254	714	475	1213
"MI"	2004	"GENESEE"	"FENTON TOWNSHIP"	25	12	0	5	6	1232	470	737	1224	642	512	1178
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	1	1361	805	537	1353	933	378	1326
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	2	1380	864	498	1371	948	387	1345
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	3	1150	617	522	1145	719	391	1122
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	4	958	616	330	953	671	245	925
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	5	1252	660	587	1250	778	442	1230
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	6	923	678	232	921	726	161	901
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	7	804	654	134	795	652	130	790
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	8	700	453	238	697	499	166	673
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	9	601	529	66	598	528	64	595
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	10	698	418	277	697	466	207	681
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	11	621	419	190	616	450	149	608
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	12	973	528	439	970	624	312	945
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	13	961	528	422	955	625	304	937
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	14	1156	717	425	1150	782	333	1133
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	15	935	558	365	929	643	252	905
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	16	763	489	266	760	536	188	743
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	17	101	89	10	100	85	12	99
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	18	152	108	43	151	122	24	150
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	19	496	326	160	494	339	130	475
"MI"	2004	"GENESEE"	"FLINT TOWNSHIP"	25	14	0	5	20	21	15	6	21	18	3	21
"MI"	2004	"GENESEE"	"FLUSHING TOWNSHIP"	25	16	0	5	1	992	461	520	987	596	362	967
"MI"	2004	"GENESEE"	"FLUSHING TOWNSHIP"	25	16	0	5	2	1231	580	643	1229	692	486	1190
"MI"	2004	"GENESEE"	"FLUSHING TOWNSHIP"	25	16	0	5	3	969	364	584	960	507	423	939
"MI"	2004	"GENESEE"	"FLUSHING TOWNSHIP"	25	16	0	5	4	630	264	359	625	338	267	610
"MI"	2004	"GENESEE"	"FLUSHING TOWNSHIP"	25	16	0	5	5	891	426	459	888	533	327	867
"MI"	2004	"GENESEE"	"FLUSHING TOWNSHIP"	25	16	0	5	6	700	361	325	696	444	219	675
"MI"	2004	"GENESEE"	"FLUSHING TOWNSHIP"	25	16	0	5	7	812	393	408	808	475	297	788
"MI"	2004	"GENESEE"	"FOREST TOWNSHIP"	25	18	0	5	1	664	333	321	663	396	224	643
"MI"	2004	"GENESEE"	"FOREST TOWNSHIP"	25	18	0	5	2	1148	595	541	1144	719	369	1111
"MI"	2004	"GENESEE"	"FOREST TOWNSHIP"	25	18	0	5	3	899	486	409	897	584	274	870
"MI"	2004	"GENESEE"	"GAINES TOWNSHIP"	25	20	0	5	1	1188	574	600	1184	706	418	1139
"MI"	2004	"GENESEE"	"GAINES TOWNSHIP"	25	20	0	5	2	812	424	374	807	491	276	785
"MI"	2004	"GENESEE"	"GAINES TOWNSHIP"	25	20	0	5	3	641	327	307	639	394	214	620
"MI"	2004	"GENESEE"	"GAINES TOWNSHIP"	25	20	0	5	4	1255	605	624	1243	727	455	1207
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	1	665	395	260	663	453	179	642
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	2	866	743	111	856	755	90	848
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	3	425	244	176	424	284	123	414
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	4	643	411	221	641	437	168	616
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	5	879	501	368	876	608	236	858
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	6	703	482	210	698	517	156	682
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	7	627	423	196	625	471	128	611
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	8	531	336	191	529	373	131	513
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	9	1037	608	419	1034	682	309	1006
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	10	820	509	292	811	583	199	795
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	11	808	496	302	807	575	199	787
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	12	1471	924	531	1467	1065	346	1432
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	13	982	597	370	973	671	269	955
"MI"	2004	"GENESEE"	"GENESEE TOWNSHIP"	25	22	0	5	14	502	341	158	500	367	101	482
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	1	983	512	458	981	602	334	948
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	2	1099	598	481	1092	707	332	1064
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	3	503	267	230	502	312	161	481
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	4	1550	781	752	1546	940	535	1490
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	5	1975	1019	938	1970	1157	710	1906
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	6	2139	843	1282	2135	958	1054	2035
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	7	964	592	360	958	651	287	946
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	8	1529	622	894	1525	787	672	1477
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	9	1555	710	830	1552	818	661	1507
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	10	1843	637	1191	1834	820	943	1779
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	11	1424	839	565	1416	933	430	1376
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	12	823	445	367	822	477	301	794
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	13	971	504	453	967	591	328	933
"MI"	2004	"GENESEE"	"GRAND BLANC TOWNSHIP"	25	24	0	5	14	1077	493	568	1072	608	414	1035
"MI"	2004	"GENESEE"	"MONTROSE TOWNSHIP"	25	26	0	5	1	744	392	345	739	450	250	720
"MI"	2004	"GENESEE"	"MONTROSE TOWNSHIP"	25	26	0	5	2	642	358	277	641	410	199	618
"MI"	2004	"GENESEE"	"MONTROSE TOWNSHIP"	25	26	0	5	3	795	435	353	791	520	233	763
"MI"	2004	"GENESEE"	"MONTROSE TOWNSHIP"	25	26	0	5	4	861	458	390	857	544	276	832
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	1	831	575	252	829	610	196	813
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	2	264	231	31	262	236	24	261
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	3	544	318	219	541	383	133	526
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	4	800	617	176	798	648	131	790
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	5	376	312	60	374	320	48	373
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	6	801	483	309	799	534	248	790
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	7	675	476	192	673	504	156	664
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	8	443	371	66	440	387	44	436
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	9	604	558	39	600	557	32	596
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	10	722	675	42	719	671	38	715
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	11	595	566	23	590	564	17	587
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	12	819	746	69	818	763	45	815
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	13	746	658	82	742	663	70	740
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	14	1262	758	491	1259	865	356	1235
"MI"	2004	"GENESEE"	"MOUNT MORRIS TOWNSHIP"	25	28	0	5	15	953	529	416	951	613	304	928
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	1	539	273	263	539	320	192	521
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	2	692	405	278	688	445	222	674
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	3	1597	758	823	1591	945	585	1545
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	4	770	392	371	770	475	261	752
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	5	1012	528	470	1008	624	319	962
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	6	672	359	307	670	414	224	652
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	7	1791	869	899	1786	1047	655	1724
"MI"	2004	"GENESEE"	"MUNDY TOWNSHIP"	25	30	0	5	8	1124	518	588	1122	634	429	1076
"MI"	2004	"GENESEE"	"RICHFIELD TOWNSHIP"	25	32	0	5	1	574	343	223	572	384	170	561
"MI"	2004	"GENESEE"	"RICHFIELD TOWNSHIP"	25	32	0	5	2	1988	1066	903	1982	1260	655	1939
"MI"	2004	"GENESEE"	"RICHFIELD TOWNSHIP"	25	32	0	5	3	1534	778	742	1530	927	526	1479
"MI"	2004	"GENESEE"	"RICHFIELD TOWNSHIP"	25	32	0	5	4	731	443	281	730	492	197	704
"MI"	2004	"GENESEE"	"THETFORD TOWNSHIP"	25	34	0	5	1	532	336	188	532	365	133	513
"MI"	2004	"GENESEE"	"THETFORD TOWNSHIP"	25	34	0	5	2	592	329	256	590	394	173	573
"MI"	2004	"GENESEE"	"THETFORD TOWNSHIP"	25	34	0	5	3	959	566	381	957	650	264	929
"MI"	2004	"GENESEE"	"THETFORD TOWNSHIP"	25	34	0	5	4	1083	605	472	1082	701	328	1048
"MI"	2004	"GENESEE"	"THETFORD TOWNSHIP"	25	34	0	5	5	727	410	314	727	490	198	700
"MI"	2004	"GENESEE"	"VIENNA TOWNSHIP"	25	36	0	5	1	1158	650	497	1155	773	325	1112
"MI"	2004	"GENESEE"	"VIENNA TOWNSHIP"	25	36	0	5	2	1025	562	455	1023	655	308	974
"MI"	2004	"GENESEE"	"VIENNA TOWNSHIP"	25	36	0	5	3	1533	910	610	1531	1047	418	1489
"MI"	2004	"GENESEE"	"VIENNA TOWNSHIP"	25	36	0	5	4	1149	628	505	1145	731	374	1121
"MI"	2004	"GENESEE"	"VIENNA TOWNSHIP"	25	36	0	5	5	1281	645	621	1275	788	433	1237
"MI"	2004	"GENESEE"	"VIENNA TOWNSHIP"	25	36	0	5	6	855	456	395	853	525	274	815
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	1	1272	748	505	1262	893	327	1241
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	2	1088	706	373	1084	801	242	1058
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	3	1694	1000	670	1687	1123	498	1649
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	4	1318	802	504	1313	919	332	1282
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	5	1214	725	472	1210	847	322	1183
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	6	909	597	306	907	665	217	892
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	7	1104	687	411	1103	768	298	1079
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	8	1056	479	574	1055	545	456	1021
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	9	683	350	326	680	423	230	667
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	10	1694	989	689	1686	1145	493	1655
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	11	1161	610	535	1154	736	374	1121
"MI"	2004	"GENESEE"	"BURTON CITY"	25	50	0	5	12	1078	611	464	1077	704	314	1034
"MI"	2004	"GENESEE"	"CLIO CITY"	25	52	0	5	1	1240	691	533	1235	776	393	1193
"MI"	2004	"GENESEE"	"DAVISON CITY"	25	54	0	5	1	687	402	278	685	443	205	660
"MI"	2004	"GENESEE"	"DAVISON CITY"	25	54	0	5	2	660	365	288	660	428	201	633
"MI"	2004	"GENESEE"	"DAVISON CITY"	25	54	0	5	3	823	390	422	817	491	297	796
"MI"	2004	"GENESEE"	"DAVISON CITY"	25	54	0	5	4	719	383	329	718	457	232	699
"MI"	2004	"GENESEE"	"FENTON CITY"	25	56	0	5	1	1223	546	663	1216	590	536	1158
"MI"	2004	"GENESEE"	"FENTON CITY"	25	56	0	5	2	1078	459	611	1077	537	470	1030
"MI"	2004	"GENESEE"	"FENTON CITY"	25	56	0	5	3	1629	755	866	1627	840	690	1556
"MI"	2004	"GENESEE"	"FENTON CITY"	25	56	0	5	4	610	282	321	609	310	255	580
"MI"	2004	"GENESEE"	"FENTON CITY"	25	56	0	5	5	1090	512	565	1087	578	436	1045
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	1	989	951	32	986	928	45	978
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	2	994	959	26	988	935	37	978
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	3	724	694	21	718	672	37	717
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	4	894	866	25	892	847	37	885
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	5	920	886	28	916	871	26	905
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	6	751	722	22	747	698	38	741
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	7	959	919	26	948	903	36	945
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	8	973	942	28	971	921	29	954
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	9	752	716	29	746	708	31	742
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	10	901	867	24	894	862	25	890
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	11	805	753	40	796	750	40	797
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	12	721	668	48	719	653	58	716
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	13	1012	973	32	1006	951	46	1002
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	14	723	667	51	720	653	48	712
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	15	839	806	25	833	776	45	826
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	16	183	178	5	183	179	4	183
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	17	658	640	11	653	615	26	647
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	18	555	534	18	552	513	25	541
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	19	554	442	103	551	456	74	538
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	20	900	683	204	894	742	131	887
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	21	784	561	208	774	609	142	766
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	22	1151	826	304	1146	881	218	1122
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	23	651	482	156	645	506	107	635
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	24	168	110	57	167	128	36	166
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	25	1066	707	350	1064	778	243	1041
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	26	870	837	27	867	823	36	864
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	27	744	711	24	737	686	37	731
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	28	781	721	46	771	702	58	769
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	29	838	762	59	828	743	70	820
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	30	10	9	1	10	9	0	10
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	31	138	104	32	137	110	18	132
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	32	577	513	50	566	505	51	564
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	33	187	133	51	186	131	43	184
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	34	1285	1173	95	1269	1160	98	1263
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	35	960	893	60	955	884	51	944
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	36	912	817	85	907	815	73	898
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	37	970	628	324	966	676	259	961
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	38	949	648	287	944	689	222	925
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	39	528	381	139	525	409	96	516
"MI"	2004	"GENESEE"	"FLINT CITY"	25	58	0	5	40	113	90	22	113	96	14	113
