state	year	precinct	precinct_name	cd	g2010_REG_tv	g2010_USS_dv	g2010_USS_tv	g2010_USS_rv	g2010_USH_dv	g2010_USH_tv	g2010_USH_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv
"HI"	2010	"23-03"	"Ala Wai Community Park"	1	4513	533	880	262	428	861	433	498	922	415
"HI"	2010	"24-01"	"Manoa Elementary School"	1	5337	1443	1799	296	1082	1760	678	1234	1883	645
"HI"	2010	"24-02"	"Noelani Elementary School"	1	4504	1124	1506	311	871	1479	608	1038	1581	536
"HI"	2010	"24-03"	"University High School"	1	2148	447	569	90	360	547	187	425	601	171
"HI"	2010	"24-04"	"Central Union Church"	1	2635	582	763	151	433	734	301	479	790	305
"HI"	2010	"25-01"	"Lincoln Elementary School"	1	4132	723	1002	220	573	974	401	655	1060	392
"HI"	2010	"25-02"	"Christ United Methodist Church"	1	4283	872	1258	315	688	1251	563	817	1343	511
"HI"	2010	"25-03"	"St. Clements Church"	1	244	52	68	13	46	71	25	46	73	27
"HI"	2010	"25-04"	"Olivet Baptist Church"	1	1125	198	260	53	156	258	102	180	277	94
"HI"	2010	"25-05"	"Makiki District Park"	1	2995	509	681	143	373	657	284	426	706	275
"HI"	2010	"26-01"	"Kawananakoa Middle School"	1	5280	1302	1659	291	932	1598	666	1118	1731	600
"HI"	2010	"26-02"	"Nuuanu Elementary School"	1	2500	669	905	202	431	880	449	526	948	416
"HI"	2010	"26-03"	"Stevenson Middle School"	1	3033	620	815	156	474	788	314	516	853	332
"HI"	2010	"26-04"	"Royal Elementary School"	1	3373	703	912	167	527	891	364	615	955	334
"HI"	2010	"27-01"	"Lanakila Elementary School"	1	6017	1350	1710	297	897	1625	728	1074	1779	701
"HI"	2010	"27-02"	"Likelike Elementary School"	1	906	218	261	34	168	264	96	182	277	94
"HI"	2010	"27-03"	"Maemae Elementary School"	1	4612	1243	1585	276	851	1517	666	1026	1657	619
"HI"	2010	"28-01"	"Kaahumanu Elementary School"	1	1305	255	330	57	204	324	120	242	341	97
"HI"	2010	"28-02"	"McKinley Community School For Adults"	1	1644	321	442	103	237	419	182	269	460	188
"HI"	2010	"28-03"	"McKinley High School"	1	1172	175	285	88	129	288	159	146	300	151
"HI"	2010	"28-04"	"Kauilani Elementary School"	1	2808	472	627	103	335	610	275	408	655	243
"HI"	2010	"28-05"	"Central Middle School"	1	4997	728	1045	256	485	1019	534	586	1089	492
"HI"	2010	"29-01"	"Fern Elementary School"	1	4314	971	1200	168	637	1171	534	764	1250	482
"HI"	2010	"29-02"	"Farrington High School"	1	4809	923	1145	150	656	1106	450	792	1186	385
"HI"	2010	"30-01"	"Kapalama Elementary School"	1	3568	890	1104	178	599	1069	470	682	1152	466
"HI"	2010	"30-02"	"Kalihi Uka Elementary School"	1	3136	852	1039	152	563	986	423	650	1076	419
"HI"	2010	"30-03"	"Moanalua Elementary School"	1	258	57	84	22	37	84	47	40	86	45
"HI"	2010	"30-04"	"Kaewai Elementary School"	1	2910	737	877	107	480	839	359	599	902	298
"HI"	2010	"31-01"	"Moanalua Middle School"	1	2007	530	662	117	326	616	290	405	691	282
"HI"	2010	"31-02"	"Moanalua High School"	1	4814	1076	1438	307	683	1403	720	845	1498	646
"HI"	2010	"31-03"	"Salt Lake Elementary School"	1	5574	1378	1806	368	894	1731	837	1087	1871	772
"HI"	2010	"32-01"	"Moanalua Elementary School"	1	1568	481	605	109	319	568	249	353	622	268
"HI"	2010	"32-02"	"Aiea Elementary School"	1	3281	642	903	236	430	864	434	500	936	428
"HI"	2010	"32-03"	"Aliamanu Intermediate School"	1	1850	119	187	62	91	193	102	98	197	98
"HI"	2010	"32-04"	"Makalapa Elementary School"	1	3590	710	889	155	474	830	356	537	912	366
"HI"	2010	"32-05"	"Radford High School"	1	3042	776	1071	252	488	1038	550	568	1132	561
"HI"	2010	"33-01"	"Aiea High School"	1	3814	991	1293	267	673	1240	567	801	1353	547
"HI"	2010	"33-02"	"Halawa District Park"	1	3741	914	1159	218	593	1074	481	691	1206	511
"HI"	2010	"33-03"	"Pearlridge Elementary School"	1	4643	1079	1450	329	685	1389	704	849	1514	658
"HI"	2010	"34-01"	"Calvary Chapel Christian School"	1	4373	1046	1289	205	659	1201	542	794	1335	532
"HI"	2010	"34-02"	"Lehua Elementary School"	1	717	123	144	17	82	133	51	94	147	52
"HI"	2010	"34-03"	"Waimalu Elementary School"	1	4578	1110	1465	320	719	1408	689	827	1513	673
"HI"	2010	"34-04"	"Highlands Intermediate School"	1	2918	713	881	150	490	822	332	572	905	328
"HI"	2010	"35-01"	"Crestview Community Park"	1	2196	585	739	135	351	709	358	383	766	376
