state	year	county	ed	precinct	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv
"MD"	2000	2	7	22	5	648	817	1465	472	983	1507	608	876	1484
"MD"	2000	2	7	23	1	665	1003	1668	775	914	1743	873	847	1720
"MD"	2000	2	7	24	1	369	838	1207	453	784	1264	522	716	1238
"MD"	2000	2	7	25	5	493	507	1000	401	589	1021	473	540	1013
"MD"	2000	3	1	1	3	340	60	400	350	111	489	367	89	456
"MD"	2000	3	1	2	3	471	105	576	434	159	665	486	140	626
"MD"	2000	3	1	3	3	364	122	486	304	207	538	356	159	515
"MD"	2000	3	1	4	3	228	88	316	210	127	351	227	108	335
"MD"	2000	3	1	5	3	365	130	495	333	217	574	360	182	542
"MD"	2000	3	1	6	3	832	250	1082	718	444	1243	823	364	1187
"MD"	2000	3	2	1	3	259	37	296	262	49	345	285	42	327
"MD"	2000	3	2	2	3	460	104	564	391	160	637	451	150	601
"MD"	2000	3	2	3	3	613	153	766	566	229	866	607	204	811
"MD"	2000	3	3	1	3	336	19	355	425	21	454	398	19	417
"MD"	2000	3	3	2	7	50	4	54	55	3	64	51	6	57
"MD"	2000	3	3	3	3	265	84	349	241	144	424	271	126	397
"MD"	2000	3	3	4	7	37	3	40	38	1	44	40	1	41
"MD"	2000	3	4	1	3	165	43	208	158	65	237	169	56	225
"MD"	2000	3	4	2	7	182	62	244	185	74	285	195	72	267
"MD"	2000	3	4	3	7	113	4	117	135	7	144	126	7	133
"MD"	2000	3	5	1	7	264	9	273	325	12	339	290	10	300
"MD"	2000	3	5	2	7	211	4	215	235	5	246	208	7	215
"MD"	2000	3	5	3	7	137	3	140	187	2	191	158	4	162
"MD"	2000	3	6	1	7	356	24	380	409	35	456	398	31	429
"MD"	2000	3	6	2	7	222	6	228	244	9	255	231	10	241
"MD"	2000	3	6	3	7	252	9	261	269	14	287	254	10	264
"MD"	2000	3	6	4	7	402	44	446	417	48	501	421	50	471
"MD"	2000	3	6	5	3	564	83	647	576	140	741	592	109	701
"MD"	2000	3	7	1	7	306	4	310	336	9	346	314	8	322
"MD"	2000	3	7	2	7	334	6	340	368	6	376	339	6	345
"MD"	2000	3	7	3	7	476	17	493	531	18	557	495	21	516
"MD"	2000	3	7	4	7	360	2	362	430	7	437	376	7	383
"MD"	2000	3	7	5	7	372	24	396	434	33	474	414	24	438
"MD"	2000	3	7	6	7	166	7	173	202	17	222	181	16	197
"MD"	2000	3	8	1	3	453	95	548	399	163	609	444	146	590
"MD"	2000	3	8	2	3	379	55	434	421	95	537	424	76	500
"MD"	2000	3	8	3	7	238	17	255	269	27	298	251	22	273
"MD"	2000	3	8	4	7	212	4	216	244	5	250	226	5	231
"MD"	2000	3	8	5	7	455	8	463	533	8	544	509	8	517
"MD"	2000	3	8	6	7	378	3	381	405	5	412	389	6	395
"MD"	2000	3	8	7	7	796	10	806	880	14	897	828	16	844
"MD"	2000	3	8	8	7	223	1	224	250	4	255	227	4	231
"MD"	2000	3	8	9	7	313	3	316	367	5	373	336	4	340
"MD"	2000	3	8	10	7	498	2	500	563	9	575	529	6	535
"MD"	2000	3	8	11	7	1527	10	1537	1741	26	1777	1627	24	1651
"MD"	2000	3	8	12	7	250	1	251	297	4	301	270	3	273
"MD"	2000	3	8	13	7	404	5	409	469	11	481	429	11	440
"MD"	2000	3	9	1	7	251	14	265	266	20	292	256	20	276
"MD"	2000	3	9	2	7	319	20	339	359	33	397	333	32	365
"MD"	2000	3	9	3	7	575	25	600	594	36	654	603	32	635
"MD"	2000	3	9	4	7	679	53	732	708	62	802	719	55	774
"MD"	2000	3	9	5	7	789	40	829	812	63	898	814	64	878
"MD"	2000	3	9	6	7	960	44	1004	1014	64	1103	1011	59	1070
"MD"	2000	3	9	7	7	134	12	146	132	13	169	146	13	159
"MD"	2000	3	9	8	7	653	5	658	726	7	738	701	4	705
"MD"	2000	3	9	9	7	553	10	563	630	11	643	584	5	589
"MD"	2000	3	9	10	7	328	19	347	360	29	394	343	24	367
"MD"	2000	3	9	11	7	395	16	411	440	17	478	429	16	445
"MD"	2000	3	9	12	7	93	0	93	107	1	110	97	1	98
"MD"	2000	3	9	13	7	648	7	655	723	19	746	683	11	694
"MD"	2000	3	9	14	7	431	2	433	463	5	469	447	4	451
"MD"	2000	3	9	15	7	634	8	642	701	16	719	671	14	685
"MD"	2000	3	9	16	7	537	8	545	596	15	613	544	12	556
"MD"	2000	3	9	17	7	153	1	154	169	2	174	159	1	160
"MD"	2000	3	10	1	7	452	3	455	483	8	491	466	5	471
"MD"	2000	3	10	2	7	534	6	540	600	13	616	552	13	565
"MD"	2000	3	10	3	7	142	3	145	159	1	160	146	4	150
"MD"	2000	3	10	4	7	267	1	268	306	8	320	272	4	276
"MD"	2000	3	11	1	7	399	77	476	380	80	525	421	78	499
"MD"	2000	3	11	2	7	149	9	158	161	17	185	160	16	176
"MD"	2000	3	11	3	7	507	84	591	520	78	651	552	74	626
"MD"	2000	3	11	4	7	317	5	322	344	7	362	312	8	320
"MD"	2000	3	11	5	7	175	29	204	185	20	234	194	28	222
"MD"	2000	3	11	6	7	511	99	610	547	111	712	555	102	657
"MD"	2000	3	11	7	7	436	47	483	432	46	549	473	54	527
"MD"	2000	3	12	1	7	675	250	925	687	322	1075	749	294	1043
"MD"	2000	3	12	2	7	670	225	895	664	248	993	746	225	971
"MD"	2000	3	12	3	7	201	63	264	185	64	301	225	60	285
"MD"	2000	3	12	4	7	493	120	613	460	138	687	532	122	654
"MD"	2000	3	12	5	7	532	87	619	447	82	670	570	80	650
"MD"	2000	3	12	6	7	354	62	416	287	50	451	366	59	425
"MD"	2000	3	12	7	7	504	17	521	549	21	595	527	26	553
"MD"	2000	3	12	8	7	527	51	578	446	54	627	534	61	595
"MD"	2000	3	12	9	7	193	30	223	205	42	267	212	36	248
"MD"	2000	3	12	10	7	155	35	190	170	49	233	171	46	217
"MD"	2000	3	12	11	7	466	26	492	516	21	558	493	29	522
"MD"	2000	3	12	12	7	317	13	330	366	16	393	313	13	326
"MD"	2000	3	12	13	7	290	9	299	314	9	338	303	10	313
"MD"	2000	3	13	1	7	596	201	797	589	241	921	668	217	885
"MD"	2000	3	13	2	3	425	79	504	408	161	604	435	137	572
"MD"	2000	3	13	3	3	478	144	622	393	286	734	482	219	701
"MD"	2000	3	13	4	3	346	107	453	268	217	523	335	176	511
"MD"	2000	3	13	5	3	143	42	185	117	70	213	147	55	202
"MD"	2000	3	13	6	7	274	2	276	308	5	317	294	4	298
"MD"	2000	3	13	7	7	578	9	587	631	14	656	593	15	608
"MD"	2000	3	13	8	7	588	17	605	614	22	653	599	24	623
"MD"	2000	3	13	9	7	368	4	372	419	3	427	386	9	395
"MD"	2000	3	13	10	7	160	3	163	192	8	204	172	7	179
"MD"	2000	3	13	11	7	597	24	621	648	32	698	623	30	653
"MD"	2000	3	13	12	7	502	177	679	496	217	808	581	193	774
"MD"	2000	3	13	13	7	257	93	350	273	115	434	288	114	402
"MD"	2000	3	14	1	7	285	40	325	286	48	377	311	42	353
"MD"	2000	3	14	2	7	595	70	665	608	77	745	634	71	705
"MD"	2000	3	14	3	7	335	6	341	359	13	376	348	9	357
"MD"	2000	3	14	4	7	759	22	781	804	26	855	762	34	796
"MD"	2000	3	14	5	7	181	4	185	205	8	213	193	4	197
"MD"	2000	3	15	1	7	347	4	351	382	8	393	360	9	369
"MD"	2000	3	15	2	7	604	3	607	692	5	701	645	5	650
"MD"	2000	3	15	3	7	859	13	872	956	30	995	906	23	929
"MD"	2000	3	15	4	7	358	4	362	379	8	391	369	10	379
"MD"	2000	3	15	5	7	359	3	362	395	12	411	368	10	378
"MD"	2000	3	15	6	7	773	10	783	822	25	856	784	18	802
"MD"	2000	3	15	7	7	413	6	419	440	11	452	426	11	437
"MD"	2000	3	15	8	7	363	4	367	389	9	399	373	5	378
