state	year	parish	ward	precinct	cd	cd2	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"LA"	2000	"Tangipahoa"	"0"	"17"	1		364	46	421	120	99	237			
"LA"	2000	"East Baton Rouge"	"1-"	"14B"	6		452	8	462	255	107	371			
"LA"	2000	"Acadia"	"1-"	"2A"	7		118	179	300	183		210			
"LA"	2000	"Acadia"	"6-"	"6"	7		321	17	339	250		261			
"LA"	2000	"Caddo"	"0"	"11"	4		150	407	565	57	446	511			
"LA"	2000	"St. Tammany"	"0"	"901"	1		539	1063	1625	290	1102	1428			
"LA"	2000	"Caddo"	"0"	"85B"	4		471	415	895	269	457	744			
"LA"	2000	"Jackson"	"2-"	"4"	5		67	530	607	58	385	449			
"LA"	2000	"Orleans"	"7-"	"33A"	1		143	157	307	71	166	244			
"LA"	2000	"Terrebonne"	"0"	"56"	3		74	112	194		115	146			
"LA"	2000	"St. Tammany"	"0"	"408"	1		241	924	1187	133	913	1060			
"LA"	2000	"Assumption"	"1-"	"2"	3		417	294	731		366	491			
"LA"	2000	"De Soto"	"0"	"49"	4		93	137	236	27	138	172			
"LA"	2000	"Claiborne"	"0"	"94"	4		4	18	22	1	11	12			
"LA"	2000	"St. Mary"	"0"	"24"	3		160	604	795		515	603			
"LA"	2000	"East Baton Rouge"	"1-"	"3B"	6		171	13	187	98	55	156			
"LA"	2000	"St. Helena"	"4-"	"1"	6		510	295	840	180	330	522			
"LA"	2000	"St. Tammany"	"0"	"902A"	1		1	8	10	0	10	10			
"LA"	2000	"West Feliciana"	"1-"	"1"	6		208	332	560	127	335	479			
"LA"	2000	"St. Charles"	"4-"	"2"	3		221	450	703		378	454			
"LA"	2000	"St. Tammany"	"0"	"413"	1		112	912	1037	41	863	925			
"LA"	2000	"Acadia"	"4-"	"1"	7		137	235	380	259		302			
"LA"	2000	"Morehouse"	"Early Voting"	"0"	5		172	500	681	142	527	683			
"LA"	2000	"Ouachita"	"3-"	"7"	5		452	24	496	229	93	341			
"LA"	2000	"Catahoula"	"9-"	"2"	5		49	104	156	41	66	109			
"LA"	2000	"Union"	"3-"	"6"	5		71	231	314	53	202	259			
"LA"	2000	"St. Martin"	"8-"	"3"	3		351	383	764		359	453			
"LA"	2000	"St. Bernard"	"0"	"35"	3		334	673	1041		863	978			
"LA"	2000	"St. John The Baptist"	"0"	"2"	3		841	42	917		148	386			
"LA"	2000	"Orleans"	"7-"	"22"	2		295	16	317						
"LA"	2000	"St. Bernard"	"0"	"23"	3		210	198	422		282	376			
"LA"	2000	"Evangeline"	"4-"	"1-1R"	7		18	51	71	36		42			
"LA"	2000	"De Soto"	"0"	"33"	4		278	249	551	86	262	372			
"LA"	2000	"Jefferson"	"0"	"125"	1		318	554	892	184	603	800			
"LA"	2000	"Pointe Coupee"	"0"	"14B"	6		429	12	456	150	92	250			
"LA"	2000	"Avoyelles"	"1-"	"1"	5		132	367	509	86	274	365			
"LA"	2000	"Bossier"	"3-"	"3"	4		130	123	259	59	133	203			
"LA"	2000	"St. Mary"	"0"	"31"	3		77	166	251		164	190			
"LA"	2000	"Orleans"	"5-"	"4"	2		64	0	64						
"LA"	2000	"Lafayette"	"0"	"3B"	7		215	237	469	268		319			
"LA"	2000	"St. Tammany"	"0"	"907B"	1		10	55	68	2	58	60			
"LA"	2000	"Jefferson"	"0"	"20"	1		148	290	455	68	300	378			
"LA"	2000	"Lafourche"	"10-"	"4"	3		104	193	312		214	286			
"LA"	2000	"Terrebonne"	"0"	"17A"	3		128	410	550		349	398			
"LA"	2000	"Tangipahoa"	"0"	"133D"	1		0	0	0	0	0	0			
"LA"	2000	"Caddo"	"0"	"151"	4		66	86	154	21	103	127			
"LA"	2000	"Acadia"	"2-"	"2"	7		61	344	407	269		325			
"LA"	2000	"Washington"	"5-"	"3"	1		51	113	168	11	79	95			
"LA"	2000	"Tangipahoa"	"0"	"115B"	1		245	37	288	103	52	164			
"LA"	2000	"Rapides"	"0"	"38"	5		250	382	645	114	292	415			
"LA"	2000	"Terrebonne"	"0"	"59L"	3		278	304	597		344	415			
"LA"	2000	"Jefferson"	"0"	"28"	1		100	276	394	44	270	325			
"LA"	2000	"Acadia"	"5-"	"2B"	7		5	24	29	13		23			
"LA"	2000	"Jefferson"	"K"	"4"	1		254	804	1078	130	802	948			
"LA"	2000	"St. Tammany"	"0"	"903B"	1		95	39	135	55	47	102			
"LA"	2000	"Sabine"	"8-"	"2"	4		338	169	535	119	194	354			
"LA"	2000	"Webster"	"2-"	"2"	4		167	407	584	48	364	431			
"LA"	2000	"Iberville"	"0"	"11"	6		402	28	450	100	96	210			
"LA"	2000	"Jefferson"	"0"	"133"	2		334	57	397						
"LA"	2000	"Allen"	"1-"	"7"	4		56	53	115	28	20	56			
"LA"	2000	"Tensas"	"3-"	"3"	5		19	122	146	18	82	100			
"LA"	2000	"East Carroll"	"5-"	"1"	5		109	5	120	45	30	79			
"LA"	2000	"Concordia"	"5-"	"4"	5		128	117	256	72	90	168			
"LA"	2000	"Lincoln"	"4-"	"2"	5		109	215	335	46	158	211			
"LA"	2000	"Iberville"	"0"	"12"	6		35	16	51	18	18	37			
"LA"	2000	"Livingston"	"0"	"11"	6		451	544	1033	270	539	845			
"LA"	2000	"East Baton Rouge"	"1-"	"91B"	6		217	8	228	123	45	169			
"LA"	2000	"St. Mary"	"0"	"20"	3		299	458	780		428	559			
"LA"	2000	"Jefferson"	"0"	"187"	2		850	35	891						
"LA"	2000	"Jefferson"	"K"	"19"	1		300	630	947	163	628	808			
"LA"	2000	"Winn"	"2-"	"3"	5		228	88	328	105	94	210			
"LA"	2000	"St. Landry"	"3-"	"6"	7		274	193	475	254		281			
"LA"	2000	"St. Charles"	"1-"	"1"	3		321	12	347		73	162			
"LA"	2000	"Orleans"	"9-"	"42"	2		285	67	358						
"LA"	2000	"Vernon"	"7-"	"5B"	4		24	44	70	8	34	43			
"LA"	2000	"St. Charles"	"5-"	"1"	3		769	45	834		124	319			
"LA"	2000	"Lafayette"	"0"	"90"	7		125	353	501	238		319			
"LA"	2000	"St. Landry"	"1-"	"25"	7		315	10	330	213		229			
"LA"	2000	"St. Bernard"	"0"	"54"	3		380	274	675		434	562			
"LA"	2000	"Rapides"	"0"	"6"	5		41	132	179	32	83	116			
