state	year	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_DEL_dv	g2004_DEL_rv	g2004_DEL_tv	g2004_SHADR_dv	g2004_SHADR_rv	g2004_SHADR_tv
"DC"	2004	28	2092	580	2672	2051	540	2591	1598	388	1986
"DC"	2004	29	1036	227	1263	1027	204	1231	796	197	993
"DC"	2004	30	942	296	1238	954	251	1205	760	158	918
"DC"	2004	31	1860	404	2264	1834	373	2207	1397	342	1739
"DC"	2004	32	1993	357	2350	1956	310	2266	1471	296	1767
"DC"	2004	33	2164	382	2546	2152	328	2480	1576	399	1975
"DC"	2004	34	2829	533	3362	2818	472	3290	2194	513	2707
"DC"	2004	35	2580	165	2745	2546	180	2726	1683	749	2432
"DC"	2004	36	1935	135	2070	1903	125	2028	1534	316	1850
"DC"	2004	37	1587	64	1651	1566	52	1618	1388	139	1527
"DC"	2004	38	1278	68	1346	1268	52	1320	1067	131	1198
"DC"	2004	39	2017	152	2169	2000	157	2157	1377	570	1947
"DC"	2004	40	2259	180	2439	2273	176	2449	1527	640	2167
"DC"	2004	41	1390	102	1492	1398	61	1459	1111	220	1331
"DC"	2004	42	805	35	840	789	40	829	625	127	752
"DC"	2004	43	770	44	814	777	33	810	686	88	774
"DC"	2004	44	1593	210	1803	1617	144	1761	1429	155	1584
"DC"	2004	45	1172	42	1214	1194	31	1225	1005	116	1121
