state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	s2008_USS_dv	s2008_USS_rv	g2008_USH_dv	g2008_USH_rv	g2008_USP_tv	g2008_USS_tv	g2008_USH_tv	s2008_USS_tv
"WY"	2008	"Laramie"	"Taco Johns Ice and Event Center 4-7"	305	739	239	777	253	761	417	577	1044	1016	994	1014
"WY"	2008	"Laramie"	"Laramie County Community College 4-8"	357	523	303	575	326	549	498	351	880	878	849	875
"WY"	2008	"Laramie"	"Laramie County Community College 4-9"	390	633	297	723	326	689	523	443	1023	1020	966	1015
"WY"	2008	"Laramie"	"Laramie County Community College 5-1"	398	599	318	689	348	663	524	437	997	1007	961	1011
"WY"	2008	"Laramie"	"Qwest Building 5-2"	392	880	306	966	317	954	523	716	1272	1272	1239	1271
"WY"	2008	"Laramie"	"Laramie County Fire Dist. #2 5-3"	307	561	272	614	265	615	416	433	868	886	849	880
"WY"	2008	"Laramie"	"Cheyenne Hills Church 5-4"	348	824	252	917	267	901	525	611	1172	1169	1136	1168
"WY"	2008	"Laramie"	"Archer Research Station 5-5"	140	389	120	405	108	416	188	318	529	525	506	524
"WY"	2008	"Laramie"	"Carpenter Fire Station 6-1"	169	550	149	593	135	600	279	434	719	742	713	735
"WY"	2008	"Laramie"	"Burns Community Center  6-2"	165	600	132	634	149	619	304	436	765	766	740	768
"WY"	2008	"Laramie"	"Commerce Building 6-3"	182	589	131	650	157	624	264	486	771	781	750	781
"WY"	2008	"Laramie"	"Petsch Feedlot Office 6-4"	16	70	8	80	8	80	21	62	86	88	83	88
"WY"	2008	"Laramie"	"Albin Community Center 6-5"	35	159	20	177	25	172	45	144	194	197	189	197
"WY"	2008	"Laramie"	"Laramie County Community College 7-1"	22	22	23	21	25	20	29	14	44	44	43	45
"WY"	2008	"Laramie"	"Qwest Building 7-2"	7	12	4	15	5	14	6	13	19	19	19	19
"WY"	2008	"Laramie"	"Mary Godfrey Playhouse 7-3"	6	8	4	10	5	7	6	8	14	14	14	12
"WY"	2008	"Laramie"	"Mary Godfrey Playhouse 7-4"	49	52	39	61	40	62	66	34	101	100	100	102
"WY"	2008	"Laramie"	"Laramie County Library 7-5"	55	72	50	76	52	72	73	50	127	126	123	124
"WY"	2008	"Lincoln"	"South Lincoln Training & Events Ctr. 1-1"	145	199	117	240	113	242	197	145	344	357	342	355
"WY"	2008	"Lincoln"	"South Lincoln Training & Events Ctr. 1-2"	131	308	111	333	122	317	217	203	439	444	420	439
"WY"	2008	"Lincoln"	"South Lincoln Training & Events Ctr. 1-3"	155	354	120	406	109	415	256	249	509	526	505	524
"WY"	2008	"Lincoln"	"Diamondville School Admin Bldg 1-4"	77	149	58	185	68	173	129	105	226	243	234	241
"WY"	2008	"Lincoln"	"Diamondville Search & Rescue Bldg 1-5"	57	70	45	90	49	87	87	46	127	135	133	136
"WY"	2008	"Lincoln"	"South Lincoln Training & Events Ctr. 1-6"	23	95	24	94	24	95	38	78	118	118	116	119
"WY"	2008	"Lincoln"	"Opal Town Hall 1-7"	13	57	12	58	11	59	19	46	70	70	65	70
"WY"	2008	"Lincoln"	"LaBarge Town Hall 1-8"	39	295	46	291	47	288	84	228	334	337	312	335
"WY"	2008	"Lincoln"	"Afton Civic Center 2-1"	128	756	99	801	115	780	202	636	884	900	838	895
"WY"	2008	"Lincoln"	"Afton Civic Center  2-2"	25	213	20	226	20	227	49	189	238	246	238	247
"WY"	2008	"Lincoln"	"Alpine Civic Center 2-3"	273	437	191	512	204	494	338	339	710	703	677	698
"WY"	2008	"Lincoln"	"Bedford Water & Sewer Building 2-4"	55	359	43	376	40	380	90	300	414	419	390	420
"WY"	2008	"Lincoln"	"Etna Elementary School 2-5"	131	547	94	597	95	587	198	440	678	691	638	682
"WY"	2008	"Lincoln"	"Afton Civic Center 2-6"	65	428	48	456	50	454	110	364	493	504	474	504
"WY"	2008	"Lincoln"	"Afton Civic Center 2-7"	107	840	77	874	79	869	183	712	947	951	895	948
"WY"	2008	"Lincoln"	"Thayne Town Hall 2-8"	60	399	51	413	55	407	93	338	459	464	431	462
"WY"	2008	"Lincoln"	"Cokeville Town Hall 2-9"	40	318	33	330	36	319	96	249	358	363	345	355
"WY"	2008	"Lincoln"	"Star Valley Ranch 2-10"	299	661	241	719	235	721	346	585	960	960	931	956
"WY"	2008	"Natrona"	"Roosevelt School 1-1"	324	299	266	363	279	353	425	176	623	629	601	632
"WY"	2008	"Natrona"	"Natrona County Library 1-2"	288	296	237	342	237	353	362	202	584	579	564	590
"WY"	2008	"Natrona"	"Dean Morgan Junior High School 1-3"	412	515	314	620	337	600	514	387	927	934	901	937
"WY"	2008	"Natrona"	"Casper College 1-4"	352	542	262	633	261	644	446	403	894	895	849	905
"WY"	2008	"Natrona"	"Jefferson School 1-5"	271	327	214	378	218	384	349	241	598	592	590	602
"WY"	2008	"Natrona"	"Grant School 1-6"	425	802	339	891	353	886	616	567	1227	1230	1183	1239
"WY"	2008	"Natrona"	"Senior Citizens' Center 1-7"	227	301	178	368	188	351	298	231	528	546	529	539
"WY"	2008	"Natrona"	"7th Day Adventist School 1-9"	262	692	182	788	177	793	367	579	954	970	946	970
"WY"	2008	"Natrona"	"Crest Hill School 1-11"	249	467	171	543	174	537	331	362	716	714	693	711
"WY"	2008	"Natrona"	"Willard School 1-12"	130	240	114	251	118	241	189	156	370	365	345	359
"WY"	2008	"Natrona"	"Westwood School 2-1"	375	547	271	649	294	632	491	395	922	920	886	926
"WY"	2008	"Natrona"	"McKinley School 2-2"	302	424	230	491	247	485	406	281	726	721	687	732
"WY"	2008	"Natrona"	"Old CY Junior High School 2-3"	243	449	174	526	180	522	378	304	692	700	682	702
"WY"	2008	"Natrona"	"Southridge School 2-4"	252	440	209	481	210	476	339	328	692	690	667	686
"WY"	2008	"Natrona"	"Casper Shrine Club 2-6"	290	844	224	916	224	917	453	648	1134	1140	1101	1141
"WY"	2008	"Natrona"	"Paradise Valley School 2-7"	378	1009	269	1129	294	1103	589	752	1387	1398	1341	1397
"WY"	2008	"Natrona"	"Oregon Trail School 2-8"	314	847	244	928	259	917	491	633	1161	1172	1124	1176
"WY"	2008	"Natrona"	"Shepherd of the Valley Care Ctr. 2-9"	222	472	164	533	183	509	328	348	694	697	676	692
"WY"	2008	"Natrona"	"Bethel Baptist Church 2-10"	348	767	239	877	238	883	466	623	1115	1116	1089	1121
"WY"	2008	"Natrona"	"University Park School 3-2"	353	552	264	653	280	638	538	333	905	917	871	918
"WY"	2008	"Natrona"	"Pineview School 3-3"	361	559	255	680	273	659	488	402	920	935	890	932
"WY"	2008	"Natrona"	"Sagewood School 3-4"	406	830	306	946	328	921	591	604	1236	1252	1195	1249
"WY"	2008	"Natrona"	"Kelly Walsh High School 3-5"	288	570	205	656	215	644	407	418	858	861	825	859
"WY"	2008	"Natrona"	"Manor Heights School 3-6"	317	794	223	892	220	898	450	653	1111	1115	1103	1118
"WY"	2008	"Natrona"	"Prince of Peace Lutheran Church 3-8"	446	717	301	889	357	832	626	506	1163	1190	1132	1189
"WY"	2008	"Natrona"	"Verda James School 3-9"	231	463	178	520	179	518	340	330	694	698	670	697
"WY"	2008	"Natrona"	"Centennial Junior High School 3-10"	431	1243	300	1376	278	1405	621	1012	1674	1676	1633	1683
"WY"	2008	"Natrona"	"Evansville School 4-1"	219	410	168	486	203	457	321	280	629	654	601	660
"WY"	2008	"Natrona"	"Evansville School - Out 4-2"	175	711	131	758	126	771	284	561	886	889	845	897
"WY"	2008	"Natrona"	"Hat Six Ranch 5-1"	17	58	14	60	11	62	27	43	75	74	70	73
"WY"	2008	"Natrona"	"Midwest Town Hall 7-1"	49	127	29	149	32	145	84	87	176	178	171	177
"WY"	2008	"Natrona"	"Edgerton Town Hall 7-2"	14	85	14	85	12	87	33	65	99	99	98	99
"WY"	2008	"Natrona"	"Mills Community Center 8-1"	370	741	289	837	305	829	559	485	1111	1126	1044	1134
"WY"	2008	"Natrona"	"Mountain View School 8-2"	88	194	79	205	74	213	138	134	282	284	272	287
"WY"	2008	"Natrona"	"Wardwell Water & Sewer 8-3"	123	407	107	431	113	427	208	293	530	538	501	540
"WY"	2008	"Natrona"	"Christian Church of Casper 8-4"	190	737	156	783	152	790	323	586	927	939	909	942
"WY"	2008	"Natrona"	"Bar Nunn School 8-5"	202	664	157	693	176	679	325	489	866	850	814	855
"WY"	2008	"Natrona"	"WY Game and Fish 9-1"	261	875	190	935	184	948	380	717	1136	1125	1097	1132
"WY"	2008	"Natrona"	"Red Creek School 11-1"	12	95	11	96	6	101	21	84	107	107	105	107
"WY"	2008	"Natrona"	"Alcova School 11-2"	25	102	18	109	19	110	37	83	127	127	120	129
"WY"	2008	"Natrona"	"Fish Hatchery 11-3"	68	174	44	201	45	202	88	148	242	245	236	247
"WY"	2008	"Natrona"	"Poison Spider School 11-4"	21	72	9	84	15	77	31	58	93	93	89	92
"WY"	2008	"Natrona"	"St. Stephen's Church 12-2"	132	281	88	328	85	327	155	248	413	416	403	412
"WY"	2008	"Natrona"	"Bressler Ranch 13-1"	5	78	4	81	4	81	18	66	83	85	84	85
"WY"	2008	"Natrona"	"Powder River School 13-2"	6	66	7	63	8	61	9	58	72	70	67	69
"WY"	2008	"Natrona"	"Upper Willow Creek 14-1"	1	21	0	21	0	21	0	21	22	21	21	21
"WY"	2008	"Niobrara"	"Rennard's Garage - Warren 1-2"	1	64	0	66	1	65	1	65	65	66	66	66
"WY"	2008	"Niobrara"	"Stage Station - Hat Creek 3-2"	1	61	1	65	0	66	2	62	62	66	64	66
"WY"	2008	"Niobrara"	"Lance Creek Elementary School 4-1"	3	85	5	82	2	81	3	82	88	87	85	83
"WY"	2008	"Niobrara"	"First Baptist Church - N. Lusk 6-1"	87	270	61	300	57	303	105	233	357	361	338	360
"WY"	2008	"Niobrara"	"Congregational Church of Lusk - S. Lusk 6-2"	141	401	100	455	85	472	187	342	542	555	529	557
"WY"	2008	"Niobrara"	"Manville Town Hall 7-1"	11	136	10	139	8	139	24	116	147	149	140	147
"WY"	2008	"Park"	"Clark/Pioneer Rec. Center 1-1"	61	247	54	252	59	247	77	207	308	306	284	306
"WY"	2008	"Park"	"Cody Auditorium 2-1"	168	619	108	696	139	663	221	532	787	804	753	802
"WY"	2008	"Park"	"Cody Auditorium 2-2"	226	570	162	640	174	623	280	470	796	802	750	797
"WY"	2008	"Park"	"LDS Church Gym 3-1"	163	572	108	637	126	615	194	515	735	745	709	741
"WY"	2008	"Park"	"LDS Church Gym 3-2"	185	756	119	834	120	825	205	700	941	953	905	945
"WY"	2008	"Park"	"Grace Baptist Church 4-1"	228	850	183	899	170	908	260	776	1078	1082	1036	1078
"WY"	2008	"Park"	"LDS Church Gym 4-2"	36	167	23	179	23	176	45	134	203	202	179	199
"WY"	2008	"Park"	"Garland Community Church 6-1"	92	392	60	429	59	428	142	314	484	489	456	487
"WY"	2008	"Park"	"Park County Courthouse 7-2"	10	68	6	72	5	73	9	69	78	78	78	78
"WY"	2008	"Park"	"Meeteetse Episcopal Church 8-1"	15	108	15	109	15	109	22	94	123	124	116	124
"WY"	2008	"Park"	"Meeteetse Town Hall 8-2"	35	158	36	159	32	165	53	134	193	195	187	197
"WY"	2008	"Park"	"Meeteetse Episcopal Church 8-3"	23	131	25	137	28	136	33	113	154	162	146	164
"WY"	2008	"Park"	"Fairgrounds Lg. Ex. Hall 9-1"	183	323	119	381	156	345	201	262	506	500	463	501
"WY"	2008	"Park"	"Fairgrounds Lg. Ex. Hall 9-2"	113	279	82	313	89	307	146	224	392	395	370	396
"WY"	2008	"Park"	"Fairgrounds Lg. Ex. Hall 9-4"	171	381	123	438	130	429	209	324	552	561	533	559
"WY"	2008	"Park"	"Fairgrounds Lg. Ex. Hall 9-5"	153	274	102	336	111	323	176	237	427	438	413	434
"WY"	2008	"Park"	"Fairgrounds Lg. Ex. Hall 9-7"	284	570	196	683	234	640	336	479	854	879	815	874
"WY"	2008	"Park"	"Fairgrounds Multi-Purp. Bldg. 10-1"	114	366	68	411	75	397	130	316	480	479	446	472
"WY"	2008	"Park"	"Fairgrounds Multi-Purp. Bldg. 10-2"	175	609	115	673	117	673	218	520	784	788	738	790
"WY"	2008	"Park"	"Park County Courthouse 11-2"	28	52	17	66	15	68	22	59	80	83	81	83
"WY"	2008	"Park"	"Wapiti School House 16-1"	197	383	162	419	171	407	190	366	580	581	556	578
"WY"	2008	"Park"	"Mountain View Club 21-1"	114	483	83	517	80	517	150	412	597	600	562	597
"WY"	2008	"Park"	"Fairgrounds Multi-Purp. Bldg. 23-1"	57	211	44	228	45	228	69	181	268	272	250	273
"WY"	2008	"Park"	"Cody Auditorium 24-1"	260	473	187	558	231	515	281	402	733	745	683	746
"WY"	2008	"Park"	"Cody Auditorium 24-2"	128	391	82	442	99	422	160	334	519	524	494	521
"WY"	2008	"Park"	"Cody Auditorium 24-3"	65	145	52	161	58	155	77	122	210	213	199	213
"WY"	2008	"Park"	"Cody Auditorium 25-1"	224	469	154	549	161	537	264	405	693	703	669	698
"WY"	2008	"Park"	"Cody Auditorium 25-2"	128	351	69	409	79	402	149	314	479	478	463	481
"WY"	2008	"Park"	"Cody Auditorium 25-3"	121	441	91	478	97	466	159	383	562	569	542	563
"WY"	2008	"Platte"	"FSB Conference Center 1-1"	129	236	102	276	122	251	172	186	365	378	358	373
"WY"	2008	"Platte"	"FSB Conference Center 1-2"	127	235	97	278	106	267	157	197	362	375	354	373
"WY"	2008	"Platte"	"FSB Conference Center 1-3"	177	380	137	440	149	425	241	303	557	577	544	574
"WY"	2008	"Platte"	"FSB Conference Center 1-4"	161	229	112	294	112	293	177	204	390	406	381	405
"WY"	2008	"Platte"	"4-H Bldg./Wheatland 1-6"	197	577	154	638	162	629	242	516	774	792	758	791
"WY"	2008	"Platte"	"FSB Conference Center Guernsey 2-1"	278	352	235	417	218	430	327	277	630	652	604	648
"WY"	2008	"Platte"	"FSB Conference Center Guernsey 3-1"	36	34	28	43	27	47	32	31	70	71	63	74
"WY"	2008	"Platte"	"Glendo Fire Hall 6-1"	83	163	57	180	56	179	97	127	246	237	224	235
"WY"	2008	"Platte"	"Glendo Fire Hall 6-2"	27	93	19	102	26	97	28	89	120	121	117	123
"WY"	2008	"Platte"	"Chugwater Community Center 9-1"	21	53	15	59	21	52	25	50	74	74	75	73
"WY"	2008	"Platte"	"Chugwater Community Center 10-1"	34	143	35	145	38	144	47	131	177	180	178	182
"WY"	2008	"Platte"	"4-H Building 12-1"	46	195	40	201	37	203	45	180	241	241	225	240
"WY"	2008	"Platte"	"4-H Building 20-1"	91	312	73	345	75	341	120	288	403	418	408	416
"WY"	2008	"Sheridan"	"Ed Hammer Inc. 1-1"	185	349	137	404	156	380	234	274	534	541	508	536
"WY"	2008	"Sheridan"	"Fairgrounds Exhibit Hall 2-1"	191	393	127	459	139	442	265	295	584	586	560	581
"WY"	2008	"Sheridan"	"Sheridan Senior Citizens Center 2-2"	174	277	132	323	137	313	228	212	451	455	440	450
"WY"	2008	"Sheridan"	"Fairgrounds Exhibit Hall 2-3"	323	758	235	856	274	812	463	586	1081	1091	1049	1086
"WY"	2008	"Sheridan"	"Sheridan Senior Citizens Center 2-4"	239	402	169	472	194	448	306	305	641	641	611	642
"WY"	2008	"Sheridan"	"Fairgrounds Exhibit Hall 2-5"	267	737	164	851	192	823	360	627	1004	1015	987	1015
"WY"	2008	"Sheridan"	"Sheridan County Courthouse 3-2"	160	223	96	282	115	263	181	188	383	378	369	378
"WY"	2008	"Sheridan"	"Holy Name Church 3-3"	106	206	67	241	78	238	128	173	312	308	301	316
"WY"	2008	"Sheridan"	"Bethesda Worship/Sheridan 3-4"	259	492	187	581	220	540	339	402	751	768	741	760
"WY"	2008	"Sheridan"	"Calvary Baptist Church 3-5"	243	612	162	687	195	655	324	495	855	849	819	850
"WY"	2008	"Sheridan"	"Coffeen School 4-2"	304	516	203	621	223	594	375	407	820	824	782	817
"WY"	2008	"Sheridan"	"Holy Name Church 4-3"	240	506	162	602	196	556	303	411	746	764	714	752
"WY"	2008	"Sheridan"	"Holy Name Church 4-4"	70	120	49	146	59	133	89	96	190	195	185	192
"WY"	2008	"Sheridan"	"Tourist Information Center 5-1"	47	140	34	154	41	146	59	121	187	188	180	187
"WY"	2008	"Sheridan"	"National Guard Armory 6-1"	199	539	144	609	157	594	266	456	738	753	722	751
"WY"	2008	"Sheridan"	"Beckton School 7-1"	81	194	52	227	56	221	103	165	275	279	268	277
"WY"	2008	"Sheridan"	"Story Women's Club 8-1"	190	361	149	406	169	389	220	310	551	555	530	558
"WY"	2008	"Sheridan"	"Arvada School 9-1"	9	40	12	42	13	40	18	34	49	54	52	53
"WY"	2008	"Sheridan"	"Clearmont Town Hall 10-1"	25	152	13	169	16	165	43	128	177	182	171	181
"WY"	2008	"Sheridan"	"Old Woodland Park School 11-1"	208	583	148	655	167	633	276	484	791	803	760	800
"WY"	2008	"Sheridan"	"Big Horn Women's Club 12-1"	358	957	242	1083	256	1056	342	846	1315	1325	1188	1312
"WY"	2008	"Sheridan"	"Fairgrounds Exhibit Hall 13-1"	126	307	103	348	105	338	168	263	433	451	431	443
"WY"	2008	"Sheridan"	"WY Agriculture Sub Station 16-1"	32	171	18	185	24	178	42	145	203	203	187	202
"WY"	2008	"Sheridan"	"Ranchester Town Hall 17-1"	103	280	68	314	72	314	159	208	383	382	367	386
"WY"	2008	"Sheridan"	"Ranchester Town Hall 17-2"	87	205	67	229	73	221	105	176	292	296	281	294
"WY"	2008	"Sheridan"	"Ranchester Town Hall 18-1"	16	39	10	47	9	45	12	38	55	57	50	54
"WY"	2008	"Sheridan"	"Prairie Dog Women's Club 19-1"	67	202	49	222	48	216	91	166	269	271	257	264
"WY"	2008	"Sheridan"	"Dayton Town Hall 20-1"	115	313	80	347	89	340	146	256	428	427	402	429
"WY"	2008	"Sheridan"	"Dayton Town Hall 20-2"	34	103	26	112	30	106	40	94	137	138	134	136
"WY"	2008	"Sublette"	"Pinedale Elementary School 1-1"	284	658	187	743	213	720	416	482	942	930	898	933
"WY"	2008	"Sublette"	"Pinedale Elementary School 1-3"	169	661	126	709	122	713	278	517	830	835	795	835
"WY"	2008	"Sublette"	"Boulder Community Center 1-4"	112	424	83	454	85	447	168	345	536	537	513	532
"WY"	2008	"Sublette"	"Big Piney Annex 2-1"	92	533	64	557	60	561	159	430	625	621	589	621
"WY"	2008	"Sublette"	"Big Piney Annex 2-2"	53	336	38	343	49	332	91	267	389	381	358	381
"WY"	2008	"Sublette"	"Big Piney Annex 2-4"	13	92	12	88	11	88	25	71	105	100	96	99
"WY"	2008	"Sublette"	"Cora 4-1"	88	255	73	270	63	282	129	203	343	343	332	345
"WY"	2008	"Sublette"	"Daniel School 4-2"	51	216	37	239	26	249	87	165	267	276	252	275
"WY"	2008	"Sublette"	"Bondurant Elementary School 5-1"	74	141	60	152	50	162	103	103	215	212	206	212
"WY"	2008	"Sweetwater"	"Granger Town Hall 1-1"	22	48	15	54	18	50	31	30	70	69	61	68
"WY"	2008	"Sweetwater"	"RS East Junior High School 3-1"	155	185	134	212	134	207	214	113	340	346	327	341
"WY"	2008	"Sweetwater"	"RS 1st United Methodist Church 3-2"	317	500	258	585	262	579	449	349	817	843	798	841
"WY"	2008	"Sweetwater"	"RS 1st United Methodist Church 3-3"	159	246	117	287	130	282	218	166	405	404	384	412
"WY"	2008	"Sweetwater"	"RS North Side Parish Center 3-4"	78	81	73	94	78	91	103	52	159	167	155	169
"WY"	2008	"Sweetwater"	"RS County Office Building 3-5"	148	157	120	189	118	192	183	118	305	309	301	310
"WY"	2008	"Sweetwater"	"RS South Side Parish Center 4-1"	202	243	159	295	168	284	250	166	445	454	416	452
"WY"	2008	"Sweetwater"	"RS White Mountain Library 4-2"	102	202	90	216	95	209	145	142	304	306	287	304
"WY"	2008	"Sweetwater"	"RS Sweetwater County Garage 4-3"	123	245	115	262	118	259	174	173	368	377	347	377
"WY"	2008	"Sweetwater"	"RS 1st Congregational Church 4-4"	334	482	285	552	298	533	462	324	816	837	786	831
"WY"	2008	"Sweetwater"	"RS Fire Station #1 5-1"	107	136	104	149	100	154	139	95	243	253	234	254
"WY"	2008	"Sweetwater"	"RS Western WY Comm. College 5-2"	311	710	248	774	251	765	432	523	1021	1022	955	1016
"WY"	2008	"Sweetwater"	"RS School Admin. Bldg. 5-3"	428	857	359	936	347	955	650	576	1285	1295	1226	1302
"WY"	2008	"Sweetwater"	"RS White Mountain Library 5-5"	175	213	157	246	154	246	205	161	388	403	366	400
"WY"	2008	"Sweetwater"	"RS Civic Center 6-1"	247	344	236	371	229	375	340	230	591	607	570	604
"WY"	2008	"Sweetwater"	"RS County Events Complex  6-2"	194	309	147	366	168	339	280	198	503	513	478	507
"WY"	2008	"Sweetwater"	"RS Western WY Comm. College 6-3"	142	269	118	296	123	288	195	186	411	414	381	411
"WY"	2008	"Sweetwater"	"RS County Events Complex 6-4"	32	66	31	73	27	77	50	46	98	104	96	104
"WY"	2008	"Sweetwater"	"RS County Events Complex 7-1"	97	424	91	432	85	439	171	324	521	523	495	524
"WY"	2008	"Sweetwater"	"RS County Events Complex 7-2"	111	330	86	362	89	357	180	244	441	448	424	446
"WY"	2008	"Sweetwater"	"K-Motive Bldg./Jamestown 9-1"	56	128	58	130	62	127	105	70	184	188	175	189
"WY"	2008	"Sweetwater"	"K-Motive Bldg./Jamestown 9-2"	18	59	20	59	17	62	33	43	77	79	76	79
"WY"	2008	"Sweetwater"	"GR Sweetwater County Library 10-1"	320	347	308	383	296	396	421	229	667	691	650	692
"WY"	2008	"Sweetwater"	"GR Lincoln Middle School 10-2"	139	137	119	165	128	157	168	100	276	284	268	285
"WY"	2008	"Sweetwater"	"GR Lincoln Middle School 10-3"	225	423	194	471	207	456	326	294	648	665	620	663
"WY"	2008	"Sweetwater"	"GR Recreation Center 10-4"	612	1192	509	1339	514	1323	889	843	1804	1848	1732	1837
"WY"	2008	"Sweetwater"	"GR Mansface Church 10-5"	372	692	286	793	294	783	541	491	1064	1079	1032	1077
"WY"	2008	"Sweetwater"	"GR Truman School 10-6"	300	446	277	475	287	469	403	303	746	752	706	756
"WY"	2008	"Sweetwater"	"Reliance Fire Station 12-1"	90	179	92	181	85	185	134	115	269	273	249	270
"WY"	2008	"Sweetwater"	"Fon Slagowski's Residence/Washam 13-1"	5	20	3	23	5	21	12	14	25	26	26	26
"WY"	2008	"Sweetwater"	"Superior Administration Building 19-1"	49	93	48	96	50	96	74	64	142	144	138	146
"WY"	2008	"Sweetwater"	"Eden Farson Fire Station 20-1"	33	321	31	325	33	324	81	262	354	356	343	357
"WY"	2008	"Sweetwater"	"Point of Rocks Roger Varley Res 21-1"	17	23	14	28	11	31	24	16	40	42	40	42
"WY"	2008	"Sweetwater"	"Wamsutter Town Hall 23-1"	24	138	21	139	28	130	55	92	162	160	147	158
"WY"	2008	"Sweetwater"	"McKinnon School 24-1"	4	68	6	68	6	68	18	52	72	74	70	74
"WY"	2008	"Sweetwater"	"Bairoil Town Hall 25-1"	14	47	8	53	10	51	14	41	61	61	55	61
"WY"	2008	"Teton"	"Lower Valley Energy 1-1"	586	460	367	659	363	646	622	390	1046	1026	1012	1009
"WY"	2008	"Teton"	"LDS Church 1-2"	511	209	374	328	372	331	527	170	720	702	697	703
"WY"	2008	"Teton"	"National Museum of Wildlife Art 1-3"	285	230	193	320	210	302	308	211	515	513	519	512
"WY"	2008	"Teton"	"Recreation Center 1-4"	277	198	203	262	213	251	299	149	475	465	448	464
"WY"	2008	"Teton"	"Teton County Fair Building 1-5"	684	282	503	435	512	413	706	217	966	938	923	925
"WY"	2008	"Teton"	"Presbyterian Church 1-6"	594	332	416	482	419	471	595	271	926	898	866	890
"WY"	2008	"Teton"	"Jackson Hole Christian Center 1-7"	466	269	317	401	320	387	517	191	735	718	708	707
"WY"	2008	"Teton"	"Jackson Senior Center 1-8"	554	290	433	399	416	400	574	227	844	832	801	816
"WY"	2008	"Teton"	"Teton County Library 1-9"	589	218	443	334	434	335	590	163	807	777	753	769
"WY"	2008	"Teton"	"WYDOT 1-10"	338	411	249	493	255	484	388	328	749	742	716	739
"WY"	2008	"Teton"	"Jackson Hole Airport  2-1"	460	450	346	567	350	565	487	417	910	913	904	915
"WY"	2008	"Teton"	"National Museum of Wildlife Art 2-2"	25	22	20	27	19	28	25	21	47	47	46	47
"WY"	2008	"Teton"	"Moran School 3-1"	215	146	179	175	180	173	213	132	361	354	345	353
"WY"	2008	"Teton"	"Wilson School 4-1"	411	164	300	255	295	251	421	129	575	555	550	546
"WY"	2008	"Teton"	"New Wilson Fire House 4-2"	433	275	287	404	286	404	449	244	708	691	693	690
"WY"	2008	"Teton"	"Old Wilson School Community Center 4-3"	417	157	335	218	322	229	430	125	574	553	555	551
"WY"	2008	"Teton"	"Teton Village Fire House 4-4"	493	286	354	404	349	406	506	243	779	758	749	755
"WY"	2008	"Teton"	"Alta School 5-1"	134	166	104	185	102	190	123	160	300	289	283	292
"WY"	2008	"Uinta"	"Machine Shop 1-1"	521	1018	444	1116	467	1090	692	768	1539	1560	1460	1557
"WY"	2008	"Uinta"	"Evanston Middle School 1-2"	492	1187	390	1327	403	1305	648	987	1679	1717	1635	1708
"WY"	2008	"Uinta"	"Evanston City Hall Chambers 1-3"	334	647	303	698	302	702	450	479	981	1001	929	1004
"WY"	2008	"Uinta"	"Evanston City Hall Conference 1-4"	59	74	68	71	73	66	82	45	133	139	127	139
"WY"	2008	"Uinta"	"Evanston Library 2-1"	139	644	121	670	118	673	234	514	783	791	748	791
"WY"	2008	"Uinta"	"Bear River Town Hall 2-2"	59	180	50	188	51	187	75	146	239	238	221	238
"WY"	2008	"Uinta"	"Lyman Town Hall Chambers 3-1"	244	591	184	668	202	647	373	431	835	852	804	849
"WY"	2008	"Uinta"	"Lyman Town Hall Conference 3-2"	94	395	98	410	99	404	170	304	489	508	474	503
"WY"	2008	"Uinta"	"Ft. Bridger Elementary School 4-1"	131	261	97	305	108	288	175	209	392	402	384	396
"WY"	2008	"Uinta"	"Mountain View Town Hall 4-2"	158	388	111	452	126	433	222	297	546	563	519	559
"WY"	2008	"Uinta"	"Mtn. View School Admin. Bldg. 4-3"	86	378	75	400	83	388	142	313	464	475	455	471
"WY"	2008	"Washakie"	"Ten Sleep Senior Center 3-1"	84	405	57	436	57	436	121	348	489	493	469	493
"WY"	2008	"Washakie"	"Methodist RER Building/Worland 5-1"	258	634	125	761	135	748	349	493	892	886	842	883
"WY"	2008	"Washakie"	"Worland High School 5-2"	270	670	154	801	166	790	392	506	940	955	898	956
"WY"	2008	"Washakie"	"Worland Community Center Complex 5-3"	163	387	105	450	120	434	241	274	550	555	515	554
"WY"	2008	"Washakie"	"Fairgrounds 5-5"	267	860	161	979	168	975	357	731	1127	1140	1088	1143
"WY"	2008	"Weston"	"State Forestry Building/Newcastle 1-1"	92	468	75	494	103	467	139	401	560	569	540	570
"WY"	2008	"Weston"	"State Forestry Building/Newcastle 1-2"	83	362	66	378	75	367	110	315	445	444	425	442
"WY"	2008	"Weston"	"Kitty Moats/Osage 2-1"	25	130	22	139	21	140	38	98	155	161	136	161
"WY"	2008	"Weston"	"Upton Community Center 3-1"	24	213	23	219	21	219	48	171	237	242	219	240
"WY"	2008	"Weston"	"Upton Community Center 4-1"	107	382	68	438	85	417	153	300	489	506	453	502
"WY"	2008	"Weston"	"State Forestry Building/Newcastle 5-1"	94	339	74	379	80	376	130	302	433	453	432	456
"WY"	2008	"Weston"	"State Forestry Building/Newcastle 5-2"	82	244	60	267	75	254	99	201	326	327	300	329
"WY"	2008	"Weston"	"State Forestry Building/Newcastle 5-3"	151	480	107	550	112	549	210	386	631	657	596	661
