state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	s2008_USS_dv	s2008_USS_rv	g2008_USH_dv	g2008_USH_rv	g2008_USP_tv	g2008_USS_tv	g2008_USH_tv	s2008_USS_tv
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-17"	215	820	155	885	265	765	284	668	1035	1040	952	1030
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-18"	90	329	61	359	115	307	133	253	419	420	386	422
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-19"	151	635	91	705	173	615	200	549	786	796	749	788
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-20"	59	275	32	305	66	266	74	245	334	337	319	332
"WY"	2008	"Campbell"	"Central Pavilion Camplex 1-21"	95	379	67	417	123	351	126	315	474	484	441	474
"WY"	2008	"Campbell"	"Central Pavilion Camplex 2-1"	68	318	55	331	92	294	83	277	386	386	360	386
"WY"	2008	"Campbell"	"Central Pavilion Camplex 3-1"	91	644	70	666	126	604	140	539	735	736	679	730
"WY"	2008	"Campbell"	"Rozet School 4-1"	83	576	70	594	124	537	131	488	659	664	619	661
"WY"	2008	"Campbell"	"Antelope Valley Baptist Church 5-1"	128	668	79	714	175	615	198	551	796	793	749	790
"WY"	2008	"Campbell"	"Rawhide School 6-1"	43	232	23	254	52	225	59	201	275	277	260	277
"WY"	2008	"Campbell"	"Recluse School 7-1"	24	128	15	142	27	127	39	110	152	157	149	154
"WY"	2008	"Campbell"	"Little Powder School 8-1"	10	113	7	116	12	110	19	98	123	123	117	122
"WY"	2008	"Campbell"	"First United Methodist Church 9-1"	78	594	48	631	121	551	129	513	672	679	642	672
"WY"	2008	"Campbell"	"Wright Town Hall 12-1"	5	106	6	107	11	102	11	99	111	113	110	113
"WY"	2008	"Campbell"	"4-J School 13-1"	12	201	10	202	19	192	19	183	213	212	202	211
"WY"	2008	"Campbell"	"Wright Town Hall 14-1"	102	511	81	526	122	488	142	417	613	607	559	610
"WY"	2008	"Campbell"	"Wright Town Hall 14-2"	27	206	14	219	28	204	34	182	233	233	216	232
"WY"	2008	"Campbell"	"Central Pavilion Camplex 18-1"	113	555	87	588	171	500	182	444	668	675	626	671
"WY"	2008	"Campbell"	"Antelope Valley Baptist Church 19-1"	53	314	25	347	79	287	88	254	367	372	342	366
