state	year	county	town	ward	precinct	cd	sd	ld	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"MI"	2008	9	2	0	8	5		96	621	472	1112	679	358	1073	678	358	1059
"MI"	2008	9	4	0	1	1		96	744	798	1568	843	591	1497	936	472	1472
"MI"	2008	9	6	0	1	5		96	834	1213	2078	1007	955	2022	988	950	1976
"MI"	2008	9	8	0	1	1		97	521	355	897	568	275	876	600	233	860
"MI"	2008	9	8	0	2	1		97	485	360	856	541	247	825	576	208	815
"MI"	2008	9	10	0	1	1		97	500	425	938	601	271	901	624	227	885
"MI"	2008	9	12	0	1	1		97	294	239	547	326	178	529	348	154	521
"MI"	2008	9	14	0	1	5		96	393	307	717	448	217	683	433	225	675
"MI"	2008	9	14	0	2	5		96	540	478	1027	602	346	978	594	333	947
"MI"	2008	9	14	0	3	5		96	660	414	1094	735	291	1064	723	292	1046
"MI"	2008	9	14	0	4	5		96	468	265	755	515	196	738	510	194	730
"MI"	2008	9	14	0	5	5		96	622	403	1045	697	271	996	713	256	988
"MI"	2008	9	14	0	6	5		96	308	147	460	337	93	450	332	99	444
"MI"	2008	9	16	0	1	1		97	771	671	1476	895	473	1421	939	400	1396
"MI"	2008	9	16	0	2	1		97	620	516	1154	693	366	1101	729	327	1086
"MI"	2008	9	18	0	1	5		96	437	416	861	520	274	831	524	272	813
"MI"	2008	9	20	0	1	1		96	428	289	729	498	194	712	484	194	702
"MI"	2008	9	20	0	2	5		96	744	676	1437	885	478	1397	841	499	1370
"MI"	2008	9	20	0	3	1		96	520	650	1190	597	533	1158	620	489	1138
"MI"	2008	9	20	0	4	5		96	502	525	1038	617	375	1013	585	390	988
"MI"	2008	9	20	0	5	1		96	644	619	1283	740	435	1222	731	399	1172
"MI"	2008	9	20	0	6	5		96	411	379	799	494	263	771	464	284	761
"MI"	2008	9	22	0	1	1		97	383	342	747	423	253	715	468	210	711
"MI"	2008	9	24	0	1	1		97	700	614	1336	856	387	1282	888	347	1278
"MI"	2008	9	26	0	1	5		96	433	380	824	528	242	803	556	223	791
"MI"	2008	9	26	0	2	5		96	368	276	657	436	186	646	441	176	631
"MI"	2008	9	26	0	3	5		96	307	199	507	344	132	495	338	128	478
"MI"	2008	9	28	0	1	1		96	622	743	1391	763	532	1347	809	457	1314
"MI"	2008	9	28	0	2	1		96	517	427	964	579	333	947	595	290	921
"MI"	2008	9	28	0	3	1		96	192	234	434	249	166	428	261	139	414
"MI"	2008	9	52	0	1	1		96	591	590	1196	684	439	1163	702	399	1145
"MI"	2008	9	54	1	1	5		96	376	186	567	390	139	542	378	146	541
"MI"	2008	9	54	1	2	5		96	415	191	623	460	122	606	437	140	598
"MI"	2008	9	54	1	3	5		96	375	249	639	426	182	621	408	189	615
"MI"	2008	9	54	2	1	5		96	334	155	501	364	100	488	345	114	478
"MI"	2008	9	54	2	2	5		96	480	268	762	516	194	741	516	194	737
