state	year	precinct	cd	g2008_REG_tv	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"HI"	2008	"16-02"	2	4035	1143	494	1664				1074	318	1458
"HI"	2008	"16-03"	2	2743	864	222	1105				890	102	1016
"HI"	2008	"16-04"	2	323	115	19	137				119	8	129
"HI"	2008	"16-05"	2	1392	451	132	593				467	49	533
"HI"	2008	"16-06"	2	2020	644	209	874				649	110	783
"HI"	2008	"16-07"	2	102	4	35	40				7	33	40
"HI"	2008	"17-01"	1	2757	770	311	1096				750	231	1009
"HI"	2008	"17-02"	1	1382	455	133	593				443	77	547
"HI"	2008	"17-03"	1	3135	801	602	1415				765	469	1286
"HI"	2008	"17-04"	1	1305	302	234	549				308	170	500
"HI"	2008	"17-05"	1	3383	929	527	1475				893	395	1346
"HI"	2008	"17-06"	1	2214	685	266	963				668	184	897
"HI"	2008	"17-07"	1	2797	836	426	1269				834	306	1172
"HI"	2008	"18-01"	1	1047	292	161	468				294	120	434
"HI"	2008	"18-02"	1	2638	705	328	1051				666	250	965
"HI"	2008	"18-03"	1	2169	671	254	944				644	184	861
"HI"	2008	"18-04"	1	1785	610	280	896				552	191	788
"HI"	2008	"18-05"	1	3008	866	479	1366				832	322	1223
"HI"	2008	"18-06"	1	1479	484	182	679				456	123	616
"HI"	2008	"18-07"	1	3067	802	451	1269				745	322	1128
"HI"	2008	"19-01"	1	2907	713	487	1210				655	356	1076
"HI"	2008	"19-02"	1	2292	727	280	1027				688	215	929
"HI"	2008	"19-03"	1	1794	573	197	780				561	129	709
"HI"	2008	"19-04"	1	3248	1057	347	1429				990	235	1297
"HI"	2008	"19-05"	1	2095	582	319	916				548	236	817
"HI"	2008	"19-06"	1	1775	572	187	767				543	127	701
"HI"	2008	"19-07"	1	1393	422	144	579				429	78	530
"HI"	2008	"20-01"	1	1343	484	135	632				478	74	569
"HI"	2008	"20-02"	1	2256	704	280	1009				714	170	923
"HI"	2008	"20-03"	1	1475	454	176	637				415	136	583
"HI"	2008	"20-04"	1	2287	719	227	959				672	164	889
"HI"	2008	"20-05"	1	3248	982	308	1312				971	189	1207
"HI"	2008	"20-06"	1	2911	855	316	1196				842	189	1078
"HI"	2008	"21-01"	1	1877	513	181	714				517	95	641
"HI"	2008	"21-02"	1	3406	1016	356	1397				1000	207	1282
"HI"	2008	"21-03"	1	2726	817	302	1143				770	207	1045
"HI"	2008	"21-04"	1	1797	503	221	738				449	194	675
"HI"	2008	"21-05"	1	2474	660	296	973				594	238	873
"HI"	2008	"21-06"	1	1508	471	115	594				435	64	522
"HI"	2008	"22-01"	1	672	194	62	259				197	34	238
"HI"	2008	"22-02"	1	1164	377	100	488				363	63	447
"HI"	2008	"22-03"	1	789	216	64	283				210	33	260
"HI"	2008	"22-04"	1	2073	571	191	779				559	95	697
"HI"	2008	"22-05"	1	2228	583	183	792				544	117	711
"HI"	2008	"22-06"	1	1834	590	161	767				559	97	693
"HI"	2008	"22-07"	1	2287	513	235	766				479	120	650
"HI"	2008	"23-01"	1	2003	520	210	746				486	143	671
"HI"	2008	"23-02"	1	2751	608	301	931				542	238	833
"HI"	2008	"23-03"	1	4621	799	484	1321				739	365	1164
"HI"	2008	"23-04"	1	3362	597	300	923				553	186	793
"HI"	2008	"24-01"	1	2772	934	289	1239				854	191	1086
"HI"	2008	"24-02"	1	1809	589	198	812				562	119	713
"HI"	2008	"24-03"	1	2254	601	152	768				513	125	674
"HI"	2008	"24-04"	1	2686	755	261	1042				717	171	944
"HI"	2008	"24-05"	1	2692	792	306	1118				734	219	995
"HI"	2008	"24-06"	1	2639	837	272	1131				796	173	1004
"HI"	2008	"25-01"	1	2194	612	243	872				530	181	757
"HI"	2008	"25-02"	1	2194	678	242	945				642	163	853
"HI"	2008	"25-03"	1	263	68	30	101				68	17	92
"HI"	2008	"25-04"	1	1225	273	107	388				253	76	352
"HI"	2008	"25-05"	1	3052	705	237	963				641	164	859
"HI"	2008	"25-06"	1	2095	515	182	712				478	123	640
"HI"	2008	"25-07"	1	2083	503	203	729				510	120	659
"HI"	2008	"26-01"	1	2142	774	247	1037				794	123	955
"HI"	2008	"26-02"	1	1043	356	60	421				361	32	400
"HI"	2008	"26-03"	1	2015	495	193	698				468	135	635
"HI"	2008	"26-04"	1	1388	352	149	512				361	83	467
"HI"	2008	"26-05"	1	1931	579	187	781				557	126	718
"HI"	2008	"26-06"	1	3202	871	342	1228				837	221	1126
"HI"	2008	"26-07"	1	2528	832	377	1223				814	236	1094
"HI"	2008	"27-01"	1	342	87	38	127				94	18	116
"HI"	2008	"27-02"	1	1256	452	140	600				446	81	558
"HI"	2008	"27-03"	1	3029	959	379	1365				963	217	1249
"HI"	2008	"27-04"	1	963	282	89	375				276	58	344
"HI"	2008	"27-05"	1	1540	393	158	559				402	74	512
"HI"	2008	"27-06"	1	1936	578	198	791				593	85	719
"HI"	2008	"27-07"	1	938	203	109	316				233	44	287
"HI"	2008	"27-08"	1	1695	458	201	673				500	117	640
"HI"	2008	"28-01"	1	1389	375	98	488				355	66	448
"HI"	2008	"28-02"	1	1546	413	180	602				389	127	545
"HI"	2008	"28-03"	1	1178	218	128	358				207	98	317
"HI"	2008	"28-04"	1	1619	371	176	558				429	76	536
"HI"	2008	"28-05"	1	4829	909	467	1412				874	293	1255
"HI"	2008	"28-06"	1	1275	245	134	395				267	62	352
"HI"	2008	"29-01"	1	2128	588	252	854				677	122	821
"HI"	2008	"29-02"	1	2397	639	269	928				758	90	878
"HI"	2008	"29-03"	1	2183	475	213	698				546	85	663
"HI"	2008	"29-04"	1	1197	300	118	429				348	40	403
"HI"	2008	"29-05"	1	1672	353	171	533				443	40	499
"HI"	2008	"30-01"	1	2276	634	287	942				725	118	874
"HI"	2008	"30-02"	1	1955	584	241	835				678	89	781
"HI"	2008	"30-03"	1	1268	399	140	548				433	76	521
"HI"	2008	"30-04"	1	1162	292	108	408				340	34	384
"HI"	2008	"30-05"	1	314	74	48	122				74	33	108
"HI"	2008	"30-06"	1	2982	799	324	1142				928	116	1069
"HI"	2008	"31-01"	1	2007	650	217	882				672	98	797
"HI"	2008	"31-02"	1	2599	729	335	1074				729	189	958
"HI"	2008	"31-03"	1	2156	560	254	826				580	152	773
"HI"	2008	"31-04"	1	2386	580	330	924				590	205	844
"HI"	2008	"31-05"	1	3210	962	366	1343				1037	187	1260
"HI"	2008	"32-01"	1	1623	579	227	811				611	103	737
"HI"	2008	"32-02"	1	371	99	29	128				109	13	122
"HI"	2008	"32-03"	1	1732	198	231	432				227	145	385
"HI"	2008	"32-04"	1	2282	492	275	773				571	130	727
"HI"	2008	"32-05"	1	3056	844	550	1410				968	289	1299
"HI"	2008	"32-06"	1	1623	435	194	637				468	107	594
"HI"	2008	"32-07"	1	1034	256	135	393				288	73	367
"HI"	2008	"32-08"	1	2266	526	258	793				564	153	742
"HI"	2008	"33-01"	1	777	189	93	286				194	60	264
"HI"	2008	"33-02"	1	946	256	113	370				280	59	346
"HI"	2008	"33-03"	1	2089	622	234	861				656	110	788
"HI"	2008	"33-04"	1	3851	1042	452	1517				1039	287	1381
"HI"	2008	"33-05"	1	2692	681	346	1045				716	222	962
"HI"	2008	"33-06"	1	2028	515	232	755				556	121	703
"HI"	2008	"34-01"	1	1752	510	234	753				518	139	678
"HI"	2008	"34-02"	1	1819	565	263	842				587	166	780
"HI"	2008	"34-03"	1	1065	281	104	391				292	55	359
"HI"	2008	"34-04"	1	1724	536	168	712				573	99	681
"HI"	2008	"34-05"	1	1245	333	104	444				341	55	410
"HI"	2008	"34-06"	1	765	173	65	240				180	35	219
"HI"	2008	"34-07"	1	4351	1182	451	1645				1208	227	1495
"HI"	2008	"35-01"	1	2168	623	323	958				727	164	907
"HI"	2008	"35-02"	1	3060	745	340	1094				916	108	1040
"HI"	2008	"35-03"	1	889	259	90	353				284	38	330
"HI"	2008	"35-04"	1	1278	353	128	486				403	56	467
"HI"	2008	"35-05"	1	1415	351	186	543				437	69	514
"HI"	2008	"35-06"	1	2941	883	378	1274				1082	116	1209
"HI"	2008	"36-01"	1	2056	671	225	901				697	131	851
"HI"	2008	"36-02"	1	1463	510	164	682				522	91	622
"HI"	2008	"36-03"	1	1945	535	247	791				574	149	742
"HI"	2008	"36-04"	1	215	73	21	96				70	16	86
"HI"	2008	"36-05"	1	2868	953	333	1299				990	156	1178
"HI"	2008	"36-06"	1	2483	831	345	1184				875	203	1117
"HI"	2008	"36-07"	1	1667	551	250	814				596	137	754
"HI"	2008	"37-01"	1	4110	1352	581	1952				1406	355	1808
"HI"	2008	"37-02"	1	3525	1058	580	1656				1151	362	1563
"HI"	2008	"37-03"	1	3555	1147	635	1805				1209	397	1658
"HI"	2008	"37-04"	1	3338	1020	486	1534				1082	314	1439
"HI"	2008	"38-01"	1	4478	1467	786	2267				1598	477	2110
"HI"	2008	"38-02"	1	4554	1489	791	2301				1612	507	2171
"HI"	2008	"38-03"	1	3001	876	439	1330				926	270	1234
"HI"	2008	"38-04"	1	2931	734	525	1290				837	334	1216
"HI"	2008	"38-05"	1	2598	806	421	1249				892	264	1189
"HI"	2008	"39-01"	2	1744	485	244	741				565	121	705
"HI"	2008	"39-02"	2	1795	601	251	865				662	137	816
"HI"	2008	"39-03"	2	2512	795	368	1180				842	209	1086
"HI"	2008	"39-04"	2	2855	776	335	1134				829	206	1073
"HI"	2008	"39-05"	1	1059	264	135	411				280	103	400
"HI"	2008	"39-06"	2	1989	601	208	822				643	108	776
"HI"	2008	"40-01"	2	1653	463	260	734				527	159	699
"HI"	2008	"40-02"	2	2593	640	439	1087				705	285	1014
"HI"	2008	"40-03"	2	3912	1017	582	1622				1132	349	1522
"HI"	2008	"40-04"	2	3131	870	493	1382				957	303	1298
"HI"	2008	"40-05"	2	3369	813	557	1394				869	388	1303
"HI"	2008	"40-06"	2	1996	479	406	891				516	293	837
"HI"	2008	"41-01"	1	2104	597	305	914				657	175	867
"HI"	2008	"41-02"	1	1740	525	277	810				569	153	748
"HI"	2008	"41-03"	1	2245	693	264	966				806	102	929
"HI"	2008	"41-04"	1	803	166	75	242				196	27	227
"HI"	2008	"41-05"	2	3003	886	442	1342				1000	246	1273
"HI"	2008	"41-06"	2	2056	522	341	872				631	176	828
"HI"	2008	"42-01"	1	1497	343	185	536				421	79	511
"HI"	2008	"42-02"	1	1026	216	85	305				237	42	287
"HI"	2008	"42-03"	1	1316	303	178	488				370	81	460
"HI"	2008	"42-04"	1	2688	913	301	1229				1018	138	1181
"HI"	2008	"42-05"	1	3707	841	407	1260				945	220	1185
"HI"	2008	"43-01"	1	1550	429	220	656				495	105	612
"HI"	2008	"43-02"	1	3767	1064	677	1752				1262	379	1680
"HI"	2008	"43-03"	1	2579	666	411	1087				783	226	1029
"HI"	2008	"43-04"	1	2388	606	328	949				711	172	901
"HI"	2008	"43-05"	1	2453	706	318	1034				801	175	992
"HI"	2008	"43-06"	1	3485	814	580	1413				929	380	1339
"HI"	2008	"44-01"	2	976	249	150	403				278	87	378
"HI"	2008	"44-02"	2	3239	997	255	1262				1043	124	1203
"HI"	2008	"44-03"	2	2916	730	250	989				784	136	953
"HI"	2008	"44-04"	2	3741	986	454	1464				1059	292	1390
"HI"	2008	"45-01"	2	3988	1132	390	1537				1186	211	1443
"HI"	2008	"45-02"	2	2109	598	182	793				621	105	753
"HI"	2008	"45-03"	2	1086	295	96	399				316	55	380
"HI"	2008	"45-04"	2	2943	721	348	1088				759	215	1013
"HI"	2008	"46-01"	2	1642	354	389	758				390	299	713
"HI"	2008	"46-02"	2	1633	249	127	379				218	94	327
"HI"	2008	"46-03"	2	3139	1008	406	1442				987	281	1322
"HI"	2008	"46-04"	2	3070	883	392	1301				899	252	1199
"HI"	2008	"46-05"	2	2799	887	438	1362				787	335	1176
"HI"	2008	"46-06"	2	1451	445	216	668				495	126	635
"HI"	2008	"47-01"	2	4255	999	639	1688				999	467	1551
"HI"	2008	"47-02"	2	2010	571	249	834				576	151	763
"HI"	2008	"47-03"	2	2518	555	290	859				552	220	801
"HI"	2008	"47-04"	2	670	170	81	254				179	60	245
"HI"	2008	"47-05"	2	598	117	92	211				110	79	195
"HI"	2008	"47-06"	2	4550	1270	581	1880				1242	446	1745
"HI"	2008	"48-01"	2	3282	824	350	1192				860	205	1113
"HI"	2008	"48-02"	2	2687	671	271	951				705	159	886
"HI"	2008	"48-03"	2	3594	859	330	1213				909	215	1141
"HI"	2008	"48-04"	2	3604	1021	390	1425				1062	231	1324
"HI"	2008	"48-05"	2	1342	338	165	508				365	105	484
"HI"	2008	"49-01"	2	2507	716	440	1172				706	353	1100
"HI"	2008	"49-02"	2	1056	344	168	516				375	103	491
"HI"	2008	"49-03"	2	2530	748	372	1141				699	309	1038
"HI"	2008	"49-04"	2	1103	333	176	520				320	145	482
"HI"	2008	"49-05"	2	1946	467	264	743				490	190	698
"HI"	2008	"49-06"	2	1799	595	157	764				560	126	710
"HI"	2008	"49-07"	2	3771	853	432	1298				863	327	1222
"HI"	2008	"50-01"	2	1750	494	309	819				446	278	752
"HI"	2008	"50-02"	2	2439	657	326	1007				646	240	932
"HI"	2008	"50-03"	2	1495	418	214	643				393	165	594
"HI"	2008	"50-04"	2	2431	748	303	1071				717	212	973
"HI"	2008	"50-05"	2	2444	716	410	1145				656	342	1041
"HI"	2008	"50-06"	2	2785	671	440	1120				641	331	1013
"HI"	2008	"50-07"	2	1838	396	274	677				368	232	619
"HI"	2008	"51-01"	2	1751	541	285	839				458	255	746
"HI"	2008	"51-02"	2	2753	866	293	1184				901	163	1105
"HI"	2008	"51-03"	2	2880	1092	195	1312				1068	132	1235
"HI"	2008	"51-04"	2	542	156	87	245				166	61	231
"HI"	2008	"51-05"	2	2979	897	448	1367				893	343	1279
"HI"	2008	"51-06"	2	1558	482	287	777				442	247	718
"HI"	2008	"51-07"	2	1260	295	179	482				248	158	419
"HI"	2008	"AB-01"	2	0	851	140	1004				760	136	934
"HI"	2008	"AB-02"	2	0	1774	348	2149				1620	311	1987
"HI"	2008	"AB-03"	2	0	143	40	185				123	34	167
"HI"	2008	"AB-04"	2	0	2332	539	2903				2210	441	2708
"HI"	2008	"AB-05"	2	0	1006	187	1209				954	154	1141
"HI"	2008	"AB-06"	2	0	2292	489	2802				2223	359	2629
"HI"	2008	"AB-07"	2	0	151	35	187				149	20	169
"HI"	2008	"AB-08"	2	0	165	46	214				177	22	202
"HI"	2008	"AB-09"	2	0	840	147	993				816	105	931
"HI"	2008	"AB-10"	2	0	517	90	614				522	50	583
"HI"	2008	"AB-11"	2	0	395	52	470				348	63	444
"HI"	2008	"AB-12"	2	0	316	87	414				288	80	391
"HI"	2008	"AB-13"	2	0	2380	563	3014				2067	615	2806
"HI"	2008	"AB-14"	2	0	99	28	131				96	26	127
"HI"	2008	"AB-15"	2	0	1213	277	1513				1110	250	1430
"HI"	2008	"AB-16"	2	0	358	61	424				308	69	400
"HI"	2008	"AB-17"	2	0	796	176	989				742	156	923
"HI"	2008	"AB-18"	2	0	1677	783	2495				1464	749	2300
"HI"	2008	"AB-19"	2	0	1308	514	1840				1131	501	1698
"HI"	2008	"AB-20"	2	0	1098	399	1520				955	398	1401
"HI"	2008	"AB-21"	2	0	441	203	659				381	204	608
"HI"	2008	"AB-22"	2	0	1226	313	1556				1081	310	1439
"HI"	2008	"AB-23"	2	0	260	53	316				238	52	301
"HI"	2008	"AB-24"	2	0	3003	677	3741				2890	498	3486
"HI"	2008	"AB-25"	2	0	2338	356	2722				2351	187	2579
"HI"	2008	"AB-26"	2	0	1802	687	2524				1617	579	2295
"HI"	2008	"AB-27"	2	0	1785	662	2484				1563	625	2277
"HI"	2008	"AB-28"	2	0	3050	690	3801				2870	551	3540
"HI"	2008	"AB-29"	2	0	2365	395	2804				2153	337	2599
"HI"	2008	"AB-30"	2	0	24	6	31				25	2	28
"HI"	2008	"AB-31"	2	0	2779	751	3612				2686	483	3262
"HI"	2008	"AB-32"	2	0	3816	1017	4904				3744	590	4441
"HI"	2008	"AB-33"	2	0	2507	708	3280				2482	456	3001
"HI"	2008	"AB-34"	1	0	3659	1473	5191				3441	1169	4765
"HI"	2008	"AB-35"	1	0	3068	1261	4367				2819	896	3891
"HI"	2008	"AB-36"	1	0	3174	1187	4415				2885	880	3944
"HI"	2008	"AB-37"	1	0	282	95	382				270	74	364
"HI"	2008	"AB-38"	1	0	2204	506	2743				2108	334	2527
"HI"	2008	"AB-39"	1	0	909	243	1161				815	186	1045
"HI"	2008	"AB-40"	1	0	1861	503	2399				1785	340	2214
"HI"	2008	"AB-41"	1	0	330	159	493				289	134	439
"HI"	2008	"AB-42"	1	0	403	127	540				371	111	499
"HI"	2008	"AB-43"	1	0	2063	568	2675				1980	371	2467
"HI"	2008	"AB-44"	1	0	2512	1121	3705				2317	909	3399
"HI"	2008	"AB-45"	1	0	3584	895	4554				3317	642	4126
"HI"	2008	"AB-46"	1	0	1928	587	2555				1799	423	2343
"HI"	2008	"AB-47"	1	0	1076	308	1401				987	207	1258
"HI"	2008	"AB-48"	1	0	3160	955	4166				2969	655	3795
"HI"	2008	"AB-49"	1	0	2107	718	2864				2068	425	2622
"HI"	2008	"AB-50"	1	0	127	57	188				126	34	173
"HI"	2008	"AB-51"	1	0	240	82	332				237	54	304
"HI"	2008	"AB-52"	1	0	365	97	466				344	66	422
"HI"	2008	"AB-53"	1	0	1363	491	1894				1259	389	1772
"HI"	2008	"AB-54"	1	0	329	122	456				329	69	433
"HI"	2008	"AB-55"	1	0	1120	420	1559				1299	157	1496
"HI"	2008	"AB-56"	1	0	1039	331	1395				1054	202	1307
"HI"	2008	"AB-57"	1	0	398	96	504				416	47	475
"HI"	2008	"AB-58"	1	0	471	126	603				456	78	555
"HI"	2008	"AB-59"	1	0	1843	592	2468				1824	362	2290
"HI"	2008	"AB-60"	1	0	876	324	1213				896	190	1122
"HI"	2008	"AB-61"	1	0	990	513	1522				1035	323	1404
"HI"	2008	"AB-62"	1	0	885	266	1160				876	164	1072
"HI"	2008	"AB-63"	1	0	1946	696	2678				1944	455	2481
"HI"	2008	"AB-64"	1	0	2942	872	3851				2940	507	3533
"HI"	2008	"AB-65"	1	0	108	42	153				127	21	150
"HI"	2008	"AB-66"	1	0	322	151	480				366	69	446
"HI"	2008	"AB-67"	1	0	1232	411	1660				1423	176	1621
"HI"	2008	"AB-68"	1	0	1512	432	1969				1527	274	1847
"HI"	2008	"AB-69"	1	0	828	246	1086				839	139	998
"HI"	2008	"AB-70"	1	0	33	7	41				31	4	36
"HI"	2008	"AB-71"	1	0	721	210	934				723	124	865
"HI"	2008	"AB-72"	1	0	1758	606	2387				1745	397	2198
"HI"	2008	"AB-73"	1	0	883	314	1209				883	203	1120
"HI"	2008	"AB-74"	1	0	926	299	1238				927	207	1162
"HI"	2008	"AB-75"	1	0	1394	535	1961				1437	348	1833
"HI"	2008	"AB-76"	2	0	1351	451	1836				1363	299	1716
"HI"	2008	"AB-77"	1	0	121	55	180				118	42	171
"HI"	2008	"AB-78"	2	0	1577	786	2400				1597	599	2272
"HI"	2008	"AB-79"	2	0	979	486	1481				1024	355	1420
"HI"	2008	"AB-80"	1	0	803	230	1040				778	168	978
"HI"	2008	"AB-81"	1	0	272	105	379				293	51	353
"HI"	2008	"AB-82"	2	0	694	261	962				712	185	906
"HI"	2008	"AB-83"	1	0	171	67	240				196	28	227
"HI"	2008	"AB-84"	1	0	58	22	81				58	11	75
"HI"	2008	"AB-85"	1	0	1103	412	1534				1150	273	1451
"HI"	2008	"AB-86"	1	0	2090	1083	3202				2279	721	3059
"HI"	2008	"AB-87"	2	0	115	81	197				136	51	190
"HI"	2008	"AB-88"	2	0	1100	422	1540				1108	316	1469
"HI"	2008	"AB-89"	2	0	1084	405	1527				1159	254	1468
"HI"	2008	"AB-90"	2	0	189	106	298				171	100	279
"HI"	2008	"AB-91"	2	0	1104	428	1562				1030	318	1411
