state	year	county	precinct	cd	ld	g2002_STH_dv	g2002_STH_rv	g2002_STH_tv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	ld11	g2002_STH_dv11	g2002_STH_rv11	g2002_STH_tv11	ld12	g2002_STH_dv12	g2002_STH_rv12	g2002_STH_tv12	ld13	g2002_STH_dv13	g2002_STH_rv13	g2002_STH_tv13	g2002_STS_dv	g2002_STS_rv	sd	g2002_STS_tv	g2002_STS_dv2	g2002_STS_rv2	sd2	g2002_STS_tv2	g2002_STS_dv3	g2002_STS_rv3	sd3	g2002_STS_tv3	g2002_STS_dv4	g2002_STS_rv4	sd4	g2002_STS_tv4	g2002_STS_dv5	g2002_STS_rv5	sd5	g2002_STS_tv5	g2002_STS_dv6	g2002_STS_rv6	sd6	g2002_STS_tv6	g2002_STS_dv7	g2002_STS_rv7	sd7	g2002_STS_tv7	g2002_STS_dv8	g2002_STS_rv8	sd8	g2002_STS_tv8	g2002_STS_dv9	g2002_STS_rv9	sd9	g2002_STS_tv9	g2002_STS_dv10	g2002_STS_rv10	sd10	g2002_STS_tv10	g2002_STS_dv11	g2002_STS_rv11	sd11	g2002_STS_tv11	g2002_STS_dv12	g2002_STS_rv12	sd12	g2002_STS_tv12	g2002_STS_dv13	g2002_STS_rv13	sd13	g2002_STS_tv13
"IA"	2002	"Floyd"	"Scott Union"	4	14	198	0	198																																																	140	77	7	239																																																
"IA"	2002	"Floyd"	"St Charles"	4	14	303	0	303																																																	164	177	7	361																																																
"IA"	2002	"Floyd"	"Ulster"	4	14	89	0	89																																																	45	49	7	108																																																
"IA"	2002	"Franklin"	"Absentee and Special Ballots"	4	12	240	414	654	9	2	0	2																																															6	0			5	0																																												
"IA"	2002	"Franklin"	"Dows"	4	9	3	11	14																																																	5	11	5	16																																																
"IA"	2002	"Franklin"	"Geneva"	4	12	38	52	90																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Grant Lee"	4	12	69	116	185																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Hamilton"	4	12	36	113	149																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Hampton 1"	4	12	53	150	203																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Hampton 2"	4	12	141	206	347																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Hampton 3"	4	12	123	194	317																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Hampton 4"	4	12	110	176	286																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Ingham"	4	12	38	81	121																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Marion South Richland"	4	12	116	217	333																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Morgan"	4	12	31	60	91																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Mott"	4	12	67	170	237																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Oakland"	4	12	39	46	85																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Osceola"	4	12	33	53	86																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Reeve"	4	12	31	85	116																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Ross West Fork"	4	12	189	330	519																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Scott"	4	12	27	109	136																																																	0	0	6	0																																																
"IA"	2002	"Franklin"	"Wisner North Richland"	4	12	29	50	79																																																	0	0	6	0																																																
"IA"	2002	"Fremont"	"Absentee and Special Ballots"	5	97	138	190	328																																																	0	246	49	247																																																
"IA"	2002	"Fremont"	"Benton Pct"	5	97	31	43	74																																																	0	58	49	59																																																
"IA"	2002	"Fremont"	"Farragut Pct"	5	97	191	185	376																																																	0	296	49	299																																																
"IA"	2002	"Fremont"	"Green Pct"	5	97	88	218	306																																																	0	260	49	260																																																
"IA"	2002	"Fremont"	"Hamburg Ward 1"	5	97	43	73	116																																																	0	96	49	97																																																
