state	year	precinct	ward	cd	ld_name	ld_code	sd	mcd	mcd_code	vtd	fips	g2004_BALL_tv	g2004_USP_rv	g2004_USP_dv	g2004_USP_tv	g2004_USH_rv	g2004_USH_dv	g2004_USH_tv	g2004_STH_rv	g2004_STH_dv	g2004_STH_tv
"MN"	2004	"CROOKSTON W-5"	5	7	"01B"	2	1	"Crookston city"	65	85	13870	633	299	317	639	116	481	598	270	347	617
"MN"	2004	"CROOKSTON W-6"	6	7	"01B"	2	1	"Crookston city"	65	90	13870	651	346	285	669	171	434	608	303	320	628
"MN"	2004	"FOSSTON CITY"		7	"02A"	3	2	"Fosston city"	125	210	21986	756	435	316	759	209	516	726	294	436	731
"MN"	2004	"BEN WADE TWP."		7	"13A"	25	13	"Ben Wade township"	15	15	5302	151	71	75	154	50	97	147	75	72	148
"MN"	2004	"CYRUS"		7	"13A"	25	13	"Cyrus city"	30	30	14446	151	96	52	152	49	96	145	92	58	150
"MN"	2004	"GLENWOOD P-1"		7	"13A"	25	13	"Glenwood city"	45	45	24074	1268	540	674	1251	321	844	1169	625	572	1202
"MN"	2004	"GLENWOOD P-2"		7	"13A"	25	13	"Glenwood city"	45	50	24074	290	86	94	190	51	124	175	107	71	178
"MN"	2004	"GLENWOOD TWP."		7	"13A"	25	13	"Glenwood township"	50	55	24092	680	341	318	672	203	436	639	391	255	646
"MN"	2004	"LOWRY"		7	"13A"	25	13	"Lowry city"	85	90	38366	170	84	81	169	49	110	160	103	60	163
"MN"	2004	"MINNEWASKA TWP."		7	"13A"	25	13	"Minnewaska township"	90	95	43342	332	173	150	330	103	216	319	172	143	316
"MN"	2004	"NEW PRAIRIE TWP."		7	"13A"	25	13	"New Prairie township"	95	100	45844	139	88	49	140	60	74	134	83	50	133
"MN"	2004	"RENO TWP."		7	"13A"	25	13	"Reno township"	105	110	53854	250	135	109	252	83	159	242	133	107	240
"MN"	2004	"STARBUCK"		7	"13A"	25	13	"Starbuck city"	120	125	62500	795	344	428	784	213	544	757	380	384	768
"MN"	2004	"VILLARD"		7	"13A"	25	13	"Villard city"	125	130	67144	148	90	55	147	57	85	142	99	42	141
"MN"	2004	"WHITE BEAR LAKE TWP"		7	"13A"	25	13	"White Bear Lake township"	145	150	69952	322	160	155	325	87	225	312	166	144	312
"MN"	2004	"BRIDGEWATER TWP."		2	"25B"	50	25	"Bridgewater township"	5	5	7714	1261	623	612	1271	663	523	1225	723	507	1231
"MN"	2004	"CANNON CITY TWP."		2	"26B"	52	26	"Cannon City township"	10	10	9712	714	422	279	718	421	243	684	403	276	704
"MN"	2004	"DENNISON CITY"		2	"25B"	50	25	"Dennison city"	15	12	15706	4	0	4	4	0	3	3	1	3	4
"MN"	2004	"DUNDAS"		2	"25B"	50	25	"Dundas city"	20	15	17126	508	249	250	517	245	225	488	244	235	482
"MN"	2004	"ERIN TWP."		2	"25B"	50	25	"Erin township"	25	20	19682	462	238	214	463	226	212	453	222	221	444
"MN"	2004	"FARIBAULT P-1"		2	"26B"	52	26	"Faribault city"	30	25	20546	2195	1008	1131	2209	1044	979	2101	952	1130	2171
"MN"	2004	"FARIBAULT P-2"		2	"26B"	52	26	"Faribault city"	30	30	20546	732	294	407	745	298	347	682	282	380	707
"MN"	2004	"FARIBAULT P-3"		2	"26B"	52	26	"Faribault city"	30	35	20546	2326	1085	1183	2327	1107	1024	2221	1039	1160	2281
"MN"	2004	"FARIBAULT P-4"		2	"26B"	52	26	"Faribault city"	30	40	20546	1119	491	597	1116	495	532	1067	462	599	1091
"MN"	2004	"FARIBAULT P-5"		2	"26B"	52	26	"Faribault city"	30	45	20546	1525	711	786	1533	729	689	1456	666	796	1499
"MN"	2004	"FARIBAULT P-6"		2	"26B"	52	26	"Faribault city"	30	50	20546	1345	606	710	1356	647	597	1284	580	695	1320
"MN"	2004	"FOREST TWP."		2	"25B"	50	25	"Forest township"	35	55	21680	724	405	306	727	405	272	703	390	308	699
"MN"	2004	"LONSDALE CITY"		2	"25B"	50	25	"Lonsdale city"	40	60	38150	1257	760	470	1256	730	430	1199	722	457	1181
"MN"	2004	"MORRISTOWN"		2	"26B"	52	26	"Morristown city"	44	65	44296	528	288	231	528	257	225	502	266	231	518
"MN"	2004	"MORRISTOWN TWP."		2	"26B"	52	26	"Morristown township"	45	70	44314	408	274	123	410	256	131	401	256	129	403
"MN"	2004	"NERSTRAND"		2	"25B"	50	25	"Nerstrand city"	55	75	45196	162	97	63	164	98	51	159	94	61	155
"MN"	2004	"NORTHFIELD W-1 P-1"	1	2	"25B"	50	25	"Northfield city"	46924	80	46924	593	121	458	598	132	405	559	154	402	558
"MN"	2004	"NORTHFIELD W-1 P-2"	1	2	"25B"	50	25	"Northfield city"	46924	85	46924	1674	381	1261	1675	403	1133	1556	516	1064	1580
"MN"	2004	"NORTHFIELD W-2 P-1"	2	2	"25B"	50	25	"Northfield city"	46924	90	46924	1249	370	853	1253	395	764	1198	494	699	1195
"MN"	2004	"NORTHFIELD W-2 P-2"	2	2	"25B"	50	25	"Northfield city"	46924	95	46924	1624	635	966	1623	687	867	1585	823	767	1592
"MN"	2004	"NORTHFIELD W-3 P-1"	3	2	"25B"	50	25	"Northfield city"	46924	105	46924	1186	322	843	1206	316	701	1034	428	612	1041
"MN"	2004	"NORTHFIELD W-3 P-2"	3	2	"25B"	50	25	"Northfield city"	46924	110	46924	911	331	554	906	375	463	869	455	415	871
"MN"	2004	"NORTHFIELD W-4 P-1"	4	2	"25B"	50	25	"Northfield city"	46924	113	46924	1185	280	864	1194	312	772	1111	417	701	1119
"MN"	2004	"NORTHFIELD W-4 P-2"	4	2	"25B"	50	25	"Northfield city"	46924	114	46924	1272	554	700	1280	581	612	1232	620	614	1235
"MN"	2004	"NORTHFIELD TWP."		2	"25B"	50	25	"Northfield township"	65	115	46942	507	248	246	506	251	225	489	291	205	496
"MN"	2004	"RICHLAND TWP."		2	"26B"	52	26	"Richland township"	70	120	54250	231	125	97	234	115	95	220	111	102	224
"MN"	2004	"SHIELDSVILLE TWP."		2	"25B"	50	25	"Shieldsville township"	75	125	59854	720	374	319	715	362	302	685	313	363	676
"MN"	2004	"WALCOTT TWP."		2	"26B"	52	26	"Walcott township"	80	130	67666	587	316	255	596	302	239	565	293	254	573
"MN"	2004	"WARSAW TWP."		2	"26B"	52	26	"Warsaw township"	85	135	68278	824	468	346	824	473	305	800	453	331	817
"MN"	2004	"WEBSTER TWP."		2	"25B"	50	25	"Webster township"	90	140	68962	1113	647	437	1114	647	396	1076	654	408	1063
"MN"	2004	"WELLS TWP."		2	"26B"	52	26	"Wells township"	95	145	69124	1017	551	445	1021	509	431	977	520	452	1003
"MN"	2004	"WHEATLAND TWP."		2	"25B"	50	25	"Wheatland township"	100	150	69826	730	436	282	731	440	255	715	440	260	700
"MN"	2004	"WHEELING TWP."		2	"25B"	50	25	"Wheeling township"	105	155	69862	311	171	133	314	162	126	302	161	141	303
"MN"	2004	"BABBITT"		8	"06A"	11	6	"Babbitt city"	40	35	3106	1019	351	646	1016	154	809	977	168	816	987
"MN"	2004	"UNORG. PRCT. 9"		8	"06A"	11	6	"Birch Lake Unorganized"	57	975	6042	291	119	170	289	65	215	282	78	197	285
"MN"	2004	"UNORG. PREC. 20"		8	"05A"	9	5	"Birch Lake Unorganized"	57	976	6042	0	0	0	0	0	0	0	0	0	0
"MN"	2004	"CANOSIA TWP."		8	"06B"	12	6	"Canosia township"	80	85	9784	1320	544	750	1316	330	909	1279	396	878	1276
"MN"	2004	"CHISHOLM"		8	"05B"	10	5	"Chisholm city"	95	100	11386	2824	720	2009	2805	516	2134	2708	450	2194	2740
"MN"	2004	"CRANE LAKE"		8	"06A"	11	6	"Crane Lake township"	118	133	13630	104	71	32	105	42	59	102	13	91	104
"MN"	2004	"DULUTH TWP."		8	"06A"	11	6	"Duluth township"	130	435	17018	1201	400	727	1152	308	750	1109	318	707	1072
"MN"	2004	"ELY P-1"		8	"06A"	11	6	"Ely city"	145	450	19142	450	194	244	456	94	314	434	120	298	430
"MN"	2004	"ELY P-2"		8	"06A"	11	6	"Ely city"	145	455	19142	597	261	327	594	124	416	567	183	365	564
"MN"	2004	"ELY P-3"		8	"06A"	11	6	"Ely city"	145	460	19142	509	222	265	504	110	352	474	148	329	490
"MN"	2004	"ELY P-4"		8	"06A"	11	6	"Ely city"	145	465	19142	668	263	389	672	131	451	604	161	463	639
"MN"	2004	"EVELETH P-1"		8	"05A"	9	5	"Eveleth city"	155	475	19934	441	103	323	435	54	363	422	76	353	431
"MN"	2004	"EVELETH P-2"		8	"05A"	9	5	"Eveleth city"	155	480	19934	301	79	216	307	39	251	294	46	251	298
"MN"	2004	"EVELETH P-3"		8	"05A"	9	5	"Eveleth city"	155	485	19934	312	59	242	307	34	257	297	40	262	303
"MN"	2004	"EVELETH P-4"		8	"05A"	9	5	"Eveleth city"	155	490	19934	381	105	262	378	74	274	355	79	286	365
"MN"	2004	"EVELETH P-5"		8	"05A"	9	5	"Eveleth city"	155	495	19934	396	74	313	397	45	330	377	53	335	388
"MN"	2004	"EVELETH P-6"		8	"05A"	9	5	"Eveleth city"	155	500	19934	277	62	203	279	29	230	266	46	221	267
"MN"	2004	"FAYAL TWP."		8	"05A"	9	5	"Fayal township"	165	510	20762	1397	472	882	1398	269	1033	1327	335	1020	1358
"MN"	2004	"FREDENBERG TWP."		8	"05B"	10	5	"Fredenberg township"	195	540	22508	845	443	384	836	284	514	817	314	456	790
"MN"	2004	"UNORG. PRCT. 12"		8	"06A"	11	6	"Gheen Unorganized"	203	990	23632	13	5	8	13	3	9	12	5	8	13
"MN"	2004	"GILBERT"		8	"05A"	9	5	"Gilbert city"	205	550	23714	1138	302	806	1147	167	913	1099	222	894	1116
"MN"	2004	"GNESEN TWP."		8	"06A"	11	6	"Gnesen township"	210	565	24218	1054	465	562	1045	298	693	1014	368	596	978
"MN"	2004	"GRAND LAKE TWP."		8	"05B"	10	5	"Grand Lake township"	215	570	24956	1596	681	887	1585	433	1055	1524	483	974	1508
"MN"	2004	"UNORG. 59-16"		8	"05A"	9	5	"Hay Lake Unorganized"	227	881	27899	65	26	39	65	18	44	64	18	46	64
"MN"	2004	"UNORG. PRCT. 5"		8	"05B"	10	5	"Heikkila Lake Unorganized"	228	950	28259	178	59	106	169	34	129	166	37	127	170
"MN"	2004	"UNORG. PRCT. 14"		8	"05A"	9	5	"Heikkila Lake Unorganized"	228	960	28259	469	190	263	473	134	320	460	179	285	465
"MN"	2004	"UNORG. PRCT. 6"		8	"05A"	9	5	"Heikkila Lake Unorganized"	228	962	28259	2	1	1	2	0	2	2	0	2	2
"MN"	2004	"HERMANTOWN P-1"		8	"06B"	12	6	"Hermantown city"	230	595	28682	1476	600	837	1468	402	980	1410	459	938	1399
"MN"	2004	"HERMANTOWN P-2"		8	"06B"	12	6	"Hermantown city"	230	600	28682	1441	585	836	1441	366	1012	1399	410	993	1403
"MN"	2004	"HERMANTOWN P-3"		8	"06B"	12	6	"Hermantown city"	230	605	28682	1728	693	1014	1729	441	1182	1656	493	1165	1659
"MN"	2004	"HIBBING P- 1"	1	8	"05B"	10	5	"Hibbing city"	235	615	28790	418	91	318	416	57	333	402	53	331	404
"MN"	2004	"HIBBING P- 2"	1	8	"05B"	10	5	"Hibbing city"	235	620	28790	312	96	207	311	67	218	297	61	222	302
"MN"	2004	"HIBBING P- 3"	1	8	"05B"	10	5	"Hibbing city"	235	625	28790	525	190	331	525	144	351	505	111	374	507
"MN"	2004	"HIBBING P- 4"	1	8	"05B"	10	5	"Hibbing city"	235	630	28790	552	188	357	557	149	383	540	123	402	539
"MN"	2004	"HIBBING P- 5"	2	8	"05B"	10	5	"Hibbing city"	235	635	28790	1075	330	715	1072	266	757	1038	220	791	1053
"MN"	2004	"HIBBING P- 6"	2	8	"05B"	10	5	"Hibbing city"	235	640	28790	464	156	299	468	123	324	449	114	326	454
"MN"	2004	"HIBBING P- 7"	2	8	"05B"	10	5	"Hibbing city"	235	645	28790	399	124	263	403	114	277	394	99	287	395
"MN"	2004	"HIBBING P- 8"	3	8	"05B"	10	5	"Hibbing city"	235	650	28790	472	151	306	469	126	315	447	107	334	456
"MN"	2004	"HIBBING P- 9"	3	8	"05B"	10	5	"Hibbing city"	235	655	28790	1309	432	847	1309	361	876	1271	311	887	1278
"MN"	2004	"HIBBING P- 10"	4	8	"05B"	10	5	"Hibbing city"	235	660	28790	1764	540	1184	1757	452	1200	1677	353	1281	1708
"MN"	2004	"HIBBING P-11"	5	8	"05B"	10	5	"Hibbing city"	235	665	28790	2000	626	1327	1985	500	1390	1926	420	1450	1937
"MN"	2004	"UNORG. PRCT. 1"		8	"05B"	10	5	"Pot Shot Lake Unorganized"	238	591	52224	47	19	25	48	15	29	45	16	28	46
"MN"	2004	"HOYT LAKES"		8	"05A"	9	5	"Hoyt Lakes city"	240	735	30302	1326	394	898	1332	212	1055	1281	302	990	1293
"MN"	2004	"UNORG. PRCT. 4"		8	"05B"	10	5	"Janette Lake Unorganized"	249	945	31733	164	49	114	163	29	124	158	28	128	161
"MN"	2004	"UNORG. PRCT. 10"		8	"05A"	9	5	"Lake Vermillion Unorganized"	263	979	50643	5	0	5	5	0	4	4	0	3	4
"MN"	2004	"LAKEWOOD TWP."		8	"06A"	11	6	"Lakewood township"	265	770	35234	1369	540	764	1322	380	839	1269	397	777	1216
"MN"	2004	"UNORG. PRCT. 7"		8	"05B"	10	5	"McCormack Lake Unorganized"	283	965	38937	144	55	89	144	39	99	140	36	99	142
"MN"	2004	"MIDWAY TWP."		8	"06B"	12	6	"Midway township"	305	805	42056	859	311	525	859	200	610	831	229	582	813
"MN"	2004	"MOUNTAIN IRON P-1"		8	"05A"	9	5	"Mountain Iron city"	325	820	44548	859	206	626	858	115	692	818	150	684	836
"MN"	2004	"MOUNTAIN IRON P-2"		8	"05A"	9	5	"Mountain Iron city"	325	825	44548	910	305	586	910	183	665	867	211	669	886
"MN"	2004	"UNORG. PRCT. 11"		8	"06A"	11	6	"Camp 5 township - NW ST. LOUIS UNORG"	352	999	63246	52	20	30	54	11	40	51	12	36	50
"MN"	2004	"UNORG. PRCT. 13"		8	"06A"	11	6	"Camp 5 township - NW ST. LOUIS UNORG"	352	1000	63246	132	74	52	138	37	91	131	19	104	126
"MN"	2004	"UNORG. PREC. NO. 21"		8	"06A"	11	6	"Camp 5 township - NW ST. LOUIS UNORG"	352	1002	63246	106	70	34	107	43	58	104	20	81	104
"MN"	2004	"PROCTOR"		8	"06B"	12	6	"Proctor city"	385	895	52630	1790	511	1233	1782	317	1360	1712	353	1346	1703
"MN"	2004	"RICE LAKE TWP."		8	"06B"	12	6	"Rice Lake township"	390	910	54060	2473	912	1528	2470	601	1725	2398	719	1648	2374
