state	year	precinct_code	precinct	g2008_REG_tv	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv
"AK"	2008	"06-545"	"06-545 Crooked Creek"	68	35	21	12	34	20	12	34	17	15	32	24		35	20	15
"AK"	2008	"06-546"	"06-546 Deltana"	1528	670	105	551	660	181	412	664	156	455	569	167		643	143	497
"AK"	2008	"06-547"	"06-547 Dot Lake"	110	40	7	30	40	14	26	40	13	24	32	15		36	20	16
"AK"	2008	"06-550"	"06-550 Eagle"	231	90	26	59	89	30	45	88	30	50	81	39		88	51	37
"AK"	2008	"06-555"	"06-555 Fort Yukon"	468	198	94	100	199	127	66	197	113	80	186	175		199	150	49
"AK"	2008	"06-557"	"06-557 Gakona"	298	144	32	107	142	52	87	141	41	95	112	58		132	54	78
"AK"	2008	"06-560"	"06-560 Galena"	365	204	78	123	199	74	118	205	78	118	194	164		201	126	75
"AK"	2008	"06-565"	"06-565 Grayling"	115	53	10	38	53	23	29	53	19	31	50	40		52	44	8
"AK"	2008	"06-570"	"06-570 Holy Cross"	125	63	33	29	63	44	19	63	39	23	60	56		62	55	7
"AK"	2008	"06-575"	"06-575 Hughes"	62	30	19	11	30	18	10	30	16	10	30	29		30	25	5
"AK"	2008	"06-580"	"06-580 Huslia"	164	97	62	34	97	66	27	97	55	34	96	88		96	74	22
"AK"	2008	"06-590"	"06-590 Kaltag"	129	76	40	34	75	55	20	75	37	33	74	67		74	64	10
"AK"	2008	"06-593"	"06-593 Kenny Lake"	430	204	55	140	198	76	104	202	72	110	163	81		195	69	126
"AK"	2008	"06-595"	"06-595 Koyukuk"	63	37	31	6	37	30	6	37	23	11	37	36		37	33	4
"AK"	2008	"06-605"	"06-605 Manley Hot Springs"	118	39	10	28	38	11	22	39	10	23	33	12		35	18	17
"AK"	2008	"06-607"	"06-607 Marshall"	182	94	53	35	94	76	16	94	50	37	89	72		91	63	28
"AK"	2008	"06-610"	"06-610 McGrath"	333	136	47	87	137	54	79	136	56	74	130	83		133	67	66
"AK"	2008	"06-613"	"06-613 Mentasta"	84	38	17	18	37	24	10	38	19	15	36	26		37	29	8
"AK"	2008	"06-615"	"06-615 Minto"	151	75	22	50	76	50	22	76	40	26	74	73		76	70	6
"AK"	2008	"06-620"	"06-620 Nenana"	606	315	86	220	311	117	165	308	104	172	282	145		305	115	189
"AK"	2008	"06-625"	"06-625 Nikolai"	71	47	17	27	45	28	15	44	24	17	43	37		44	34	10
"AK"	2008	"06-627"	"06-627 Northway"	240	85	26	59	84	33	49	86	25	59	81	74		84	67	17
"AK"	2008	"06-630"	"06-630 Nulato"	189	98	50	42	98	77	17	98	55	37	94	84		97	85	12
"AK"	2008	"06-650"	"06-650 Ruby"	132	66	38	28	66	38	28	65	35	24	63	57		65	54	11
"AK"	2008	"06-655"	"06-655 Russian Mission"	176	99	60	33	99	54	39	99	44	44	93	69		97	68	29
"AK"	2008	"06-660"	"06-660 Shageluk"	71	33	11	21	33	26	7	33	22	10	30	28		31	28	3
"AK"	2008	"06-665"	"06-665 Sleetmute"	125	37	7	27	37	19	15	37	11	24	33	19		36	20	16
"AK"	2008	"06-675"	"06-675 Stevens Village"	80	16	13	3	16	15	1	16	11	2	16	16		16	15	1
"AK"	2008	"06-680"	"06-680 Takotna"	44	15	2	11	16	9	6	16	9	6	15	11		15	13	2
"AK"	2008	"06-683"	"06-683 Tanacross"	104	68	29	37	68	53	12	67	40	22	67	64		67	60	7
"AK"	2008	"06-685"	"06-685 Tanana"	191	90	65	22	91	60	28	90	50	29	88	79		88	81	7
"AK"	2008	"06-687"	"06-687 Tetlin"	73	32	26	6	32	20	11	32	14	16	30	27		32	31	1
"AK"	2008	"06-688"	"06-688 Tok"	1082	499	105	373	488	189	261	488	165	289	426	211		474	154	318
"AK"	2008	"06-695"	"06-695 Tyonek"	104	48	26	18	47	31	15	47	31	12	44	42		46	45	1
"AK"	2008	"06-700"	"06-700 Venetie"	128	67	39	27	67	46	21	67	38	25	59	54		66	57	9
"AK"	2008	"07-000"	"District 7 - Absentee"	14855	1733	833	854	1662	851	673	1655	857	686				1497	757	730
"AK"	2008	"07-000"	"District 7 - Early Voting"	14855	1725	987	698	1716	1096	539	1716	1116	532				1709	1128	574
"AK"	2008	"07-000"	"District 7 - Question"	14855	647	198	429	533	242	250	529	216	271				167	57	109
"AK"	2008	"07-210"	"07-210 Chatanika"	70	34	5	29	34	9	24	34	7	22				33	9	22
"AK"	2008	"07-225"	"07-225 Farmers Loop"	2862	1282	575	670	1274	638	572	1271	677	545				1272	712	557
"AK"	2008	"07-230"	"07-230 Fox"	936	498	134	346	494	169	263	491	179	271				488	207	280
"AK"	2008	"07-235"	"07-235 Goldstream #1"	1131	506	262	215	502	298	179	501	302	179				502	320	182
"AK"	2008	"07-240"	"07-240 Shanly"	1054	439	181	245	439	225	173	437	212	196				435	224	210
"AK"	2008	"07-245"	"07-245 Steele Creek/Gilmore"	2685	1194	334	825	1190	463	640	1185	439	671				1177	504	672
"AK"	2008	"07-250"	"07-250 Steese East"	1997	913	225	667	906	324	497	903	337	494				905	339	563
"AK"	2008	"07-255"	"07-255 Steese West"	3025	1343	400	909	1336	541	693	1329	556	691				1320	539	776
"AK"	2008	"07-260"	"07-260 Two Rivers"	1095	580	149	410	574	212	301	573	208	326				569	221	343
"AK"	2008	"08-000"	"District 8 - Absentee"	14356	2044	1174	807	1950	1197	599	1942	1171	660				1676	1099	568
"AK"	2008	"08-000"	"District 8 - Early Voting"	14356	1400	912	467	1396	971	376	1396	998	352				1364	1005	358
"AK"	2008	"08-000"	"District 8 - Question"	14356	602	224	354	505	250	198	508	235	217				162	92	68
"AK"	2008	"08-100"	"08-100 Anderson"	233	101	20	76	100	42	51	99	32	56				98	45	53
"AK"	2008	"08-110"	"08-110 Cantwell"	200	103	41	56	103	43	57	103	39	61				100	51	49
"AK"	2008	"08-115"	"08-115 Chena"	3511	1574	590	932	1565	698	775	1559	724	758				1531	841	683
"AK"	2008	"08-120"	"08-120 Clear"	265	81	17	59	81	32	42	82	31	42				79	40	39
"AK"	2008	"08-125"	"08-125 Denali Park"	344	111	93	18	110	92	14	109	92	15				108	93	15
"AK"	2008	"08-130"	"08-130 Ester"	1458	745	379	320	742	429	255	739	424	265				733	484	243
"AK"	2008	"08-132"	"08-132 Geist"	1608	675	258	398	673	319	314	671	325	323				659	362	296
"AK"	2008	"08-134"	"08-134 Goldstream #2"	1278	706	420	250	700	449	192	700	459	193				691	525	163
"AK"	2008	"08-136"	"08-136 Healy"	768	370	136	223	368	178	154	368	177	162				360	197	163
"AK"	2008	"08-138"	"08-138 Pike"	669	292	98	186	287	120	141	285	117	133				282	152	129
"AK"	2008	"08-140"	"08-140 University Campus"	840	165	103	52	161	100	48	161	106	46				158	100	58
"AK"	2008	"08-143"	"08-143 University Hills"	954	336	163	161	335	172	133	334	180	135				326	210	114
"AK"	2008	"08-145"	"08-145 University West"	2228	1015	367	624	1012	481	458	1012	462	502				989	540	448
"AK"	2008	"09-000"	"District 9 - Absentee"	11974	1336	594	707	1269	668	495	1275	625	566	1104	582	517	1069	546	519
"AK"	2008	"09-000"	"District 9 - Early Voting"	11974	1025	580	426	1017	634	342	1015	657	326	1011	656	353	1018	673	345
"AK"	2008	"09-000"	"District 9 - Question"	11974	613	234	351	497	243	202	495	222	232	209	133	76	130	82	48
"AK"	2008	"09-305"	"09-305 Airport"	395	148	33	108	148	53	83	147	52	81	147	69	77	147	56	90
"AK"	2008	"09-310"	"09-310 Aurora"	2517	861	272	570	850	374	430	846	373	429	835	430	404	848	434	413
"AK"	2008	"09-320"	"09-320 Fairbanks #1"	542	216	62	148	214	94	105	212	103	102	212	111	100	210	120	88
"AK"	2008	"09-330"	"09-330 Fairbanks #3"	1256	510	172	325	504	217	246	506	237	237	504	215	288	505	244	260
"AK"	2008	"09-335"	"09-335 Fairbanks #4"	988	395	117	263	398	165	203	392	164	201	391	183	207	393	175	217
"AK"	2008	"09-340"	"09-340 Fairbanks #5"	1138	563	154	398	562	211	330	560	232	304	557	264	293	560	211	349
"AK"	2008	"09-345"	"09-345 Fairbanks #6"	1526	466	192	264	463	245	188	461	235	202	456	240	214	459	246	211
"AK"	2008	"09-350"	"09-350 Fairbanks #7"	1807	551	236	294	544	273	226	546	258	255	537	295	240	544	306	237
"AK"	2008	"09-353"	"09-353 Fairbanks #10"	1805	459	159	287	455	193	235	456	191	243	452	239	211	450	211	237
"AK"	2008	"10-000"	"District 10 - Absentee"	11792	1507	617	840	1393	637	592	1394	593	692	1307	593	711	1274	569	689
"AK"	2008	"10-000"	"District 10 - Early Voting"	11792	764	394	362	759	459	249	758	440	274	748	451	295	747	427	315
"AK"	2008	"10-000"	"District 10 - Question"	11792	476	163	303	366	173	158	362	141	195	186	97	89	104	44	60
"AK"	2008	"10-325"	"10-325 Fairbanks #2"	925	295	98	179	292	141	122	289	128	135	283	150	131	284	144	139
"AK"	2008	"10-355"	"10-355 Fairbanks #8"	2160	774	264	492	762	337	370	761	340	377	748	376	371	757	341	414
"AK"	2008	"10-360"	"10-360 Fairbanks #9"	2395	990	290	675	984	403	515	985	396	532	981	488	493	989	461	525
"AK"	2008	"10-365"	"10-365 Fort Wainwright"	5440	522	176	338	513	270	184	505	245	237	502	236	264	499	217	278
"AK"	2008	"10-367"	"10-367 Lakeview"	872	287	72	203	286	104	164	286	103	166	287	115	170	287	124	162
"AK"	2008	"11-000"	"District 11 - Absentee"	14954	1565	366	1169	1448	467	765	1450	401	910				1349	272	1073
"AK"	2008	"11-000"	"District 11 - Early Voting"	14954	849	313	520	842	415	375	838	391	401				832	267	563
"AK"	2008	"11-000"	"District 11 - Question"	14954	881	173	689	689	251	367	688	201	426				349	53	292
"AK"	2008	"11-400"	"11-400 Badger #1"	1446	668	106	541	658	197	396	660	184	423				650	120	526
"AK"	2008	"11-405"	"11-405 Badger #2"	2239	1021	181	819	1012	376	564	1007	328	606				991	179	811
"AK"	2008	"11-410"	"11-410 Chena Lakes"	2530	1104	177	906	1088	327	641	1089	284	733				1076	151	920
"AK"	2008	"11-415"	"11-415 Moose Creek"	545	216	42	168	215	58	130	215	58	139				213	48	164
"AK"	2008	"11-420"	"11-420 Newby"	2124	908	129	760	894	256	545	899	220	613				890	122	764
"AK"	2008	"11-425"	"11-425 North Pole"	1519	587	120	455	588	211	329	584	195	344				579	120	459
"AK"	2008	"11-430"	"11-430 Plack"	2121	994	142	835	987	316	567	992	278	634				972	151	820
"AK"	2008	"11-435"	"11-435 Richardson"	2430	1073	175	874	1062	372	595	1070	332	670				1056	177	877
"AK"	2008	"12-000"	"District 12 - Absentee"	12697	2384	664	1658	2267	827	1188	2264	710	1402				2092	570	1514
"AK"	2008	"12-000"	"District 12 - Early Voting"	12697	112	36	74	110	48	51	112	55	53				110	39	71
"AK"	2008	"12-000"	"District 12 - Question"	12697	418	80	330	310	127	164	309	101	187				74	23	50
"AK"	2008	"12-010"	"12-010 Big Delta"	1054	551	89	444	543	153	340	546	133	367				541	108	432
"AK"	2008	"12-020"	"12-020 Delta Junction"	686	348	54	286	345	91	219	344	83	224				340	73	266
"AK"	2008	"12-025"	"12-025 Eielson"	4131	641	137	497	619	313	260	624	225	371				602	178	422
"AK"	2008	"12-030"	"12-030 Farm Loop"	830	406	110	286	399	152	223	401	148	241				386	124	262
"AK"	2008	"12-031"	"12-031 Glennallen"	707	282	57	222	276	74	172	277	64	198				278	53	225
"AK"	2008	"12-035"	"12-035 Salcha"	942	477	75	387	474	142	277	472	129	303				452	100	350
"AK"	2008	"12-043"	"12-043 Sheep Mountain"	326	120	24	93	121	33	83	121	33	87				117	29	88
"AK"	2008	"12-047"	"12-047 Sutton"	946	492	165	304	487	230	226	489	211	244				463	189	272
"AK"	2008	"12-050"	"12-050 Valdez #1"	1083	523	153	355	514	248	242	520	222	276				517	151	365
"AK"	2008	"12-055"	"12-055 Valdez #2"	833	339	108	215	330	141	169	332	138	176				332	86	244
"AK"	2008	"12-060"	"12-060 Valdez #3"	1159	496	162	316	494	234	238	490	199	268				485	139	341
"AK"	2008	"13-000"	"District 13 - Absentee"	15711	2750	849	1832	2653	1161	1332	2654	1066	1441	2451	613	1819	2442	822	1601
"AK"	2008	"13-000"	"District 13 - Early Voting"	15711	857	260	574	856	368	450	851	354	461	826	187	628	838	292	539
"AK"	2008	"13-000"	"District 13 - Question"	15711	911	198	689	801	329	398	798	246	486	419	68	350	305	92	212
"AK"	2008	"13-005"	"13-005 Fishhook"	1886	959	228	700	947	338	548	946	317	592	923	185	730	932	294	631
"AK"	2008	"13-010"	"13-010 Greater Palmer"	1979	898	190	688	895	327	516	890	298	546	870	176	690	874	279	590
"AK"	2008	"13-015"	"13-015 Lakes"	1837	785	129	636	778	250	481	775	205	522	757	110	637	760	166	586
"AK"	2008	"13-020"	"13-020 Mat-Su Campus"	797	369	74	286	367	114	229	367	110	247	362	65	295	360	90	269
"AK"	2008	"13-025"	"13-025 City of Palmer No. 1"	1802	703	213	475	697	306	347	691	275	379	675	183	489	686	250	435
"AK"	2008	"13-027"	"13-027 City of Palmer No. 2"	1995	793	178	597	791	302	433	788	267	483	780	149	627	783	221	558
"AK"	2008	"13-033"	"13-033 Palmer Fishhook"	1190	550	108	424	540	179	329	543	165	357	530	103	422	534	135	397
"AK"	2008	"13-035"	"13-035 Pioneer Peak"	1297	589	113	461	583	169	377	581	154	407	576	86	482	572	132	435
"AK"	2008	"13-040"	"13-040 Trunk"	2040	959	181	755	954	316	600	956	279	641	930	136	784	933	196	731
"AK"	2008	"13-045"	"13-045 Walby Lake"	888	403	79	315	401	143	239	398	128	251	392	66	325	399	98	301
"AK"	2008	"14-000"	"District 14 - Absentee"	14927	1567	364	1183	1465	499	865	1467	470	894	1282	246	1020	1213	282	926
"AK"	2008	"14-000"	"District 14 - Early Voting"	14927	1790	542	1201	1777	752	940	1773	720	981	1735	421	1298	1708	517	1182
"AK"	2008	"14-000"	"District 14 - Question"	14927	773	127	628	643	245	349	639	177	408	274	38	235	186	45	140
"AK"	2008	"14-050"	"14-050 Kings Lake"	2930	1322	215	1078	1310	425	796	1303	358	870	1275	193	1061	1265	222	1035
"AK"	2008	"14-055"	"14-055 Knik"	529	252	36	211	250	76	154	249	63	169	240	39	200	246	42	203
"AK"	2008	"14-060"	"14-060 Schrock"	3423	1566	267	1263	1557	539	934	1550	460	1015	1516	244	1262	1501	275	1222
"AK"	2008	"14-065"	"14-065 Seward Meridian"	1789	753	133	607	746	227	469	746	201	513	735	103	627	727	130	594
"AK"	2008	"14-070"	"14-070 Wasilla Lake"	1363	451	94	348	448	166	252	450	155	276	437	82	352	433	97	336
"AK"	2008	"14-075"	"14-075 Wasilla No. 1"	2511	1043	163	861	1037	322	662	1037	268	719	1008	168	830	995	187	805
"AK"	2008	"14-080"	"14-080 Wasilla No. 2"	2382	939	191	728	930	349	536	928	303	570	899	150	736	893	205	684
"AK"	2008	"15-000"	"District 15 - Absentee"	15982	2083	607	1422	2020	814	1088	2017	781	1131				1807	511	1278
"AK"	2008	"15-000"	"District 15 - Early Voting"	15982	1083	307	751	1074	421	601	1079	415	617				1029	286	741
"AK"	2008	"15-000"	"District 15 - Question"	15982	679	97	566	550	210	303	544	150	347				189	34	154
"AK"	2008	"15-100"	"15-100 Big Lake"	2218	1115	190	891	1113	316	726	1112	295	757				1092	189	900
"AK"	2008	"15-103"	"15-103 Houston City"	1086	503	89	396	501	169	294	497	146	317				491	100	389
"AK"	2008	"15-105"	"15-105 Knik Goose Bay"	4437	2010	345	1603	1988	642	1209	1987	575	1298				1927	362	1557
"AK"	2008	"15-110"	"15-110 Meadow Lakes No. 1"	2097	928	159	725	926	290	578	923	265	611				899	185	707
"AK"	2008	"15-115"	"15-115 Meadow Lakes No. 2"	1978	917	145	751	914	265	590	914	232	633				880	165	715
"AK"	2008	"15-120"	"15-120 Susitna"	971	403	120	268	403	158	207	399	144	231				384	91	289
"AK"	2008	"15-125"	"15-125 Talkeetna"	968	387	197	169	380	222	137	383	221	139				368	152	215
"AK"	2008	"15-130"	"15-130 Trapper Creek"	602	170	39	119	168	58	96	168	50	101				161	34	127
"AK"	2008	"15-135"	"15-135 Willow"	1625	808	215	566	805	300	461	805	282	483				787	207	573
"AK"	2008	"16-000"	"District 16 - Absentee"	14629	2455	741	1643	2397	962	1287	2399	936	1340				2121	555	1556
"AK"	2008	"16-000"	"District 16 - Early Voting"	14629	575	195	363	570	246	300	569	236	309				557	191	365
"AK"	2008	"16-000"	"District 16 - Question"	14629	371	64	293	324	123	183	320	81	206				53	7	45
"AK"	2008	"16-140"	"16-140 Butte"	2012	1036	229	786	1030	358	612	1029	346	626				1005	258	744
"AK"	2008	"16-145"	"16-145 Eklutna"	1821	891	235	634	888	322	519	885	307	534				860	192	663
"AK"	2008	"16-150"	"16-150 Fairview"	1046	494	66	418	489	132	323	489	120	351				478	106	371
"AK"	2008	"16-155"	"16-155 Lazy Mountain"	1850	981	243	710	978	346	573	977	342	595				944	261	675
"AK"	2008	"16-160"	"16-160 Peters Creek No. 1"	2437	1263	284	951	1257	457	749	1255	410	793				1219	238	979
"AK"	2008	"16-165"	"16-165 Peters Creek No. 2"	2485	1133	285	818	1126	350	722	1127	376	707				1101	205	893
"AK"	2008	"16-170"	"16-170 Snowshoe"	2335	1154	215	900	1143	369	699	1147	330	762				1108	296	808
"AK"	2008	"16-175"	"16-175 Springer Loop"	643	344	79	258	342	125	199	344	125	203				332	80	250
"AK"	2008	"17-000"	"District 17 - Absentee"	13781	2533	767	1717	2411	992	1280	2416	870	1414	2215	598	1609	2223	477	1733
"AK"	2008	"17-000"	"District 17 - Early Voting"	13781	328	159	161	321	179	132	323	182	134	318	143	175	319	111	206
"AK"	2008	"17-000"	"District 17 - Question"	13781	454	112	334	362	144	196	363	126	218	153	31	121	128	23	102
"AK"	2008	"17-200"	"17-200 Chugach Park No. 3"	1454	720	203	501	713	269	407	711	255	425	699	161	537	697	146	549
"AK"	2008	"17-205"	"17-205 Dntn Eagle River No. 1"	2818	1150	286	846	1144	484	595	1138	424	653	1097	253	843	1104	216	884
"AK"	2008	"17-210"	"17-210 Dntn Eagle River No. 2"	2044	880	198	653	872	297	525	875	284	546	854	183	670	842	151	688
