state	year	county_code	county	precinct_code	precinct	cd	sd	ld	g2008_REG_dv	g2008_REG_rv	g2008_REG_ov	g2008_REG_mv	g2008_REG_fv	g2008_REG_tv	g2008_USP_dv	g2008_USS_rv	g2008_USS_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_tv
"KY"	2008	84	"MERCER"	"E99"	"MAGIS.DIST. TOTALS"	0	0	0	1707	814	147	1298	1370	2668						
"KY"	2008	84	"MERCER"	"F101"	"COURTHOUSE"	6	14	55	828	307	69	514	690	1204	261	221	306	270	537	527
"KY"	2008	84	"MERCER"	"F102"	"CHAMBERS HOUSE"	6	14	55	833	239	70	488	654	1142	237	247	300	323	570	547
"KY"	2008	84	"MERCER"	"F99"	"MAGIS.DIST. TOTALS"	0	0	0	1661	546	139	1002	1344	2346						
"KY"	2008	84	"MERCER"	"G101"	"PASSMORE HOUSE"	6	14	55	918	315	58	583	708	1291	290	336	364	421	718	700
"KY"	2008	84	"MERCER"	"G102"	"OPERA HOUSE"	6	14	55	819	263	41	505	618	1123	257	299	288	357	622	587
"KY"	2008	84	"MERCER"	"G99"	"MAGIS.DIST. TOTALS"	0	0	0	1737	578	99	1088	1326	2414						
"KY"	2008	84	"MERCER"	"9999"	"TOTAL ALL PRECINCTS"	0	0	0	10876	4430	768	7587	8487	16074						
"KY"	2008	85	"METCALFE"	"A101"	"EAST EDMONTON"	1	9	53	793	467	50	602	708	1310	237	308	276	363	620	584
"KY"	2008	85	"METCALFE"	"A102"	"WEST  EDMONTON"	1	9	53	572	398	34	471	533	1004	186	283	223	334	530	506
"KY"	2008	85	"METCALFE"	"A103"	"RANDOLPH-WISDOM"	1	9	53	539	415	55	510	499	1009	160	293	236	383	553	529
"KY"	2008	85	"METCALFE"	"A104"	"EAST FORK-SPARKS"	1	9	53	280	104	20	213	191	404	82	108	124	156	247	232
"KY"	2008	85	"METCALFE"	"A99"	"MAGIS.DIST. TOTALS"	0	0	0	2184	1384	159	1796	1931	3727						
"KY"	2008	85	"METCALFE"	"B101"	"KNOB LICK"	1	9	53	369	168	17	282	272	554	88	136	119	170	266	255
"KY"	2008	85	"METCALFE"	"B102"	"SAVOYARD"	1	9	53	79	86	2	73	94	167	20	65	28	76	96	93
"KY"	2008	85	"METCALFE"	"B103"	"CENTER"	1	9	53	272	147	13	218	214	432	68	169	110	206	280	279
"KY"	2008	85	"METCALFE"	"B104"	"SULPHUR WELL"	1	9	53	351	131	25	249	258	507	94	124	118	152	254	242
