state	year	precinct	g2006_DEL_dv	g2006_DEL_tv	g2006_MAY_dv	g2006_MAY_rv	g2006_MAY_tv	g2006_COC_dv	g2006_COC_tv	g2006_SHADS_dv	g2006_SHADS_rv	g2006_SHADS_tv	g2006_SHADR_dv	g2006_SHADR_rv	g2006_SHADR_tv
"DC"	2006	37	653	666	625	23	648	639	646	558	94	652	504	28	532
"DC"	2006	38	647	663	623	20	643	635	647	557	85	642	502	38	540
"DC"	2006	39	1031	1066	938	53	991	960	996	711	289	1000	685	71	756
"DC"	2006	40	1193	1233	1106	63	1169	1110	1142	836	308	1144	807	66	873
"DC"	2006	41	736	748	707	20	727	717	730	604	123	727	529	35	564
"DC"	2006	42	472	486	454	20	474	451	458	374	92	466	352	18	370
"DC"	2006	43	444	452	421	16	437	432	435	388	52	440	357	16	373
"DC"	2006	44	858	871	822	45	867	821	826	729	111	840	648	63	711
"DC"	2006	45	685	693	666	13	679	664	672	570	88	658	485	21	506
"DC"	2006	46	920	929	908	16	924	901	908	809	100	909	743	29	772
"DC"	2006	47	879	905	862	38	900	856	880	706	124	830	667	61	728
"DC"	2006	48	1067	1088	1058	25	1083	1035	1049	845	170	1015	748	51	799
"DC"	2006	49	220	221	205	5	210	210	213	177	40	217	169	10	179
"DC"	2006	50	1054	1097	1009	125	1134	1016	1055	749	167	916	677	165	842
"DC"	2006	51	1816	1869	1788	161	1949	1747	1791	1297	238	1535	1171	252	1423
"DC"	2006	52	705	726	686	63	749	679	697	527	86	613	478	80	558
"DC"	2006	53	492	497	470	12	482	472	479	356	100	456	336	25	361
"DC"	2006	54	845	855	815	13	828	816	825	667	134	801	625	26	651
"DC"	2006	55	833	841	802	27	829	786	796	715	82	797	665	35	700
"DC"	2006	56	995	1008	979	17	996	949	960	860	97	957	782	30	812
"DC"	2006	57	981	990	945	34	979	932	948	818	107	925	775	37	812
"DC"	2006	58	846	857	830	15	845	827	841	714	102	816	685	19	704
"DC"	2006	59	1092	1100	1068	14	1082	1057	1068	916	134	1050	821	45	866
"DC"	2006	60	705	710	690	14	704	666	679	604	72	676	548	28	576
"DC"	2006	61	725	741	716	20	736	707	714	599	89	688	567	33	600
"DC"	2006	62	1750	1791	1725	50	1775	1735	1758	1343	293	1636	1268	72	1340
"DC"	2006	63	1354	1378	1302	34	1336	1315	1340	1075	208	1283	993	56	1049
"DC"	2006	64	877	887	864	12	876	852	859	709	118	827	646	23	669
"DC"	2006	65	1226	1239	1203	19	1222	1185	1195	1071	115	1186	990	39	1029
"DC"	2006	66	1888	1909	1826	35	1861	1838	1856	1680	153	1833	1535	50	1585
"DC"	2006	67	1268	1283	1208	31	1239	1233	1251	1092	140	1232	1016	42	1058
"DC"	2006	68	806	820	759	35	794	768	792	649	122	771	609	57	666
"DC"	2006	69	920	939	879	33	912	886	903	787	104	891	725	40	765
"DC"	2006	70	621	631	599	14	613	592	607	535	76	611	459	32	491
"DC"	2006	71	886	892	845	18	863	846	859	768	85	853	680	31	711
"DC"	2006	72	1142	1153	1093	20	1113	1102	1111	995	111	1106	909	34	943
"DC"	2006	73	777	798	742	37	779	744	766	607	159	766	568	48	616
"DC"	2006	74	1064	1081	1021	37	1058	1021	1037	923	118	1041	856	46	902
"DC"	2006	75	776	786	721	37	758	741	750	625	127	752	590	29	619
