state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USH_dv	g2004_USH_rv	g2004_USP_tv	g2004_USH_tv
"WY"	2004	"Big Horn"	"Hyattville Community Center 6-1"	12	97	17	86	109	103
"WY"	2004	"Big Horn"	"Manderson Town Hall 8-1"	29	133	49	104	162	153
"WY"	2004	"Big Horn"	"Greybull Elks Lodge 11-1"	296	817	372	686	1113	1058
"WY"	2004	"Big Horn"	"Shell Community Hall 16-1"	52	170	55	161	222	216
"WY"	2004	"Big Horn"	"Lovell National Guard Armory 20-1"	221	1272	356	1049	1493	1405
"WY"	2004	"Big Horn"	"Cowley Log Gym 22-1"	49	330	77	278	379	355
"WY"	2004	"Big Horn"	"Byron Town Complex 23-1"	40	230	59	190	270	249
"WY"	2004	"Big Horn"	"Deaver Community Hall 25-1"	23	87	26	88	110	114
"WY"	2004	"Big Horn"	"Frannie School Building 26-1"	20	86	25	82	106	107
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-1"	54	230	86	181	284	267
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-2"	51	123	64	108	174	172
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-3"	77	212	107	172	289	279
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-4"	97	381	138	322	478	460
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-5"	162	553	213	473	715	686
"WY"	2004	"Campbell"	"Camplex Energy Hall 1-6(00)"					0	0
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-7"	82	325	113	270	407	383
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-8"	70	304	98	254	374	352
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-9"	57	314	88	266	371	354
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-10"	86	446	147	364	532	511
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-11"	50	297	88	227	347	315
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-12"	85	367	105	312	452	417
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-13"	39	211	75	160	250	235
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-14"	158	694	234	584	852	818
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-15"	64	356	105	302	420	407
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-16"	146	591	216	487	737	703
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-17"	125	538	176	450	663	626
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-18"	52	209	67	178	261	245
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-19"	108	585	182	483	693	665
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-20"	30	155	49	128	185	177
"WY"	2004	"Campbell"	"Central Pavilion Camplex 1-21"	34	203	50	182	237	232
"WY"	2004	"Campbell"	"Central Pavilion Camplex 2-1"	50	316	78	269	366	347
"WY"	2004	"Campbell"	"Central Pavilion Camplex 3-1"	72	539	119	454	611	573
"WY"	2004	"Campbell"	"Rozet School 4-1"	64	489	107	427	553	534
"WY"	2004	"Campbell"	"Antelope Valley Baptist Church 5-1"	114	718	171	603	832	774
"WY"	2004	"Campbell"	"Rawhide School 6-1"	25	201	48	166	226	214
"WY"	2004	"Campbell"	"Recluse School 7-1"	19	120	22	110	139	132
"WY"	2004	"Campbell"	"Little Powder School 8-1"	15	116	19	103	131	122
"WY"	2004	"Campbell"	"First United Methodist Church 9-1"	77	499	124	423	576	547
"WY"	2004	"Campbell"	"Wright Town Hall 12-1"	5	101	12	86	106	98
"WY"	2004	"Campbell"	"4-J School 13-1"	10	191	15	172	201	187
"WY"	2004	"Campbell"	"Wright Town Hall 14-1"	106	474	174	370	580	544
"WY"	2004	"Campbell"	"Wright Town Hall 14-2"	14	188	26	173	202	199
"WY"	2004	"Campbell"	"Central Pavilion Camplex 18-1"	108	548	147	464	656	611
"WY"	2004	"Campbell"	"Antelope Valley Baptist Church 19-1"	47	347	77	296	394	373
"WY"	2004	"Campbell"	"Antelope Valley Baptist Church 22-1"	111	474	162	395	585	557
