state	year	county	precinct	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	cd2	g2008_USH_dv2	g2008_USH_rv2	g2008_USH_tv2	g2008_USP_dv	g2008_USP_rv	g2008_USS_dv	g2008_USS_rv	g2008_USP_tv	g2008_USS_tv
"NE"	2008	"Buffalo"	"033"	3	178	984	1162.0					261	910	336	828	1177.0	1179.0
"NE"	2008	"Buffalo"	"034"	3	140	495	635.0					217	431	271	377	649.0	654.0
"NE"	2008	"Buffalo"	"035"	3	132	501	633.0					202	429	234	409	637.0	647.0
"NE"	2008	"Buffalo"	"EV-Absente"	3			0.0									0.0	0.0
"NE"	2008	"Buffalo"	"NP-Party"	3			0.0									0.0	0.0
"NE"	2008	"Buffalo"	"Provisiona"	3			0.0									0.0	0.0
"NE"	2008	"Burt"	"01"	1	56	97	153.0					78	82	64	94	161.0	159.0
"NE"	2008	"Burt"	"02"	1	41	195	236.0					59	184	62	178	247.0	248.0
"NE"	2008	"Burt"	"03"	1	49	143	192.0					100	103	84	114	206.0	202.0
"NE"	2008	"Burt"	"04"	1	127	171	298.0					171	143	158	145	317.0	309.0
"NE"	2008	"Burt"	"05"	1	34	110	144.0					52	91	40	106	147.0	148.0
"NE"	2008	"Burt"	"06"	1	89	253	342.0					151	191	129	212	347.0	350.0
"NE"	2008	"Burt"	"07"	1	57	194	251.0					97	165	92	167	264.0	266.0
"NE"	2008	"Burt"	"08"	1	49	234	283.0					95	198	81	203	293.0	295.0
"NE"	2008	"Burt"	"09"	1	60	199	259.0					105	167	92	175	274.0	271.0
"NE"	2008	"Burt"	"10"	1	83	232	315.0					136	183	117	202	321.0	324.0
"NE"	2008	"Burt"	"11"	1	94	235	329.0					158	171	124	202	335.0	334.0
"NE"	2008	"Burt"	"EV-Absente"	1	142	258	400.0					204	217	183	214	422.0	412.0
"NE"	2008	"Burt"	"NP-Party"	1			0.0									0.0	0.0
"NE"	2008	"Burt"	"Provisiona"	1	5	14	19.0					7	12	8	11	19.0	20.0
"NE"	2008	"Butler"	"01"	1	21	73	94.0					29	63	37	59	96.0	97.0
"NE"	2008	"Butler"	"02"	1	18	97	115.0					33	82	34	81	116.0	115.0
"NE"	2008	"Butler"	"03"	1	24	213	237.0					54	187	72	166	245.0	244.0
"NE"	2008	"Butler"	"04"	1	42	207	249.0					74	179	96	163	256.0	265.0
"NE"	2008	"Butler"	"05"	1	7	54	61.0					17	45	24	41	62.0	65.0
"NE"	2008	"Butler"	"06"	1	13	96	109.0					23	84	24	87	108.0	111.0
"NE"	2008	"Butler"	"07"	1	7	72	79.0					16	71	21	65	88.0	86.0
"NE"	2008	"Butler"	"08"	1	39	88	127.0					44	82	60	68	126.0	130.0
"NE"	2008	"Butler"	"09"	1	48	205	253.0					88	181	123	144	271.0	267.0
"NE"	2008	"Butler"	"10"	1	18	71	89.0					28	62	45	48	92.0	93.0
"NE"	2008	"Butler"	"11"	1	11	94	105.0					24	80	30	76	105.0	109.0
"NE"	2008	"Butler"	"12"	1	44	164	208.0					71	142	89	126	216.0	215.0
"NE"	2008	"Butler"	"13"	1	14	57	71.0					14	62	32	43	77.0	76.0
"NE"	2008	"Butler"	"14"	1	35	105	140.0					63	72	73	71	138.0	147.0
"NE"	2008	"Butler"	"15"	1	14	49	63.0					13	50	31	37	65.0	69.0
"NE"	2008	"Butler"	"16"	1	51	159	210.0					80	128	106	105	210.0	213.0
"NE"	2008	"Butler"	"17"	1	8	45	53.0					15	37	17	33	53.0	53.0
"NE"	2008	"Butler"	"18"	1	56	254	310.0					105	209	115	203	319.0	323.0
"NE"	2008	"Butler"	"19"	1	57	234	291.0					102	192	106	190	296.0	300.0
"NE"	2008	"Butler"	"20"	1	52	315	367.0					104	276	120	262	381.0	383.0
"NE"	2008	"Butler"	"EV-Absente"	1	111	335	446.0					192	270	193	268	466.0	476.0
"NE"	2008	"Butler"	"NP-Party"	1			0.0					1	3			4.0	0.0
"NE"	2008	"Butler"	"Provisiona"	1			0.0									0.0	0.0
"NE"	2008	"Cass"	"001"	1	199	564	763.0					290	503	284	491	794.0	791.0
"NE"	2008	"Cass"	"002"	1	62	124	186.0					90	107	94	91	197.0	194.0
"NE"	2008	"Cass"	"003"	1	98	251	349.0					155	204	151	207	363.0	368.0
"NE"	2008	"Cass"	"004"	1	93	293	386.0					166	234	155	235	402.0	402.0
"NE"	2008	"Cass"	"005"	1	74	207	281.0					126	167	100	182	296.0	291.0
"NE"	2008	"Cass"	"006"	1	79	264	343.0					118	237	102	250	359.0	363.0
"NE"	2008	"Cass"	"008"	1	69	159	228.0					104	140	97	144	244.0	243.0
"NE"	2008	"Cass"	"009"	1	85	259	344.0					150	215	134	218	369.0	367.0
"NE"	2008	"Cass"	"010"	1	80	310	390.0					140	249	123	272	399.0	402.0
"NE"	2008	"Cass"	"011"	1	61	162	223.0					96	132	94	138	230.0	238.0
"NE"	2008	"Cass"	"012"	1	16	73	89.0					37	56	29	65	95.0	96.0
"NE"	2008	"Cass"	"013"	1	86	275	361.0					153	220	129	243	376.0	380.0
"NE"	2008	"Cass"	"014"	1	33	119	152.0					61	101	51	110	163.0	165.0
"NE"	2008	"Cass"	"015"	1	57	208	265.0					89	181	89	182	273.0	277.0
"NE"	2008	"Cass"	"016"	1	94	311	405.0					144	275	134	274	420.0	417.0
"NE"	2008	"Cass"	"017"	1	144	500	644.0					215	456	175	482	675.0	670.0
"NE"	2008	"Cass"	"018"	1	72	235	307.0					120	204	105	209	325.0	322.0
"NE"	2008	"Cass"	"019"	1	147	576	723.0					254	501	218	520	758.0	754.0
"NE"	2008	"Cass"	"020"	1	77	378	455.0					150	337	128	346	488.0	484.0
"NE"	2008	"Cass"	"021"	1	64	167	231.0					116	128	99	141	247.0	243.0
"NE"	2008	"Cass"	"022"	1	68	154	222.0					118	119	102	128	240.0	237.0
"NE"	2008	"Cass"	"023"	1	38	149	187.0					76	123	71	117	199.0	195.0
"NE"	2008	"Cass"	"024"	1	60	224	284.0					106	178	75	207	290.0	293.0
"NE"	2008	"Cass"	"025"	1	91	234	325.0					134	200	111	216	337.0	336.0
"NE"	2008	"Cass"	"026"	1	40	114	154.0					76	88	57	101	165.0	162.0
"NE"	2008	"Cass"	"027"	1	50	181	231.0					83	162	65	173	249.0	247.0
"NE"	2008	"Cass"	"028"	1	48	151	199.0					89	120	70	131	214.0	209.0
"NE"	2008	"Cass"	"029"	1	55	204	259.0					99	171	86	178	273.0	273.0
"NE"	2008	"Cass"	"030"	1	81	171	252.0					138	126	104	152	269.0	265.0
"NE"	2008	"Cass"	"EV-Absente"	1	725	1355	2080.0					1016	1142	949	1160	2185.0	2173.0
"NE"	2008	"Cass"	"NP-Party"	1			0.0					0	0			0.0	0.0
"NE"	2008	"Cass"	"Provisiona"	1	25	57	82.0					44	44	29	49	89.0	85.0
"NE"	2008	"Cedar"	"01"	3	50	74	124.0	1			0	50	83	51	84	134.0	139.0
"NE"	2008	"Cedar"	"02"	3	81	152	233.0	1			0	75	198	70	188	275.0	269.0
"NE"	2008	"Cedar"	"03"	3	37	87	124.0	1			0	35	109	35	101	144.0	141.0
"NE"	2008	"Cedar"	"04"	3	76	77	153.0	1			0	66	104	59	100	173.0	170.0
"NE"	2008	"Cedar"	"05"	1	27	169	196.0	3			0	54	151	72	132	206.0	207.0
"NE"	2008	"Cedar"	"06"	3	101	264	365.0	1			0	115	297	83	317	412.0	408.0
"NE"	2008	"Cedar"	"07"	3	101	239	340.0	1			0	100	286	84	289	387.0	388.0
"NE"	2008	"Cedar"	"08"	3	33	28	61.0	1			0	26	38	25	47	67.0	73.0
"NE"	2008	"Cedar"	"09"	3	32	115	147.0	1			0	34	136	39	121	170.0	167.0
"NE"	2008	"Cedar"	"10"	1	45	299	344.0	3			0	96	250	87	248	346.0	345.0
"NE"	2008	"Cedar"	"11"	3	19	44	63.0	1			0	26	46	23	42	73.0	70.0
"NE"	2008	"Cedar"	"12"	3	36	90	126.0	1			0	43	99	32	111	142.0	144.0
"NE"	2008	"Cedar"	"13"	3	63	192	255.0	1			0	92	199	95	195	292.0	294.0
"NE"	2008	"Cedar"	"14"	1	12	78	90.0	3			0	30	66	30	64	98.0	97.0
"NE"	2008	"Cedar"	"15"	1	26	215	241.0	3			0	69	175	46	191	247.0	246.0
"NE"	2008	"Cedar"	"16"	1	45	251	296.0	3			0	68	243	72	224	313.0	305.0
"NE"	2008	"Cedar"	"EV-Absente"	3	140	262	402.0	1	43	153	196	208	431	177	451	648.0	642.0
"NE"	2008	"Cedar"	"NP-Party"	1			0.0	3			0					0.0	0.0
"NE"	2008	"Cedar"	"Provisiona"	3	2	0	2.0	1	0	2	2	3	1	2	2	4.0	4.0
"NE"	2008	"Chase"	"01"	3	28	176	204.0					29	176	52	150	208.0	207.0
"NE"	2008	"Chase"	"02"	3	24	229	253.0					50	212	54	208	263.0	263.0
"NE"	2008	"Chase"	"03"	3	58	395	453.0					89	380	118	343	471.0	468.0
"NE"	2008	"Chase"	"04"	3	26	215	241.0					45	201	63	174	247.0	243.0
"NE"	2008	"Chase"	"05"	3	59	251	310.0					57	255	104	210	316.0	318.0
"NE"	2008	"Chase"	"EV-Absente"	3	50	244	294.0					70	240	86	211	314.0	304.0
"NE"	2008	"Chase"	"NP-Party"	3			0.0					1	2			3.0	0.0
"NE"	2008	"Chase"	"Provisiona"	3	0	12	12.0					0	11	0	12	12.0	12.0
"NE"	2008	"Cherry"	"01"	3	0	42	42.0					2	41	6	31	44.0	37.0
"NE"	2008	"Cherry"	"02"	3	9	63	72.0					12	62	32	44	76.0	77.0
"NE"	2008	"Cherry"	"03"	3	26	147	173.0					27	147	38	134	179.0	178.0
"NE"	2008	"Cherry"	"04"	3	23	78	101.0					24	76	29	63	103.0	99.0
"NE"	2008	"Cherry"	"05"	3	4	25	29.0					5	25	9	22	31.0	31.0
"NE"	2008	"Cherry"	"06"	3	4	71	75.0					3	69	11	65	77.0	76.0
"NE"	2008	"Cherry"	"07"	3	0	29	29.0					0	31	1	26	31.0	29.0
"NE"	2008	"Cherry"	"08"	3	17	60	77.0					18	62	24	45	81.0	79.0
"NE"	2008	"Cherry"	"09"	3	1	20	21.0					1	20	0	20	21.0	21.0
"NE"	2008	"Cherry"	"10"	3	7	56	63.0					8	53	10	52	63.0	64.0
"NE"	2008	"Cherry"	"11"	3	19	117	136.0					16	119	45	85	136.0	136.0
"NE"	2008	"Cherry"	"12"	3	21	101	122.0					18	98	23	86	118.0	121.0
"NE"	2008	"Cherry"	"13"	3	4	36	40.0					1	41	9	32	42.0	42.0
"NE"	2008	"Cherry"	"14"	3	7	25	32.0					7	23	10	22	30.0	34.0
"NE"	2008	"Cherry"	"15"	3	1	27	28.0					0	27	5	19	27.0	27.0
"NE"	2008	"Cherry"	"16"	3	86	485	571.0					138	446	145	426	593.0	587.0
"NE"	2008	"Cherry"	"17"	3	113	513	626.0					175	466	178	449	646.0	645.0
