state	year	county	town	g2000_USP_rv	g2000_USP_dv	g2000_ATG_dv	g2000_ATG_iv	g2000_AUD_rv	g2000_AUD_dv	g2000_GOV_dv	g2000_GOV_rv	g2000_LTG_rv	g2000_LTG_dv	g2000_SOS_rv	g2000_SOS_dv	g2000_USH_rv	g2000_USH_iv	g2000_USS_dv	g2000_USS_rv
"VT"	2000	"Franklin County"	"St Albans Town 3-2"	1021	1159	1875	259	878	1272	1019	1024	1038	1163	744	1427	339	1663	576	1562
"VT"	2000	"Franklin County"	"Swanton"	1065	1302	2011	312	962	1381	1036	1178	1144	1219	822	1516	303	1858	657	1616
"VT"	2000	"Grand Isle County"	"Alburg"	371	365	596	117	309	392	298	418	373	356	318	396	99	534	192	452
"VT"	2000	"Grand Isle County"	"Grand Isle"	417	562	884	122	343	661	556	397	445	579	312	708	150	810	307	682
"VT"	2000	"Grand Isle County"	"Isle LaMotte"	112	149	210	42	107	149	73	171	137	125	100	157	42	188	87	168
"VT"	2000	"Grand Isle County"	"North Hero"	244	193	382	49	209	216	174	241	278	164	189	249	106	291	103	330
"VT"	2000	"Grand Isle County"	"South Hero"	406	566	900	88	367	612	558	369	457	544	296	699	157	761	247	741
"VT"	2000	"Lamoille County"	"Belvidere"	62	63	98	23	63	57	49	76	71	50	66	59	28	92	22	104
"VT"	2000	"Lamoille County"	"Cambridge"	628	828	1194	290	555	909	869	572	653	864	542	943	271	1175	363	1103
"VT"	2000	"Lamoille County"	"Eden"	248	189	326	108	195	226	167	245	227	204	208	225	50	368	114	295
"VT"	2000	"Lamoille County"	"Elmore"	174	215	336	70	144	252	250	148	147	263	126	279	44	346	133	257
"VT"	2000	"Lamoille County"	"Hyde Park"	567	768	1131	196	524	790	720	530	562	771	508	817	158	1083	349	933
"VT"	2000	"Lamoille County"	"Johnson"	507	713	1008	325	433	839	719	443	470	780	428	888	156	1093	440	829
"VT"	2000	"Lamoille County"	"Morristown"	898	1182	1781	318	807	1271	1183	781	871	1249	780	1349	315	1714	564	1461
"VT"	2000	"Lamoille County"	"Stowe"	950	1280	1984	309	1116	1153	1222	952	1206	1077	991	1319	573	1624	487	1610
"VT"	2000	"Lamoille County"	"Waterville"	152	136	214	60	117	151	121	153	151	132	135	146	71	207	62	197
"VT"	2000	"Lamoille County"	"Wolcott"	270	302	480	111	245	329	277	264	254	317	236	363	91	472	164	385
"VT"	2000	"Orange County"	"Bradford"	656	567	1010	180	599	500	635	565	594	599	567	583	273	800	324	786
"VT"	2000	"Orange County"	"Braintree"	273	267	459	67	302	239	275	262	285	266	279	274	52	336	108	337
"VT"	2000	"Orange County"	"Brookfield"	341	326	574	108	354	310	353	306	337	345	292	395	94	454	148	444
"VT"	2000	"Orange County"	"Chelsea"	350	272	508	76	370	259	273	353	376	265	340	310	91	415	124	411
"VT"	2000	"Orange County"	"Corinth"	356	341	519	100	369	297	338	363	384	334	342	357	91	443	189	369
"VT"	2000	"Orange County"	"Fairlee"	257	289	447	72	266	223	307	229	235	281	247	266	130	342	142	365
"VT"	2000	"Orange County"	"Newbury Townhouse"	136	75	164	36	133	55	91	118	125	78	110	83	55	136	31	151
"VT"	2000	"Orange County"	"Newbury Twn Of Bld"	234	244	381	71	212	209	286	209	204	270	189	259	109	336	138	311
"VT"	2000	"Orange County"	"Newbury Wells River"	176	113	242	44	168	93	119	156	148	123	147	132	78	177	64	198
"VT"	2000	"Orange County"	"Orange"	309	180	360	59	346	143	139	343	356	145	318	181	99	279	91	316
"VT"	2000	"Orange County"	"Randolph Chandler"	991	1062	1710	313	1015	1026	1176	850	968	1153	909	1208	233	1360	412	1355
"VT"	2000	"Orange County"	"Strafford"	197	390	490	97	196	377	442	170	195	411	179	431	79	464	214	374
"VT"	2000	"Orange County"	"Thetford"	485	883	1102	200	458	845	941	443	452	929	438	922	272	1035	422	944
"VT"	2000	"Orange County"	"Topsham"	397	193	444	84	371	146	198	392	407	195	349	207	115	337	119	350
"VT"	2000	"Orange County"	"Tunbridge"	320	314	489	111	314	296	324	293	314	321	294	344	95	422	148	423
"VT"	2000	"Orange County"	"Vershire"	154	166	239	51	152	152	169	144	145	166	143	185	51	207	94	177
"VT"	2000	"Orange County"	"Washington"	274	237	385	71	300	202	200	305	327	202	283	250	70	326	110	319
"VT"	2000	"Orange County"	"West Fairlee"	156	134	222	52	132	127	166	118	118	151	125	150	61	192	73	183
"VT"	2000	"Orange County"	"Williamstown"	796	641	1202	185	860	579	473	895	929	540	743	721	230	923	298	964
"VT"	2000	"Orleans County"	"Albany"	220	225	377	79	208	240	205	210	209	234	182	273	64	334	139	292
"VT"	2000	"Orleans County"	"Barton Mem Bldg"	426	350	638	104	458	316	270	460	445	336	381	382	113	515	172	516
"VT"	2000	"Orleans County"	"Barton Orleans"	256	199	409	45	262	188	196	213	213	225	209	250	62	336	98	325
"VT"	2000	"Orleans County"	"Brownington"	188	152	266	72	195	152	121	205	187	155	170	175	80	233	86	235
"VT"	2000	"Orleans County"	"Charleston"	234	188	346	90	252	161	128	267	243	171	218	210	82	308	91	307
"VT"	2000	"Orleans County"	"Coventry"	186	164	299	55	211	149	134	184	183	173	162	203	53	262	78	252
"VT"	2000	"Orleans County"	"Craftsbury"	223	328	474	89	239	316	335	185	217	332	196	374	53	507	117	430
"VT"	2000	"Orleans County"	"Derby"	1012	1028	1719	281	1142	898	804	1111	1047	1006	872	1166	358	1476	476	1469
"VT"	2000	"Orleans County"	"Glover"	254	259	450	81	270	262	234	252	254	276	206	330	74	415	154	361
"VT"	2000	"Orleans County"	"Greensboro"	169	193	294	92	202	178	175	165	194	194	154	239	73	304	94	280
"VT"	2000	"Orleans County"	"Holland"	141	130	222	49	151	114	89	160	145	123	120	155	45	199	61	190
"VT"	2000	"Orleans County"	"Irasburg"	323	230	435	74	342	192	158	361	335	208	299	239	68	351	113	335
"VT"	2000	"Orleans County"	"Jay"	88	101	151	31	103	80	74	98	92	90	77	107	34	144	43	141
"VT"	2000	"Orleans County"	"Lowell"	161	139	250	52	178	129	61	228	199	105	157	143	45	217	62	208
"VT"	2000	"Orleans County"	"Morgan"	186	137	273	47	201	125	97	203	196	119	160	166	74	225	74	232
"VT"	2000	"Orleans County"	"Newport City"	864	843	1455	193	977	740	729	812	823	871	764	933	268	1243	453	1147
"VT"	2000	"Orleans County"	"Newport Town"	353	308	550	86	367	275	251	343	296	324	280	351	121	455	141	459
"VT"	2000	"Orleans County"	"Troy"	281	272	463	85	315	230	198	297	279	257	248	301	79	413	136	372
"VT"	2000	"Orleans County"	"Westfield"	122	116	190	50	137	113	71	125	134	114	112	139	39	167	60	160
"VT"	2000	"Orleans County"	"Westmore"	112	110	189	29	123	98	73	125	132	93	100	119	43	159	47	168
"VT"	2000	"Rutland County"	"Benson"	220	205	328	95	205	200	164	160	206	180	182	234	110	276	77	321
"VT"	2000	"Rutland County"	"Brandon"	775	914	1300	209	785	887	878	731	740	923	678	1006	313	1172	371	1188
"VT"	2000	"Rutland County"	"Castleton"	772	846	1283	260	785	763	707	655	776	796	702	889	381	1047	387	1134
"VT"	2000	"Rutland County"	"Chittenden"	335	282	489	76	341	253	303	290	312	301	293	319	191	365	101	466
"VT"	2000	"Rutland County"	"Clarendon"	716	537	1048	142	645	529	471	693	700	524	587	639	328	763	207	955
"VT"	2000	"Rutland County"	"Danby"	353	226	470	103	312	239	231	303	296	259	315	266	190	336	131	432
"VT"	2000	"Rutland County"	"Fair Haven"	540	536	900	170	532	501	398	415	512	507	502	556	250	731	195	844
"VT"	2000	"Rutland County"	"Hubbardton"	137	145	232	48	131	133	122	125	132	144	136	152	81	176	72	197
"VT"	2000	"Rutland County"	"Ira"	112	91	180	21	110	81	91	98	104	96	94	111	53	124	42	148
"VT"	2000	"Rutland County"	"Mendon"	322	239	485	54	318	227	250	287	321	237	254	296	186	302	97	437
"VT"	2000	"Rutland County"	"Middletown Springs"	201	227	334	65	196	203	218	184	171	216	180	234	103	259	91	314
"VT"	2000	"Rutland County"	"Mount Holly"	291	318	499	104	285	292	304	275	278	320	242	357	152	396	151	447
"VT"	2000	"Rutland County"	"Mount Tabor"	46	46	78	15	43	38	44	45	48	43	49	45	19	67	18	72
"VT"	2000	"Rutland County"	"Pawlet"	365	273	512	123	332	271	291	308	296	293	327	307	227	350	112	501
"VT"	2000	"Rutland County"	"Pittsfield"	129	107	200	38	129	113	101	140	129	105	110	130	74	146	52	177
"VT"	2000	"Rutland County"	"Pittsford"	668	650	1083	163	617	667	619	658	633	674	541	769	315	820	268	979
"VT"	2000	"Rutland County"	"Poultney"	714	724	1178	237	692	663	677	624	640	722	649	768	362	911	333	1063
"VT"	2000	"Rutland County"	"Proctor"	379	476	715	87	381	430	429	367	382	470	343	498	163	586	174	626
"VT"	2000	"Rutland County"	"Rutland City 6-1 W1"	865	994	1569	167	861	899	1036	745	847	1005	726	1086	433	1195	359	1442
"VT"	2000	"Rutland County"	"Rutland City 6-2 W2"	586	824	1193	160	599	761	782	554	592	800	511	874	256	1013	340	1024
"VT"	2000	"Rutland County"	"Rutland City 6-3 W3A"	530	733	1049	196	496	727	681	529	537	727	433	803	225	888	361	865
"VT"	2000	"Rutland County"	"Rutland City 6-3 W3B"	380	523	747	122	371	474	472	374	377	501	327	555	170	657	240	637
"VT"	2000	"Rutland County"	"Rutland City 6-4 W4"	642	842	1284	166	647	776	867	554	607	883	540	951	322	1038	344	1145
"VT"	2000	"Rutland County"	"Rutland Town"	1244	976	1884	218	1273	864	836	1272	1305	906	1136	1053	680	1269	379	1702
"VT"	2000	"Rutland County"	"Sherburne"	280	304	469	93	315	234	258	308	333	239	297	281	197	331	111	475
"VT"	2000	"Rutland County"	"Shrewsbury"	304	311	494	108	303	307	325	267	269	347	251	379	175	405	108	512
"VT"	2000	"Rutland County"	"Sudbury"	125	165	259	39	144	137	164	116	128	154	113	186	59	199	82	198
"VT"	2000	"Rutland County"	"Tinmouth"	133	128	207	29	124	124	114	130	128	138	124	134	63	157	40	203
"VT"	2000	"Rutland County"	"Wallingford"	563	527	922	142	507	527	517	538	526	536	501	595	271	698	240	789
"VT"	2000	"Rutland County"	"Wells"	269	196	364	82	268	165	172	260	262	137	264	183	178	210	95	321
"VT"	2000	"Rutland County"	"West Haven"	55	85	116	24	72	62	39	54	71	54	68	73	37	84	28	100
"VT"	2000	"Rutland County"	"West Rutland"	495	540	851	135	448	504	478	492	476	538	402	611	199	711	231	707
"VT"	2000	"Washington County"	"Barre City 4-1"	800	866	1461	173	810	841	824	711	796	908	662	1027	281	1201	436	1206
"VT"	2000	"Washington County"	"Barre City 4-2"	876	1029	1634	206	899	959	901	868	880	1025	754	1150	271	1445	524	1308
"VT"	2000	"Washington County"	"Barre Town"	2099	1778	3353	416	2176	1636	1607	2052	2185	1712	1760	2120	781	2629	833	2893
"VT"	2000	"Washington County"	"Berlin"	556	609	1026	157	601	568	579	525	583	610	375	821	190	894	286	860
"VT"	2000	"Washington County"	"Cabot"	249	298	453	102	285	278	303	210	225	320	208	367	75	451	140	402
"VT"	2000	"Washington County"	"Calais"	267	513	684	168	331	528	503	258	291	576	230	666	106	690	301	566
"VT"	2000	"Washington County"	"Duxbury"	232	343	493	96	237	341	320	223	239	330	206	377	76	474	157	400
"VT"	2000	"Washington County"	"East Montpelier"	597	790	1200	173	685	737	767	544	593	827	469	982	222	1102	341	1066
"VT"	2000	"Washington County"	"Fayston"	236	405	527	115	233	410	421	210	232	412	199	458	121	508	210	454
