state	year	county	precinct_code	precinct	g2010_GOV_rv	g2010_GOV_dv	g2010_GOV_tv	cd	g2010_USH_rv	g2010_USH_dv	g2010_USH_tv	cd2	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	sd	g2010_STS_dv	g2010_STS_tv	g2010_STS_rv	sd2	g2010_STS_dv2	g2010_STS_rv2	g2010_STS_tv2	sd3	g2010_STS_dv3	g2010_STS_rv3	g2010_STS_tv3	ld	g2010_STH_rv	g2010_STH_tv	g2010_STH_dv	ld2	g2010_STH_dv2	g2010_STH_rv2	g2010_STH_tv2	ld3	g2010_STH_dv3	g2010_STH_rv3	g2010_STH_tv3	ld4	g2010_STH_dv4	g2010_STH_rv4	g2010_STH_tv4	ld5	g2010_STH_dv5	g2010_STH_rv5	g2010_STH_tv5	ld6	g2010_STH_dv6	g2010_STH_rv6	g2010_STH_tv6	ld7	g2010_STH_dv7	g2010_STH_rv7	g2010_STH_tv7	ld8	g2010_STH_dv8	g2010_STH_rv8	g2010_STH_tv8	ld9	g2010_STH_dv9	g2010_STH_rv9	g2010_STH_tv9	ld10	g2010_STH_dv10	g2010_STH_rv10	g2010_STH_tv10
"TN"	2010	"CLAY"	1	"1 Dentons Cross Road"	245	113	364	6	229	99	349					17	120	347	227									38	220	339	119																																				
"TN"	2010	"CLAY"	2	"2 Hermitage Springs"	219	118	339	6	220	99	329					17	125	330	205									38	186	318	132																																				
"TN"	2010	"CLAY"	3	"3 Celina"	174	188	372	6	169	168	352					17	188	348	160									38	150	355	205																																				
"TN"	2010	"CLAY"	4	"4-1 Maple Grove"	88	49	140	6	88	42	134					17	47	129	82									38	79	133	54																																				
"TN"	2010	"CLAY"	5	"4-2 Butlers Landing"	173	105	289	6	170	99	280					17	104	272	168									38	161	276	115																																				
"TN"	2010	"CLAY"	6	"5-1 Arcot/Beech Beth"	120	73	200	6	103	68	186					17	93	189	96									38	98	185	87																																				
"TN"	2010	"CLAY"	7	"5-2 Pea Ridge"	114	96	210	6	101	85	194					17	100	202	102									38	95	201	106																																				
"TN"	2010	"CLAY"	8	"Early Voting"	46	36	82	6	41	36	78					17	42	79	37									38	39	83	44																																				
"TN"	2010	"COCKE"	1	"Del Rio"	310	128	444	1	305	86	401					1	78	404	326									11	281	447	166																																				
"TN"	2010	"COCKE"	2	"Grassy Fork"	206	55	273	1	206	41	252					1	41	251	210									11	166	268	102																																				
"TN"	2010	"COCKE"	3	"Edwina"	501	115	628	1	501	73	588					1	78	582	504									11	333	628	295																																				
"TN"	2010	"COCKE"	4	"Bridgeport"	251	97	358	1	267	55	328					1	53	320	267									11	151	362	211																																				
"TN"	2010	"COCKE"	5	"Long Creek"	214	64	282	1	206	35	247					1	42	257	215									11	160	278	118																																				
"TN"	2010	"COCKE"	6	"Houston Valley"	18	1	20	1	14	0	17					1	2	18	16									11	17	22	5																																				
"TN"	2010	"COCKE"	7	"Parrottsville"	545	145	706	1	539	101	653					1	120	658	538									11	374	697	323																																				
"TN"	2010	"COCKE"	8	"Centerview"	521	114	649	1	511	85	609					1	86	599	513									11	403	652	249																																				
"TN"	2010	"COCKE"	9	"Forest Hill"	309	100	415	1	317	71	397					1	80	401	321									11	219	422	203																																				
"TN"	2010	"COCKE"	10	"Rankin"	104	25	134	1	114	12	127					1	13	124	111									11	91	135	44																																				
"TN"	2010	"COCKE"	11	"Armory"	198	71	280	1	203	41	251					1	38	255	217									11	143	277	134																																				
"TN"	2010	"COCKE"	12	"Edgemont"	356	116	483	1	356	69	431					1	77	445	368									11	256	484	228																																				
"TN"	2010	"COCKE"	13	"Cocke County High"	248	73	328	1	244	55	303					1	55	297	242									11	152	328	176																																				
"TN"	2010	"COCKE"	14	"Cosby"	597	157	773	1	578	104	713					1	117	711	594									11	461	764	303																																				
"TN"	2010	"COCKE"	15	"Smoky Mountain"	323	105	439	1	308	72	392					1	82	390	308									11	252	431	179																																				
"TN"	2010	"COCKE"	16	"Newport Grammar Sch"	457	142	606	1	461	84	556					1	104	549	445									11	267	602	335																																				
"TN"	2010	"COCKE"	17	"Central"	319	99	428	1	296	77	384					1	80	377	297									11	176	432	256																																				
"TN"	2010	"COCKE"	18	"Northport"	420	102	540	1	387	74	479					1	80	485	405									11	232	535	303																																				
"TN"	2010	"COCKE"	19	"West End"	350	120	477	1	342	81	432					1	84	425	341									11	193	472	279																																				
"TN"	2010	"COCKE"	20	"Absentee"	138	34	173	1	141	21	163					1	23	160	137									11	92	168	76																																				
"TN"	2010	"COFFEE"	1	"1 Ada Wright Center"	291	137	435	4	236	170	423																	47	267	411	144																																				
"TN"	2010	"COFFEE"	2	"2 St Paul UMC"	174	103	282	4	129	126	273																	47	164	265	101																																				
"TN"	2010	"COFFEE"	3	"3 Trinity"	639	280	939	4	534	346	918																	47	631	895	264																																				
"TN"	2010	"COFFEE"	4	"4 First Baptist"	383	176	573	4	323	216	567																	47	350	545	195																																				
"TN"	2010	"COFFEE"	5	"5 Hillsboro"	410	208	638	4	342	261	635																	47	415	616	201																																				
"TN"	2010	"COFFEE"	6	"6 Tennessee Voc Ctr"	377	180	567	4	344	192	561																	47	396	549	153																																				
"TN"	2010	"COFFEE"	7	"7 Forest Mill"	452	221	690	4	428	218	680																	47	466	658	192																																				
"TN"	2010	"COFFEE"	8	"8 New Union"	612	222	843	4	532	252	822																	47	593	810	217																																				
"TN"	2010	"COFFEE"	9	"9-1 Pocahontas"	226	117	349	4	202	124	343																	47	234	338	104																																				
"TN"	2010	"COFFEE"	10	"9-2 Summitville"	150	96	253	4	124	112	245																	47	154	235	81																																				
"TN"	2010	"COFFEE"	11	"10-1 Goosepond"	184	79	266	4	154	94	261																	47	180	255	75																																				
"TN"	2010	"COFFEE"	12	"10-2 Noah"	266	86	363	4	228	111	355																	47	244	340	96																																				
"TN"	2010	"COFFEE"	13	"11 Fredonia"	461	182	654	4	390	230	643																	47	445	629	184																																				
"TN"	2010	"COFFEE"	14	"12 North Coffee"	452	214	680	4	397	244	673																	47	465	643	178																																				
"TN"	2010	"COFFEE"	15	"13-1 Blanton's Chap"	245	68	322	4	216	95	325																	47	246	314	68																																				
"TN"	2010	"COFFEE"	16	"13-2 Schmiede/TMT"	448	89	543	4	396	119	538																	47	423	522	99																																				
"TN"	2010	"COFFEE"	17	"14 Hickerson"	480	174	667	4	417	213	659																	47	471	646	175																																				
"TN"	2010	"COFFEE"	18	"15 Grace Baptist"	665	188	868	4	586	253	862																	47	652	855	203																																				
"TN"	2010	"COFFEE"	19	"16 Lion's Club"	860	225	1097	4	750	304	1078																	47	822	1069	247																																				
"TN"	2010	"COFFEE"	20	"17 Hands On Science"	133	107	248	4	123	99	240																	47	135	221	86																																				
"TN"	2010	"COFFEE"	21	"18 First Christian"	350	144	499	4	324	151	492																	47	356	481	125																																				
"TN"	2010	"COFFEE"	22	"19 CD Stamps Center"	140	133	284	4	133	132	282																	47	157	272	115																																				
"TN"	2010	"COFFEE"	23	"20 Coffee Co SC Ctr"	521	217	763	4	461	259	755																	47	507	750	243																																				
"TN"	2010	"COFFEE"	24	"21 Wilson Ave C of C"	517	226	768	4	472	255	756																	47	514	750	236																																				
"TN"	2010	"CROCKETT"	1	"01"	225	121	349	8	279	62	344																	82	174	320	146																																				
"TN"	2010	"CROCKETT"	2	"02"	286	141	430	8	372	57	431																	82	225	399	174																																				
