state	year	parish	ward	precinct	sd	ld	ld2	g2001_STH_dv	g2001_STH_rv	g2001_STH_tv	g2001_STH_dv2	g2001_STH_rv2	g2001_STH_tv2	g2001_STS_dv	g2001_STS_rv	g2001_STS_tv	r2001_SC6_dv	r2001_SC6_rv	r2001_SC6_tv	r2001_STS_dv	r2001_STS_rv	r2001_STS_tv	r2001_STH_dv	r2001_STH_rv	r2001_STH_tv	g2001_SC6_dv	g2001_SC6_rv	g2001_SC6_tv
"LA"	2001	"St. James"	"0"	"3"													311		311							294	15	309
"LA"	2001	"East Baton Rouge"	"3-"	"3A"		69			187	187														228	228			
"LA"	2001	"St. Bernard"	"0"	"43"													196		196							534	35	569
"LA"	2001	"Terrebonne"	"0"	"37"	20									10	4	14	10		10	17	5	22				9	0	9
"LA"	2001	"Terrebonne"	"0"	"57L"	20	53		219	18	237				190	131	321	162		162	285	52	337	241		241	129	6	135
"LA"	2001	"Iberia"	"4-"	"5"													35		35							12	31	43
"LA"	2001	"St. Bernard"	"0"	"40"													58		58							141	8	149
"LA"	2001	"East Baton Rouge"	"2-"	"5B"	15									169		317												
"LA"	2001	"Lafourche"	"10-"	"15"	20									54	176	230	123		123	65	189	254				169	5	174
"LA"	2001	"St. Helena"	"4-"	"1"	15									193		377												
"LA"	2001	"Terrebonne"	"0"	"51"													159		159							96	8	104
"LA"	2001	"Jefferson"	"0"	"5"		88			149	153																		
"LA"	2001	"Iberia"	"7-"	"3"													121		121							24	172	196
"LA"	2001	"East Baton Rouge"	"1-"	"72A"		69			119	119														174	174			
"LA"	2001	"Terrebonne"	"0"	"44"	20									114	89	204	126		126	106	69	175				92	9	101
"LA"	2001	"East Baton Rouge"	"1-"	"79"		69			163	163														222	222			
"LA"	2001	"St. Bernard"	"0"	"26"													159		159							358	19	377
"LA"	2001	"St. James"	"0"	"18"													249		249							233	6	239
"LA"	2001	"St. Bernard"	"0"	"35"													196		196							540	24	564
"LA"	2001	"Plaquemines"	"9-"	"1"													97		97							268	10	278
"LA"	2001	"Iberia"	"2-"	"5"													27		27							7	10	17
"LA"	2001	"St. Charles"	"4-"	"4"													77		77							180	12	192
"LA"	2001	"Terrebonne"	"0"	"61"	20	53		124	21	145				113	37	150	92		92	140	35	175	144		144	53	9	62
"LA"	2001	"Iberia"	"14-"	"2"													41		41							13	44	57
"LA"	2001	"St. Martin"	"9-"	"1"													42		42							18	47	65
"LA"	2001	"St. Bernard"	"0"	"16"													274		274							574	23	597
"LA"	2001	"Orleans"	"15-"	"18A"		86			239	239														228	228			
"LA"	2001	"St. Bernard"	"0"	"14"													201		201							431	36	467
"LA"	2001	"St. John The Baptist"	"0"	"9E"													132		132							116	2	118
"LA"	2001	"Assumption"	"7-"	"2"													32		32							40	1	41
"LA"	2001	"Jefferson"	"0"	"13"		88			228	234																		
"LA"	2001	"St. Charles"	"7-"	"4"													170		170							267	8	275
"LA"	2001	"St. Helena"	"3-"	"2"	15									9		42												
"LA"	2001	"St. Bernard"	"0"	"23"													55		55							123	6	129
"LA"	2001	"East Baton Rouge"	"1-"	"91B"	15									82		84												
"LA"	2001	"St. Mary"	"0"	"9A"													51		51							26	11	37
"LA"	2001	"Iberia"	"Early Voting"														204		204							31	205	236
"LA"	2001	"St. Bernard"	"0"	"43A"													167		167							446	21	467
