state	year	parish	ward	precinct	g2010_LTG_rv	g2010_LTG_dv	g2010_LTG_tv	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	cd	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	cd2	g2010_USH_dv3	g2010_USH_rv3	g2010_USH_tv3	cd3
"LA"	2010	"Jefferson"	"00"	"G003"	273	166	439	130	282	440	96	319	428	1								
"LA"	2010	"St. Tammany"	"00"	"904"	247	255	502	237	237	499	219	266	495	1								
"LA"	2010	"Jefferson"	"00"	"229"	300	110	410	85	303	406	57	340	406	1								
"LA"	2010	"St. Tammany"	"00"	"307"	452	100	552	77	453	555	56	486	550	1								
"LA"	2010	"St. Tammany"	"00"	"A03"	156	53	209	45	155	209	35	170	206	1								
"LA"	2010	"St. Charles"	"03"	"3"	206	71	277	69	197	277	52	220	275	1								
"LA"	2010	"Jefferson"	"00"	"K008"	440	229	669	189	445	675	151	482	640	1								
"LA"	2010	"Jefferson"	"00"	"076"	372	173	545	154	376	553	119	405	529	1								
"LA"	2010	"Jefferson"	"00"	"063"	269	53	322	39	271	327	24	285	313	1								
"LA"	2010	"Washington"	"04"	"07"	148	59	207	46	148	206	40	152	199	1								
"LA"	2010	"St. Tammany"	"00"	"S23"	140	50	190	32	143	187	28	157	186	1								
"LA"	2010	"Orleans"	"17"	"20"	262	135	397	139	242	400	96	288	390	1								
"LA"	2010	"Washington"	"05"	"03"	70	30	100	26	73	101	18	77	96	1								
"LA"	2010	"St. Tammany"	"00"	"S06"	327	166	493	139	333	498	121	362	491	1								
"LA"	2010	"Jefferson"	"00"	"043"	291	71	362	64	286	365	55	293	351	1								
"LA"	2010	"Washington"	"06"	"02"	193	52	245	21	216	247	17	219	244	1								
"LA"	2010	"St. Tammany"	"00"	"807"	330	75	405	53	333	410	39	351	401	1								
"LA"	2010	"St. Charles"	"03"	"1"	356	82	438	66	358	438	43	387	433	1								
"LA"	2010	"Jefferson"	"00"	"K001"	570	140	710	113	577	725	69	603	681	1								
"LA"	2010	"Washington"	"07"	"02"	411	80	491	48	433	500	35	449	491	1								
"LA"	2010	"St. Tammany"	"00"	"C01"	338	68	406	72	315	407	38	355	404	1								
"LA"	2010	"St. Tammany"	"00"	"701"	245	236	481	197	256	486	186	274	472	1								
"LA"	2010	"Washington"	"04"	"03B"	110	171	281	160	105	284	153	117	276	1								
"LA"	2010	"Tangipahoa"	"00"	"108"	159	117	276	111	156	280	95	146	258	1								
"LA"	2010	"St. Tammany"	"00"	"105"	733	179	912	145	719	914	108	775	906	1								
"LA"	2010	"St. Tammany"	"00"	"311"	82	11	93	8	79	94	6	85	94	1								
"LA"	2010	"Jefferson"	"00"	"117"	381	138	519	126	366	523	85	404	498	1								
"LA"	2010	"Tangipahoa"	"00"	"016"	222	95	317	74	220	315	63	234	313	1								
"LA"	2010	"Tangipahoa"	"00"	"133A"	128	67	195	55	132	193	41	133	178	1								
"LA"	2010	"Orleans"	"04"	"15"	265	115	380	121	234	381	82	285	375	1								
"LA"	2010	"Jefferson"	"00"	"099"	156	50	206	45	155	207	29	168	199	1								
"LA"	2010	"Washington"	"04"	"10"	177	29	206	31	172	211	24	176	202	1								
"LA"	2010	"St. Tammany"	"00"	"414"	499	75	574	77	479	578	49	525	577	1								
"LA"	2010	"Jefferson"	"00"	"020"	109	33	142	28	107	140	19	109	131	1								
"LA"	2010	"Tangipahoa"	"00"	"107"	82	91	173	85	82	174	77	80	162	1								
"LA"	2010	"St. Tammany"	"00"	"S12"	50	28	78	19	54	77	17	58	78	1								
"LA"	2010	"Jefferson"	"00"	"G012"	258	74	332	54	257	330	35	274	312	1								
"LA"	2010	"Jefferson"	"00"	"040"	261	84	345	66	253	341	37	287	329	1								
"LA"	2010	"Jefferson"	"00"	"H005"	137	35	172	26	138	172	15	144	162	1								
"LA"	2010	"Jefferson"	"00"	"K011"	232	88	320	86	218	322	55	230	295	1								
"LA"	2010	"Jefferson"	"00"	"030"	421	129	550	110	422	556	76	452	537	1								
"LA"	2010	"Tangipahoa"	"00"	"040A"	284	140	424	117	290	426	84	305	395	1								
"LA"	2010	"St. Tammany"	"00"	"104"	672	156	828	131	651	824	96	709	817	1								
"LA"	2010	"Tangipahoa"	"00"	"137A"	358	109	467	84	373	472	62	368	447	1								
"LA"	2010	"Jefferson"	"00"	"073"	413	152	565	111	438	568	74	456	534	1								
"LA"	2010	"Tangipahoa"	"00"	"124"	229	43	272	25	237	276	15	224	266	1								
"LA"	2010	"Jefferson"	"00"	"086"	176	51	227	49	166	231	32	181	218	1								
