state	year	county	precinct	g2004_USP_tv	g2004_USP_dv	g2004_USP_rv	ld	g2004_STH_tv	g2004_STH_dv	g2004_STH_rv	ld10	g2004_STH_tv10	g2004_STH_dv10	g2004_STH_rv10	ld11	g2004_STH_tv11	g2004_STH_dv11	g2004_STH_rv11	ld12	g2004_STH_tv12	g2004_STH_dv12	g2004_STH_rv12	ld13	g2004_STH_tv13	g2004_STH_dv13	g2004_STH_rv13	ld14	g2004_STH_tv14	g2004_STH_dv14	g2004_STH_rv14	ld15	g2004_STH_tv15	g2004_STH_dv15	g2004_STH_rv15	ld16	g2004_STH_tv16	g2004_STH_dv16	g2004_STH_rv16	ld2	g2004_STH_tv2	g2004_STH_dv2	g2004_STH_rv2	ld3	g2004_STH_tv3	g2004_STH_dv3	g2004_STH_rv3	ld4	g2004_STH_tv4	g2004_STH_dv4	g2004_STH_rv4	ld5	g2004_STH_tv5	g2004_STH_dv5	g2004_STH_rv5	ld6	g2004_STH_tv6	g2004_STH_dv6	g2004_STH_rv6	ld7	g2004_STH_tv7	g2004_STH_dv7	g2004_STH_rv7	ld8	g2004_STH_tv8	g2004_STH_dv8	g2004_STH_rv8	ld9	g2004_STH_tv9	g2004_STH_dv9	g2004_STH_rv9	sd	g2004_STS_tv	g2004_STS_dv	g2004_STS_rv	sd2	g2004_STS_tv2	g2004_STS_dv2	g2004_STS_rv2	sd3	g2004_STS_tv3	g2004_STS_dv3	g2004_STS_rv3	cd	g2004_USH_tv	g2004_USH_dv	g2004_USH_rv	cd2	g2004_USH_tv2	g2004_USH_dv2	g2004_USH_rv2	cd3	g2004_USH_tv3	g2004_USH_dv3	g2004_USH_rv3
"TN"	2004	"KNOX"	"36 Gresham"	739.0	321.0	410.0	16	576		576																																																													6	696.0	230	466.0									2	707.0	159.0	532.0								
"TN"	2004	"KNOX"	"37 Inskip Elem"	674.0	302.0	363.0	13	625	280	345																																																													6	607.0	219	388.0									2	639.0	154.0	478.0								
"TN"	2004	"KNOX"	"38 Inskip Elem"	856.0	341.0	503.0	13	778	327	451																																																													6	783.0	262	521.0									2	799.0	163.0	618.0								
"TN"	2004	"KNOX"	"39E Inskip Rec Ctr"	310.0	106.0	201.0	13	271	101	170																																																													6	277.0	78	199.0									2	287.0	57.0	221.0								
"TN"	2004	"KNOX"	"39W Inskip Rec Ctr"	404.0	146.0	254.0	16	206		206																													13	139	72	67																													6	378.0	131	247.0									2	392.0	61.0	317.0								
"TN"	2004	"KNOX"	"40 Norwood Elem"	653.0	251.0	392.0	18	596	190	406																																																																									2	619.0	135.0	478.0								
"TN"	2004	"KNOX"	"41 Norwood Library"	830.0	389.0	427.0	13	481	237	244																													18	273	119	154																																									2	764.0	211.0	535.0								
"TN"	2004	"KNOX"	"42 Pleasant Ridge"	913.0	351.0	548.0	18	817	272	545																																																																									2	874.0	166.0	684.0								
"TN"	2004	"KNOX"	"43 West Haven"	719.0	309.0	398.0	13	668	340	328																																																																									2	691.0	173.0	504.0								
"TN"	2004	"KNOX"	"44 Ridgedale"	1017.0	449.0	556.0	18	930	328	602																																																																									2	972.0	234.0	717.0								
"TN"	2004	"KNOX"	"45 Bearden Middle"	737.0	302.0	422.0	13	382	175	207																													18	275	103	172																																									2	686.0	177.0	492.0								
"TN"	2004	"KNOX"	"46 West Hills"	821.0	345.0	464.0	18	753	297	456																																																																									2	774.0	203.0	561.0								
"TN"	2004	"KNOX"	"47E Bearden High"	1024.0	477.0	529.0	18	734	286	448																													13	189	96	93																																									2	928.0	274.0	617.0								
"TN"	2004	"KNOX"	"48 Pond Gap"	572.0	282.0	282.0	13	531	285	246																																																																									2	535.0	159.0	358.0								
"TN"	2004	"KNOX"	"49 Bearden Elem"	649.0	399.0	230.0	13	596	377	219																																																													6	605.0	316	289.0									2	610.0	246.0	345.0								
"TN"	2004	"KNOX"	"50N West High"	196.0	96.0	94.0	13	173	93	80																																																																									2	181.0	56.0	117.0								
"TN"	2004	"KNOX"	"50S West High"	354.0	220.0	129.0	15	284	232																																																																										2	320.0	117.0	189.0								
"TN"	2004	"KNOX"	"51 Deane Hill Recr"	567.0	179.0	378.0	17	483	197	286																													18	52	13	39																													6	538.0	134	404.0									2	545.0	83.0	457.0								
"TN"	2004	"KNOX"	"55 Lonas"	860.0	289.0	559.0	18	781	218	563																																																																									2	806.0	170.0	621.0								
"TN"	2004	"KNOX"	"56 Heiskell"	695.0	214.0	468.0	19	524		524																																																																									2	666.0	98.0	559.0								
"TN"	2004	"KNOX"	"57 Hills"	223.0	64.0	155.0	19	169		169																																																													6	211.0	56	155.0									2	214.0	36.0	175.0								
"TN"	2004	"KNOX"	"58 Pedigo"	631.0	158.0	463.0	19	507		507																																																													6	600.0	140	460.0									2	600.0	76.0	517.0								
"TN"	2004	"KNOX"	"59 Brickey"	1159.0	323.0	830.0	16	955		955																																																																									2	1105.0	140.0	945.0								
"TN"	2004	"KNOX"	"60 Fort Sumpter"	422.0	136.0	278.0	19	317		317																																																													6	389.0	82	307.0									2	390.0	57.0	328.0								
"TN"	2004	"KNOX"	"61 Halls"	1409.0	405.0	993.0	16	1165		1165																																																													6	1333.0	279	1054.0									2	1353.0	186.0	1145.0								
"TN"	2004	"KNOX"	"62 Hardin Valley"	705.0	193.0	502.0	14	652	256	380																																																																									2	670.0	87.0	576.0								
"TN"	2004	"KNOX"	"62W Hardin Valley W"	73.0	20.0	48.0	14	69	24	39																																																																									2	69.0	11.0	55.0								
"TN"	2004	"KNOX"	"63 Karns"	1358.0	373.0	969.0	16	1132		1132																																																																									2	1288.0	177.0	1091.0								
"TN"	2004	"KNOX"	"63N Karns North"	525.0	139.0	379.0	16	426		426																																																																									2	490.0	61.0	419.0								
"TN"	2004	"KNOX"	"64 Solway"	1103.0	391.0	697.0	14	1007	417	541																																																																									2	1049.0	220.0	810.0								
"TN"	2004	"KNOX"	"65 Concord"	1957.0	541.0	1394.0	14	1843	681	1074																																																													6	1855.0	439	1416.0									2	1871.0	323.0	1523.0								
"TN"	2004	"KNOX"	"65N Concord North"	323.0	91.0	229.0	14	267	93	162																													18	34	10	24																																									2	309.0	45.0	257.0								
"TN"	2004	"KNOX"	"66N Farragut I"	1458.0	431.0	1008.0	14	1255	394	806																													18	103	37	66																																									2	1382.0	216.0	1145.0								
"TN"	2004	"KNOX"	"66S Farragut II"	1363.0	402.0	945.0	14	1270	409	798																																																																									2	1311.0	200.0	1086.0								
"TN"	2004	"KNOX"	"67 North Cedar Bluff"	1870.0	730.0	1112.0	18	1730	544	1186																																																																									2	1762.0	415.0	1316.0								
"TN"	2004	"KNOX"	"68 South Cedar Bluff"	693.0	264.0	423.0	18	639	199	440																																																																									2	662.0	151.0	494.0								
"TN"	2004	"KNOX"	"68E East Cedar Bluff"	652.0	285.0	349.0	18	553	222	331																																																																									2	568.0	176.0	367.0								
"TN"	2004	"KNOX"	"69N A L Lotts"	1397.0	450.0	930.0	14	1281	486	735																																																													6	1305.0	345	960.0									2	1303.0	231.0	1048.0								
"TN"	2004	"KNOX"	"69S Bluegrass"	1486.0	448.0	1017.0	14	1379	513	793																																																													6	1410.0	351	1059.0									2	1403.0	258.0	1118.0								
"TN"	2004	"KNOX"	"70 Ball Camp"	2030.0	631.0	1379.0	16	1507		1507																													18	192	56	136																																									2	1934.0	373.0	1516.0								
"TN"	2004	"KNOX"	"71 Rocky Hill"	1060.0	405.0	642.0	14	482	219	250																													18	383	118	265	17	93	39	54																									6	1002.0	280	722.0									2	996.0	221.0	756.0								
"TN"	2004	"KNOX"	"72E Boys/Girls East"	299.0	74.0	222.0	16	261		261																																																																									2	292.0	40.0	247.0								
"TN"	2004	"KNOX"	"72M Boys/Girls Mid"	354.0	102.0	251.0	16	290		290																																																																									2	334.0	48.0	281.0								
"TN"	2004	"KNOX"	"72W Boys/Girls West"	344.0	97.0	244.0	16	266		266																																																																									2	319.0	43.0	268.0								
"TN"	2004	"KNOX"	"73 Powell"	1910.0	530.0	1366.0	19	1086		1086																													16	450		450																																									2	1841.0	246.0	1567.0								
"TN"	2004	"KNOX"	"74 Shannondale"	554.0	151.0	399.0	16	461		461																																																													6	524.0	91	433.0									2	526.0	69.0	454.0								
"TN"	2004	"KNOX"	"75 Huffs"	25.0	9.0	13.0	15	19	19																																																																										2	23.0	8.0	12.0								
"TN"	2004	"KNOX"	"76 Sunnyview"	649.0	190.0	458.0	19	515		515																																																													6	614.0	143	471.0									2	626.0	90.0	529.0								
"TN"	2004	"KNOX"	"77 Ramsey"	397.0	135.0	260.0	19	301		301																																																													6	375.0	100	275.0									2	382.0	57.0	322.0								
"TN"	2004	"KNOX"	"78 Riverdale"	408.0	110.0	294.0	19	314		314																																																													6	375.0	89	286.0									2	397.0	52.0	339.0								
"TN"	2004	"KNOX"	"79 Dora Kennedy"	469.0	117.0	349.0	19	364		364																																																													6	437.0	109	328.0									2	450.0	55.0	389.0								
"TN"	2004	"KNOX"	"80 Corryton"	610.0	166.0	441.0	19	520		520																																																													6	569.0	131	438.0									2	592.0	81.0	504.0								
"TN"	2004	"KNOX"	"81 Gibbs"	1440.0	389.0	1037.0	19	1203		1203																																																													6	1353.0	311	1042.0									2	1376.0	189.0	1170.0								
"TN"	2004	"KNOX"	"82 Ellistown"	506.0	208.0	297.0	15	391	368																																																														6	472.0	155	317.0									2	483.0	82.0	398.0								
"TN"	2004	"KNOX"	"84 Ritta"	873.0	279.0	582.0	19	749		749																																																													6	811.0	211	600.0									2	836.0	126.0	699.0								
"TN"	2004	"KNOX"	"85 Skaggston"	823.0	297.0	516.0	19	633		633																																																													6	768.0	224	544.0									2	787.0	151.0	625.0								
"TN"	2004	"KNOX"	"86 Carter"	702.0	205.0	493.0	19	538		538																													17	47	9	38																													6	661.0	147	514.0									2	676.0	83.0	582.0								
"TN"	2004	"KNOX"	"87 Thorngrove"	607.0	176.0	423.0	19	379		379																													17	93	34	59																													6	545.0	131	414.0									2	570.0	86.0	479.0								
"TN"	2004	"KNOX"	"88 Kings"	137.0	51.0	86.0	19	101		101																																																													6	130.0	34	96.0									2	130.0	18.0	112.0								
"TN"	2004	"KNOX"	"89 Mt.Olive"	972.0	350.0	605.0	17	920	391	529																																																													6	939.0	259	680.0									2	940.0	186.0	732.0								
"TN"	2004	"KNOX"	"90 Bonny Kate"	796.0	247.0	545.0	17	748	334	414																																																													6	764.0	171	593.0									2	762.0	115.0	636.0								
"TN"	2004	"KNOX"	"91 Vestal"	268.0	118.0	142.0	15	219	199																																																														6	255.0	99	156.0									2	255.0	75.0	177.0								
"TN"	2004	"KNOX"	"92 Gap Creek"	509.0	91.0	416.0	19	299		299																													17	130	37	93																													6	476.0	58	418.0									2	477.0	44.0	430.0								
"TN"	2004	"KNOX"	"93 Hopewell"	545.0	148.0	393.0	17	494	164	330																													19	9		9																													6	525.0	125	400.0									2	526.0	105.0	413.0								
"TN"	2004	"KNOX"	"ABSENTEE"	4435.0	1826.0	2571.0	14	852	285	545																													18	812	298	514	13	643	376	267	16	479		479	15	334	300		17	297	109	188	19	285		285									6	1832.0	610	1222.0									2	4241.0	1039.0	3160.0								
"TN"	2004	"KNOX"	"EARLY"	107224.0	37624.0	68895.0	14	24795	7711	16225																													18	17082	5955	11127	16	16016		16016	19	10406		10406	13	9784	5372	4412	17	7959	2899	5060	15	6620	5955										6	50191.0	12822	37369.0									2	101888.0	18620.0	81682.0								
"TN"	2004	"LAKE"	"1 Tiptonville SR Cit"	81.0	56.0	22.0	77	79	72	7																																																													24	72.0	68	4.0									8	74.0	72.0	2.0								
"TN"	2004	"LAKE"	"2 Lake County High"	360.0	195.0	160.0	77	329	260	69																																																													24	300.0	255	45.0									8	315.0	284.0	31.0								
"TN"	2004	"LAKE"	"3 Courthouse"	438.0	259.0	177.0	77	279	195	84																																																													24	347.0	297	50.0									8	377.0	343.0	34.0								
"TN"	2004	"LAKE"	"4 Lake Co Jr High"	504.0	239.0	265.0	77	449	331	118																																																													24	399.0	331	68.0									8	421.0	370.0	51.0								
"TN"	2004	"LAKE"	"ABSENTEE"	87.0	53.0	33.0	77	82	66	16																																																													24	77.0	61	16.0									8	85.0	70.0	15.0								
"TN"	2004	"LAKE"	"EARLY"	900.0	515.0	382.0	77	809	645	164																																																													24	687.0	554	133.0									8	791.0	709.0	82.0								
"TN"	2004	"LAUDERDALE"	"Arp"	456.0	181.0	269.0	82	455	298	157																																																													32	419.0	180	239.0									8	433.0	316.0	117.0								
