state	year	county	precinct	vtd	ld	g2002_STH_tv	g2002_STH_dv	g2002_STH_rv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	ld11	g2002_STH_dv11	g2002_STH_rv11	g2002_STH_tv11	ld12	g2002_STH_dv12	g2002_STH_rv12	g2002_STH_tv12	ld13	g2002_STH_dv13	g2002_STH_rv13	g2002_STH_tv13	ld14	g2002_STH_dv14	g2002_STH_rv14	g2002_STH_tv14	ld15	g2002_STH_dv15	g2002_STH_rv15	g2002_STH_tv15	ld16	g2002_STH_dv16	g2002_STH_rv16	g2002_STH_tv16	sd	g2002_STS_tv	g2002_STS_dv	g2002_STS_rv	sd2	g2002_STS_dv2	g2002_STS_rv2	g2002_STS_tv2	sd3	g2002_STS_dv3	g2002_STS_rv3	g2002_STS_tv3	cd	g2002_USH_tv	g2002_USH_dv	g2002_USH_rv	cd2	g2002_USH_dv2	g2002_USH_rv2	g2002_USH_tv2	cd3	g2002_USH_dv3	g2002_USH_rv3	g2002_USH_tv3	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	g2002_GOV_dv	g2002_GOV_rv	g2002_GOV_tv
"TN"	2002	"DAVIDSON"	"34-04 John Trotwood"	2026	52	235	86	149	56	16	34	51																																																									21	296	174	122									5	295.0	165.0	125.0									107	204	313.0	161	146	313.0
"TN"	2002	"DAVIDSON"	"34-05 Holy Trinity"	2032	56	1165	272	852																																																													23	871		871									7	1118.0	278.0	830.0	5	38	33	72					406	823	1234.0	593	625	1237.0
"TN"	2002	"DAVIDSON"	"34-06 Judson Bapt"	2020	53	66	31	35																																																													23	57		57									7	76.0	11.0	62.0									22	64	86.0	30	57	87.0
"TN"	2002	"DAVIDSON"	"34-08 Glendale UMC"	2036	52	370	170	200	53	77	81	158																																																									21	561	330	231									5	564.0	335.0	220.0									245	350	600.0	272	312	594.0
"TN"	2002	"DAVIDSON"	"34-09 Brookhaven Cum"	2035	52	166	83	83																																																													19	126	126										5	168.0	106.0	57.0									77	101	182.0	103	76	185.0
"TN"	2002	"DAVIDSON"	"34-10 Forest Hills"	2098	56	122	21	94																																																													23	101		101									5	114.0	57.0	56.0	7	1	11	12					37	96	133.0	63	69	133.0
"TN"	2002	"DAVIDSON"	"35-1 Gower School"	1820	50	394	394		55	35	14	49																																																									21	673	394	279									5	678.0	372.0	282.0									307	433	743.0	346	380	733.0
"TN"	2002	"DAVIDSON"	"35-2 South Harpeth"	2080	50	237	237																																																														21	306	182	124									5	300.0	165.0	126.0									139	177	321.0	146	164	319.0
"TN"	2002	"DAVIDSON"	"35-3 Harpeth Valley"	2074	56	1328	421	818																																																													23	1101		1101									5	1349.0	665.0	656.0									506	898	1416.0	738	659	1423.0
"TN"	2002	"DAVIDSON"	"35-4 Bellevue UMC"	2076	56	774	203	507																																																													23	651		651									5	794.0	388.0	388.0									293	527	824.0	385	420	822.0
