state	year	town	county	town_name	cd	g2000_USP_rv	g2000_USP_dv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	ward	precinct
"ME"	2000	489	"AND"	"LISBON"	2	857	1010	1994	611	1364	1975	1402	565	1967	1	1
"ME"	2000	489	"AND"	"LISBON"	2	1086	1029	2281	581	1640	2221	1569	675	2244	2	1
"ME"	2000	4	"AND"	"LIVERMORE"	2	487	604	1160	438	745	1183	871	284	1155	1	1
"ME"	2000	5	"AND"	"LIVERMORE FALLS"	2	441	811	1355	502	831	1333	1064	280	1344	1	1
"ME"	2000	6	"AND"	"MECHANIC FALLS"	2	669	679	1441	422	1012	1434	971	453	1424	1	1
"ME"	2000	7	"AND"	"MINOT"	2	625	503	1197	277	895	1172	771	393	1164	1	1
"ME"	2000	8	"AND"	"POLAND"	2	1163	1156	2488	705	1712	2417	1644	776	2420	1	1
"ME"	2000	9	"AND"	"SABATTUS"	2	842	1087	2048	648	1355	2003	1466	651	2117	1	1
"ME"	2000	10	"AND"	"TURNER"	2	1252	1172	2544	703	1818	2521	1706	793	2499	1	1
"ME"	2000	11	"AND"	"WALES"	2	348	248	633	179	447	626	401	223	624	1	1
"ME"	2000	12	"ARO"	"ALLAGASH"	2	75	81	166	53	100	153	95	50	145	1	1
"ME"	2000	13	"ARO"	"AMITY"	2	62	28	96	23	66	89	57	32	89	1	1
"ME"	2000	14	"ARO"	"ASHLAND"	2	353	317	691	150	527	677	529	156	685	1	1
"ME"	2000	15	"ARO"	"BANCROFT"	2	15	11	27	5	22	27	20	8	28	1	1
"ME"	2000	73	"ARO"	"BENEDICTA TWP."	2	60	42	110	37	68	105	79	29	108	1	1
"ME"	2000	16	"ARO"	"BLAINE (inc. E PLT.)"	2	292	112	411	51	343	394	242	160	402	1	1
"ME"	2000	17	"ARO"	"BRIDGEWATER"	2	189	121	327	59	250	309	225	111	336	1	1
"ME"	2000	18	"ARO"	"CARIBOU"	2	1574	1855	3574	845	2651	3496	2726	818	3544	1	1
"ME"	2000	19	"ARO"	"CARY PLT."	2	69	38	113	28	75	103	65	43	108	1	1
"ME"	2000	20	"ARO"	"CASTLE HILL"	2	144	85	232	35	197	232	157	71	228	1	1
"ME"	2000	21	"ARO"	"CASWELL"	2	40	96	142	26	119	145	128	20	148	1	1
"ME"	2000	22	"ARO"	"CHAPMAN"	2	107	109	222	30	182	212	153	62	215	1	1
"ME"	2000	68	"ARO"	"CONNOR TWP."	2	56	117	177	60	120	180	146	37	183	1	1
"ME"	2000	23	"ARO"	"CRYSTAL"	2	99	45	156	28	123	151	87	64	151	1	1
"ME"	2000	24	"ARO"	"CYR PLT."	2	15	38	53	22	28	50	40	8	48	1	1
"ME"	2000	25	"ARO"	"DYER BROOK"	2	92	45	140	22	117	139	88	49	137	1	1
"ME"	2000	26	"ARO"	"EAGLE LAKE"	2	162	305	488	191	284	475	409	75	484	1	1
"ME"	2000	27	"ARO"	"EASTON"	2	372	280	675	123	529	652	478	193	671	1	1
"ME"	2000	28	"ARO"	"FORT FAIRFIELD"	2	782	921	1756	392	1329	1721	1417	338	1755	1	1
