state	year	county	town	cd	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	ward	precinct
"ME"	2004	"ARO"	"WALLAGRASS"	2	244	58	306	195	89	298	1	1
"ME"	2004	"ARO"	"WASHBURN"	2	354	494	852	294	535	837	1	1
"ME"	2004	"ARO"	"WESTFIELD"	2	121	170	294	114	171	288	1	1
"ME"	2004	"ARO"	"WESTMANLAND"	2	21	29	50	21	26	49	1	1
"ME"	2004	"ARO"	"WESTON"	2	42	94	140	65	67	135	1	1
"ME"	2004	"ARO"	"WINTERVILLE"									
"ME"	2004	"ARO"	"WINTERVILLE"									
"ME"	2004	"ARO"	"WOODLAND"	2	306	338	653	276	342	629	1	1
"ME"	2004	"CUM"	"BALDWIN"	1	339	453	799	373	400	773	1	1
"ME"	2004	"CUM"	"BRIDGTON"	1	1458	1372	2894	1575	1198	2773	1	1
"ME"	2004	"CUM"	"BRUNSWICK"	1	2040	1002	3091	2014	926	2940	0	0
"ME"	2004	"CUM"	"BRUNSWICK"	1	682	586	1296	724	540	1264	1	1
"ME"	2004	"CUM"	"BRUNSWICK"	1	706	424	1146	704	405	1109	2	1
"ME"	2004	"CUM"	"BRUNSWICK"	1	855	656	1545	893	606	1499	3	1
"ME"	2004	"CUM"	"BRUNSWICK"	1	784	562	1361	805	524	1329	4	1
"ME"	2004	"CUM"	"BRUNSWICK"	1	672	484	1190	730	446	1176	5	1
"ME"	2004	"CUM"	"BRUNSWICK"	1	772	251	1054	761	246	1007	6	1
"ME"	2004	"CUM"	"BRUNSWICK"	1	777	283	1076	752	288	1040	7	1
"ME"	2004	"CUM"	"CAPE"									
"ME"	2004	"CUM"	"CASCO"	1	1036	1007	2077	1080	887	1967	1	1
"ME"	2004	"CUM"	"CUMBERLAND"	1	2355	2341	4760	2464	2128	4592	1	1
"ME"	2004	"CUM"	"CUMBERLAND"	1	149	87	245	148	85	233	2	1
"ME"	2004	"CUM"	"FALMOUTH"	1	3685	3305	7090	3770	3046	6816	1	1
